u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,junction,access,service
4504697056,6071898821,0,44061474,4,Nueva Centenario,tertiary,30,False,60.59,"LINESTRING (-70.65759850000001 -33.4760857, -70.6569494 -33.4761471)",,,
4749864394,6014182427,0,14421616,2,Domeyko,residential,30,False,3.161,"LINESTRING (-70.666014 -33.4566119, -70.6659813 -33.4566039)",,,
4749864394,5523273653,0,14421616,2,Domeyko,residential,30,False,2.809,"LINESTRING (-70.666014 -33.4566119, -70.66603499999999 -33.4566301)",,,
5054377948,6215412776,0,13858321,2,José Victorino Lastarria,residential,30,True,8.999,"LINESTRING (-70.640716 -33.4402341, -70.6407779 -33.4401718)",,,
5131081529,253359495,0,399499076,2,Lord Cochrane,tertiary,30,True,45.078,"LINESTRING (-70.6530334 -33.4630106, -70.6531006 -33.4626091)",,,
5264788839,1390397265,0,158577338,,Cerro Santa Lucía,service,30,False,4.763,"LINESTRING (-70.64362319999999 -33.4414723, -70.64367110000001 -33.4414877)",,private,
5264788839,6708878866,0,158577338,,Cerro Santa Lucía,service,30,False,5.215,"LINESTRING (-70.64362319999999 -33.4414723, -70.6435735 -33.4414504)",,private,
5264788840,6708917888,0,158577338,,Cerro Santa Lucía,service,30,False,7.074,"LINESTRING (-70.64383340000001 -33.441506, -70.6439096 -33.4415081)",,private,
5264788840,6708917889,0,158577338,,Cerro Santa Lucía,service,30,False,5.518,"LINESTRING (-70.64383340000001 -33.441506, -70.64377399999999 -33.4415036)",,private,
5264788841,6708878867,0,158577338,,Cerro Santa Lucía,service,30,False,6.14,"LINESTRING (-70.6433612 -33.4413164, -70.6434101 -33.4413536)",,private,
5264788841,6708878869,0,158577338,,Cerro Santa Lucía,service,30,False,7.163,"LINESTRING (-70.6433612 -33.4413164, -70.6433062 -33.4412712)",,private,
5264788842,1390397248,0,158577338,,Cerro Santa Lucía,service,30,False,8.604,"LINESTRING (-70.6443951 -33.4413768, -70.64442409999999 -33.4413033)",,private,
5264788842,1390397268,0,158577338,,Cerro Santa Lucía,service,30,False,5.014,"LINESTRING (-70.6443951 -33.4413768, -70.6443711 -33.4414172)",,private,
5264788843,1390397208,0,158577338,,Cerro Santa Lucía,service,30,False,4.2,"LINESTRING (-70.6432475 -33.4387926, -70.64320789999999 -33.4388109)",,private,
5264788843,6708913967,0,158577338,,Cerro Santa Lucía,service,30,False,3.218,"LINESTRING (-70.6432475 -33.4387926, -70.643281 -33.4387851)",,private,
5268807079,4401492512,0,23406233,2,Avenida Ricardo Cumming,primary,30,True,1.425,"LINESTRING (-70.6673253 -33.4478155, -70.66732450000001 -33.4478027)",,,
5268807080,4401492516,0,23406233,2,Avenida Ricardo Cumming,primary,30,True,38.162,"LINESTRING (-70.6678004 -33.4479752, -70.66740969999999 -33.4478679)",,,
5272846295,6708913971,0,158577338,,Cerro Santa Lucía,service,30,False,6.798,"LINESTRING (-70.6427047 -33.4400289, -70.6427072 -33.44009)",,private,
5272846295,6708913970,0,158577338,,Cerro Santa Lucía,service,30,False,7.039,"LINESTRING (-70.6427047 -33.4400289, -70.64270399999999 -33.4399656)",,private,
5272846296,1390397219,0,158577338,,Cerro Santa Lucía,service,30,False,16.014,"LINESTRING (-70.64282830000001 -33.4405353, -70.6428844 -33.4406715)",,private,
5272846296,1390397267,0,158577338,,Cerro Santa Lucía,service,30,False,13.139,"LINESTRING (-70.64282830000001 -33.4405353, -70.64278729999999 -33.4404222)",,private,
5272846297,6708913979,0,158577338,,Cerro Santa Lucía,service,30,False,8.006,"LINESTRING (-70.64456370000001 -33.4408033, -70.6445633 -33.4407313)",,private,
5272846297,1390397238,0,158577338,,Cerro Santa Lucía,service,30,False,7.289,"LINESTRING (-70.64456370000001 -33.4408033, -70.6445535 -33.4408683)",,private,
5272846299,6708917885,0,158577338,,Cerro Santa Lucía,service,30,False,2.583,"LINESTRING (-70.6444534 -33.4403709, -70.644452 -33.4403477)",,private,
5272846299,6708913981,0,158577338,,Cerro Santa Lucía,service,30,False,3.128,"LINESTRING (-70.6444534 -33.4403709, -70.644464 -33.4403976)",,private,
5272846300,1390397267,0,158577338,,Cerro Santa Lucía,service,30,False,13.683,"LINESTRING (-70.6427521 -33.4403027, -70.64278729999999 -33.4404222)",,private,
5272846300,6325454314,0,158577338,,Cerro Santa Lucía,service,30,False,8.605,"LINESTRING (-70.6427521 -33.4403027, -70.6427302 -33.4402275)",,private,
5272846301,6708913969,0,158577338,,Cerro Santa Lucía,service,30,False,12.126,"LINESTRING (-70.64276049999999 -33.4397542, -70.6427159 -33.4398567)",,private,
5272846301,1390397245,0,158577338,,Cerro Santa Lucía,service,30,False,15.233,"LINESTRING (-70.64276049999999 -33.4397542, -70.64280220000001 -33.4396217)",,private,
5272846302,1390397245,0,158577338,,Cerro Santa Lucía,service,30,False,14.159,"LINESTRING (-70.6428471 -33.4395, -70.64280220000001 -33.4396217)",,private,
5272846302,1390397223,0,158577338,,Cerro Santa Lucía,service,30,False,17.637,"LINESTRING (-70.6428471 -33.4395, -70.6429225 -33.4393544)",,private,
5300155267,6231377173,0,399499076,2,Lord Cochrane,tertiary,30,True,7.574,"LINESTRING (-70.655485 -33.4453032, -70.6555116 -33.4452388)",,,
5300204161,5419412022,0,399499076,2,Lord Cochrane,tertiary,30,True,2.394,"LINESTRING (-70.65443 -33.451644, -70.6544328 -33.4516226)",,,
5357794637,6231484046,0,675481988,,,secondary,20,True,2.353,"LINESTRING (-70.6638837 -33.458607, -70.6638686 -33.45859)",roundabout,,
5419412022,253348624,0,399499076,2,Lord Cochrane,tertiary,30,True,54.447,"LINESTRING (-70.6544328 -33.4516226, -70.6545053 -33.4511367)",,,
5523273652,6274442261,0,8000969,2,Echaurren,residential,30,False,2.821,"LINESTRING (-70.6660502 -33.4566785, -70.666048 -33.4566532)",,,
5523273652,15092712,0,8000969,2,Echaurren,residential,30,False,63.419,"LINESTRING (-70.6660502 -33.4566785, -70.66600889999999 -33.4572478)",,,
5523273653,6274442261,0,8000969,2,Echaurren,residential,30,False,2.838,"LINESTRING (-70.66603499999999 -33.4566301, -70.666048 -33.4566532)",,,
5523273653,4749864394,0,14421616,2,Domeyko,residential,30,False,2.809,"LINESTRING (-70.66603499999999 -33.4566301, -70.666014 -33.4566119)",,,
5785170568,265668129,0,399499076,2,Lord Cochrane,tertiary,30,True,6.81,"LINESTRING (-70.65287549999999 -33.4642618, -70.6528843 -33.464201)",,,
5785170581,5785170583,0,399499076,2,Lord Cochrane,tertiary,30,True,5.76,"LINESTRING (-70.65257130000001 -33.4666478, -70.65257680000001 -33.4665962)",,,
5785170583,265668365,0,399499076,2,Lord Cochrane,tertiary,30,True,8.035,"LINESTRING (-70.65257680000001 -33.4665962, -70.6525876 -33.4665245)",,,
5873610985,1390397236,0,158577338,,Cerro Santa Lucía,service,30,False,12.907,"LINESTRING (-70.64458689999999 -33.440212, -70.6444875 -33.4402932)",,private,
6014038167,4448461358,0,726515491,2,Avenida Ricardo Cumming,primary,30,True,16.234,"LINESTRING (-70.6675554 -33.4467758, -70.6675618 -33.4466299)",,,
6014182427,609286250,0,14421616,2,Domeyko,residential,30,False,19.553,"LINESTRING (-70.6659813 -33.4566039, -70.66577599999999 -33.4565641)",,,
6014182427,4749864394,0,14421616,2,Domeyko,residential,30,False,3.161,"LINESTRING (-70.6659813 -33.4566039, -70.666014 -33.4566119)",,,
6014182429,609286319,0,14421616,2,Domeyko,residential,30,False,14.635,"LINESTRING (-70.66557950000001 -33.4565307, -70.66542629999999 -33.4564993)",,,
6014182429,609286250,0,14421616,2,Domeyko,residential,30,False,18.604,"LINESTRING (-70.66557950000001 -33.4565307, -70.66577599999999 -33.4565641)",,,
6040575536,663092766,0,399499076,2,Lord Cochrane,tertiary,30,True,13.455,"LINESTRING (-70.6539748 -33.4553832, -70.653988 -33.4552627)",,,
6071898820,6071898829,0,44061474,4,Nueva Centenario,tertiary,30,False,11.325,"LINESTRING (-70.6614082 -33.475728, -70.66153 -33.4757209)",,,
6071898820,4389876459,0,44061474,4,Nueva Centenario,tertiary,30,False,36.792,"LINESTRING (-70.6614082 -33.475728, -70.6610135 -33.475761)",,,
6071898821,4504697056,0,44061474,4,Nueva Centenario,tertiary,30,False,60.59,"LINESTRING (-70.6569494 -33.4761471, -70.65759850000001 -33.4760857)",,,
6071898821,560073675,0,44061474,4,Nueva Centenario,tertiary,30,False,36.066,"LINESTRING (-70.6569494 -33.4761471, -70.6565636 -33.4761877)",,,
6071898822,6071898823,0,44061474,4,Nueva Centenario,tertiary,30,False,7.364,"LINESTRING (-70.6555465 -33.4762964, -70.6556259 -33.4762963)",,,
6071898822,560073672,0,44061474,4,Nueva Centenario,tertiary,30,False,7.712,"LINESTRING (-70.6555465 -33.4762964, -70.6554641 -33.4762871)",,,
6071898823,6071898828,0,44061474,4,Nueva Centenario,tertiary,30,False,5.977,"LINESTRING (-70.6556259 -33.4762963, -70.6556902 -33.4762927)",,,
6071898823,6071898822,0,44061474,4,Nueva Centenario,tertiary,30,False,7.364,"LINESTRING (-70.6556259 -33.4762963, -70.6555465 -33.4762964)",,,
6071898824,4389876462,0,44061474,4,Nueva Centenario,tertiary,30,False,7.263,"LINESTRING (-70.6553339 -33.4762491, -70.6554052 -33.4762761)",,,
6071898824,6071898825,0,44061474,4,Nueva Centenario,tertiary,30,False,7.165,"LINESTRING (-70.6553339 -33.4762491, -70.65526920000001 -33.4762139)",,,
6071898825,6071898824,0,44061474,4,Nueva Centenario,tertiary,30,False,7.165,"LINESTRING (-70.65526920000001 -33.4762139, -70.6553339 -33.4762491)",,,
6071898825,560073671,0,44061474,4,Nueva Centenario,tertiary,30,False,6.61,"LINESTRING (-70.65526920000001 -33.4762139, -70.6552167 -33.4761737)",,,
6071898826,560073671,0,44061474,4,Nueva Centenario,tertiary,30,False,3.625,"LINESTRING (-70.65518899999999 -33.4761507, -70.6552167 -33.4761737)",,,
6071898826,4389876461,0,44061474,4,Nueva Centenario,tertiary,30,False,6.162,"LINESTRING (-70.65518899999999 -33.4761507, -70.65514829999999 -33.4761069)",,,
6071898827,4389876461,0,44061474,4,Nueva Centenario,tertiary,30,False,8.816,"LINESTRING (-70.6551039 -33.4760368, -70.65514829999999 -33.4761069)",,,
6071898827,1609778077,0,44061474,4,Nueva Centenario,tertiary,30,False,15.701,"LINESTRING (-70.6551039 -33.4760368, -70.6550484 -33.4759034)",,,
6071898828,560073673,0,44061474,4,Nueva Centenario,tertiary,30,False,23.764,"LINESTRING (-70.6556902 -33.4762927, -70.65594520000001 -33.4762719)",,,
6071898828,6071898823,0,44061474,4,Nueva Centenario,tertiary,30,False,5.977,"LINESTRING (-70.6556902 -33.4762927, -70.6556259 -33.4762963)",,,
6071898829,560073678,0,44061474,4,Nueva Centenario,tertiary,30,False,12.919,"LINESTRING (-70.66153 -33.4757209, -70.6616691 -33.4757148)",,,
6071898829,6071898820,0,44061474,4,Nueva Centenario,tertiary,30,False,11.325,"LINESTRING (-70.66153 -33.4757209, -70.6614082 -33.475728)",,,
6071898830,560073681,0,44061474,4,Nueva Centenario,tertiary,30,False,137.438,"LINESTRING (-70.6621837 -33.4757087, -70.6636651 -33.4757378)",,,
6071898830,560073680,0,44061474,4,Nueva Centenario,tertiary,30,False,31.479,"LINESTRING (-70.6621837 -33.4757087, -70.6618443 -33.4757093)",,,
6097109338,253348627,0,399499076,2,Lord Cochrane,tertiary,30,True,67.398,"LINESTRING (-70.6541206 -33.4541538, -70.6541907 -33.4535505)",,,
6100847003,4388237574,0,274554349,1,,motorway_link,30,True,61.568,"LINESTRING (-70.66002659999999 -33.4403031, -70.6602202 -33.4408327)",,,
6214699479,5300155267,0,399499076,2,Lord Cochrane,tertiary,30,True,8.748,"LINESTRING (-70.65545849999999 -33.4453787, -70.655485 -33.4453032)",,,
6215412776,6215412777,0,13858321,2,José Victorino Lastarria,residential,30,True,51.444,"LINESTRING (-70.6407779 -33.4401718, -70.6411435 -33.439824)",,,
6215412777,457453515,0,13858321,2,José Victorino Lastarria,residential,30,True,7.181,"LINESTRING (-70.6411435 -33.439824, -70.6411954 -33.4397761)",,,
6215412778,457453516,0,13858321,2,José Victorino Lastarria,residential,30,True,5.473,"LINESTRING (-70.6412054 -33.4397281, -70.6412038 -33.4396789)",,,
6231377173,1071220646,0,399499076,2,Lord Cochrane,tertiary,30,True,33.773,"LINESTRING (-70.6555116 -33.4452388, -70.6556101 -33.4449464)",,,
6231484045,3331853454,0,675481988,,,secondary,20,True,2.064,"LINESTRING (-70.6640214 -33.4586112, -70.6640033 -33.458622)",roundabout,,
