u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,width,bridge,access,service,tunnel,ref,est_width,area
3219846388,27286711,0,"[27245953, 41872851, 569385773]",False,"['Avenue de Wagram', 'Rue du Faubourg Saint-Honoré']",primary,50,217.93300000000002,"LINESTRING (2.2983559 48.8777215, 2.2980862 48.8777835, 2.2979629 48.8778095, 2.2978607 48.8776635, 2.29718 48.8767306, 2.2969319 48.8763887, 2.2968537 48.8762886)",,,,,,,,,,
3249325295,822185560,0,318523950,True,,service,,10.728,"LINESTRING (2.313992 48.8809359, 2.3141361 48.880954)",,,,,,,,,,
3249325295,822185560,1,"[318523947, 318523949]",True,,service,,21.808999999999997,"LINESTRING (2.313992 48.8809359, 2.3140099 48.8809641, 2.3140432 48.8810292, 2.3141361 48.880954)",,,,,,,,,,
3375721567,246144547,0,294799032,False,Boulevard Arago,secondary,30,22.869,"LINESTRING (2.3480346 48.8355722, 2.3481676 48.8356113, 2.3483187 48.8356578)",,,,,,,,,,
3375721567,287541859,0,664092568,False,Boulevard Arago,secondary,30,137.03,"LINESTRING (2.3480346 48.8355722, 2.3479708 48.8355527, 2.347756 48.8354901, 2.3475117 48.8354109, 2.3466493 48.8351344, 2.3465798 48.8351121, 2.3463442 48.8350428)",,,,,,,,,,
3375721567,3375721551,0,330594376,True,Rue Pascal,residential,30,21.149,"LINESTRING (2.3480346 48.8355722, 2.3481302 48.8354896, 2.3482097 48.8354209)",,,,,,,,,,
4359343926,245277325,0,516982831,False,Avenue Daumesnil,secondary,30,30.474,"LINESTRING (2.4060649 48.8357334, 2.4057058 48.8358721)",,,,,,,,,,
4359343926,368068,0,"[4039250, 162280847]",True,,secondary,30,57.313,"LINESTRING (2.4060649 48.8357334, 2.4061146 48.8357018, 2.4062866 48.835616, 2.4063235 48.8355944, 2.406434 48.835486, 2.4064921 48.8354398, 2.406527 48.8354124, 2.406596 48.8353603)",2,,,,,,,,,
4506058054,2269558131,0,453954510,False,Route de Suresnes,primary,50,18.551,"LINESTRING (2.231378 48.8663696, 2.2311452 48.8664358)",6,,,,,,,,,
4532171346,250349363,0,"[22930514, 335112499]",True,"['Rue Ferrus', 'Boulevard Saint-Jacques']","['primary', 'residential']","['50', '30']",208.713,"LINESTRING (2.3402605 48.831872, 2.3403274 48.831854, 2.3407019 48.8317539, 2.3407654 48.8317369, 2.3408724 48.8317078, 2.340846 48.8316151, 2.3407583 48.8313087, 2.3404858 48.8303483, 2.3404694 48.8302904)",,,,,,,,,,
4532171346,166334525,0,456998705,True,Boulevard Saint-Jacques,cycleway,,68.048,"LINESTRING (2.3402605 48.831872, 2.3402347 48.831975, 2.3396869 48.8321278, 2.3395931 48.8321054, 2.3395649 48.8320587)",,,,,,,,,,
4864709128,268234154,0,24678010,True,Rue Arthur Ranc,residential,,133.283,"LINESTRING (2.3334381 48.8978085, 2.3334897 48.8978752, 2.3337709 48.8982357, 2.333868 48.8983602, 2.3341889 48.8987729, 2.3342471 48.8988018, 2.3343289 48.8988423)",,,,,,,,,,
4864709128,5568702215,0,"[711628214, 711628216, 711628217, 711628218, 711628219]",True,Boulevard Ney,primary,30,327.115,"LINESTRING (2.3334381 48.8978085, 2.3331892 48.8978042, 2.3329364 48.8977982, 2.3318505 48.8977725, 2.331702 48.897769, 2.3315395 48.897766, 2.3312299 48.8977602, 2.3307968 48.8977528, 2.3306077 48.8977495, 2.3305265 48.8977531, 2.3304547 48.8977593, 2.3303031 48.8977699, 2.3302732 48.8977693, 2.3301949 48.8977678, 2.3295102 48.8977551, 2.3293112 48.8977509, 2.3289669 48.8977437)",2,,,,,,,,,
5239603982,5836630808,0,541903640,True,Rue Magenta,residential,30,100.074,"LINESTRING (2.3894769 48.9011048, 2.389544 48.9010941, 2.3896405 48.9010799, 2.3905419 48.900943, 2.3908108 48.9009021)",,,,,,,,,,
