u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,width,bridge,access,tunnel,ref,service,area
24912996,24912958,0,169127631,Avenue René Coty,tertiary,30,True,51.843,"LINESTRING (2.3337937 48.8302394, 2.3339254 48.8298825, 2.3339636 48.8297868)",,,,,,,,,
24913010,2521663532,0,4261998,Rue du Père Corentin,residential,30,True,116.868,"LINESTRING (2.3307382 48.8261281, 2.3308588 48.8262087, 2.3318474 48.826884)",,,,,,,,,
24913010,5996528636,0,635796658,Rue du Père Corentin,residential,30,True,64.787,"LINESTRING (2.3307382 48.8261281, 2.3306694 48.8260798, 2.3301228 48.8257094)",,,,,,,,,
25002663,1284603813,0,5494311,Rue Dugommier,unclassified,30,True,56.088,"LINESTRING (2.3917669 48.8400216, 2.3918007 48.8400358, 2.3923478 48.840266, 2.3924126 48.8402933)",,,,,,,,,
25033163,470136,0,745016985,Rue Saint-Jacques,residential,20,True,67.939,"LINESTRING (2.3423509 48.8449097, 2.342198 48.8446203, 2.3421663 48.8445616, 2.3420496 48.8443318)",1,,,,,,,,
25273423,3027464981,0,54054009,Rue de Montpensier,residential,30,True,26.657,"LINESTRING (2.3362593 48.8637913, 2.3363855 48.8640162)",,,,,,,,,
25554694,6282960235,0,"[39371291, 674945572, 674945573, 4039366]","['Boulevard de Sébastopol', 'Place du Châtelet']",primary,50,True,160.915,"LINESTRING (2.3472935 48.8571857, 2.3473357 48.857199, 2.3473611 48.8572085, 2.3474329 48.8572424, 2.3474941 48.8572826, 2.3475347 48.8573181, 2.347556 48.8573352, 2.3475686 48.857357, 2.3476743 48.8575378, 2.3476894 48.8575659, 2.3477222 48.8576268, 2.3477767 48.8577244, 2.3478452 48.857851, 2.3479898 48.8580983, 2.348101 48.8582979, 2.3481549 48.8584021, 2.3481715 48.8584323, 2.3481964 48.8584753)","['5', '2']",,,,,,,,
25574315,25574314,0,23171003,Rue de l'Aude,residential,30,True,15.34,"LINESTRING (2.3319192 48.8269371, 2.3321003 48.8268677)",,,,,,,,,
25625650,25625959,0,"[69325369, 742319538, 742319539, 24930618]","['Rue François-Ier', 'Rue François 1er']",residential,30,True,527.187,"LINESTRING (2.3063219 48.8670159, 2.3061495 48.8671235, 2.3059804 48.8672312, 2.3057838 48.8673568, 2.3050048 48.8678401, 2.3047143 48.8680204, 2.3046235 48.8680773, 2.303788 48.8686007, 2.3037039 48.8686556, 2.3036402 48.868693, 2.303111 48.869021, 2.302879 48.8691718, 2.3027694 48.8692431, 2.3026732 48.8693044, 2.302209 48.8696008, 2.3014258 48.8700884, 2.3013536 48.8700831, 2.301195 48.8700714, 2.3009879 48.8700562)",,,,,,,,,
26401696,5760792405,0,607979640,Rue de Sévigné,cycleway,,False,3.786,"LINESTRING (2.3616693 48.8550871, 2.3616451 48.855057)",,,,,,,,,
26401696,26401644,0,4574348,Rue de Sévigné,residential,30,True,45.251000000000005,"LINESTRING (2.3616693 48.8550871, 2.3617233 48.8551579, 2.3617444 48.8551854, 2.3619471 48.8554507)",,,,,,,,,
26401696,26401646,0,171879421,Rue de Rivoli,cycleway,50,True,41.024,"LINESTRING (2.3616693 48.8550871, 2.3615432 48.8551046, 2.3614383 48.8551317, 2.3611386 48.8552039)",2,,,,,,,,
