u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
415994171,1861171465,0,"[704224066, 185627527, 704224073, 704224074, 704224076, 351364112, 172744182, 237455928, 237455929]",False,Rua João Moura,tertiary,881.8359999999999,"LINESTRING (-46.6890847 -23.5478857, -46.6889479 -23.5479602, -46.6885808 -23.5482834, -46.6884888 -23.5483641, -46.6884322 -23.5484148, -46.6876978 -23.5490731, -46.6876091 -23.5491525, -46.6875447 -23.5492102, -46.6870973 -23.5496112, -46.6863866 -23.5502707, -46.686276 -23.5503679, -46.6861821 -23.5504479, -46.6860591 -23.5505475, -46.6859973 -23.5505972, -46.6855459 -23.5509604, -46.6854565 -23.5510368, -46.6854046 -23.5510796, -46.6853513 -23.5511279, -46.6853156 -23.5511555, -46.6852847 -23.5511792, -46.6848396 -23.5515225, -46.683677 -23.552503, -46.6827319 -23.5532594)",,,,,,,,,,
415994186,1832159351,0,426505728,False,Rua João Moura,tertiary,695.0860000000001,"LINESTRING (-46.6814876 -23.5550241, -46.6811661 -23.5554885, -46.6803229 -23.5566789, -46.6802504 -23.5567818, -46.6801771 -23.556886, -46.6794057 -23.5580016, -46.6791263 -23.5584057, -46.6790595 -23.5584995, -46.6789976 -23.5585876, -46.6778519 -23.560206, -46.6777974 -23.5602807)",2,40,,,,8,,,,
432480985,432480984,0,312218311,True,Rua Cláudio,residential,74.647,"LINESTRING (-46.6908709 -23.5267222, -46.6908659 -23.5260509)",,,,,,,,,,
432480985,4638959856,0,646564629,False,Rua Doutor Rafael Correia,residential,108.076,"LINESTRING (-46.6908709 -23.5267222, -46.6898109 -23.5267336)",,,,,,,,,,
432483637,1837045824,0,"[192792368, 37134537]",False,Rua Fábia,residential,1064.719,"LINESTRING (-46.6911247 -23.5271095, -46.6922541 -23.5271153, -46.6931843 -23.5271026, -46.694336 -23.5270944, -46.6955256 -23.5270999, -46.6967213 -23.527094, -46.6978573 -23.5270942, -46.6990933 -23.527091, -46.6993403 -23.5270896, -46.6996147 -23.5270882, -46.700008 -23.5270864, -46.7007078 -23.527083, -46.7015677 -23.5270682)",,,,,,,,,,
432483637,432480985,0,171845876,True,Rua Cláudio,residential,52.169,"LINESTRING (-46.6911247 -23.5271095, -46.6911217 -23.5270353, -46.6910529 -23.5269048, -46.6909684 -23.5267934, -46.6908709 -23.5267222)",,,,,,,,,,
432484495,4638959857,0,"[237612888, 469594611, 646564630, 290472647]",True,"['Rua Ministro Ferreira Alves', 'Praça Tupã']",tertiary,653.0020000000001,"LINESTRING (-46.6848242 -23.530078, -46.6849173 -23.5300188, -46.6849756 -23.5299834, -46.6858633 -23.5294456, -46.6868073 -23.5288723, -46.6877169 -23.5283205, -46.6877515 -23.5282995, -46.6877946 -23.5282732, -46.6882002 -23.528026, -46.6886471 -23.5277527, -46.6887073 -23.5277158, -46.6887796 -23.527672, -46.6892461 -23.5273886, -46.6894485 -23.5272688, -46.6895887 -23.5271859, -46.6895946 -23.5271837, -46.6896472 -23.5271645, -46.6897009 -23.527162, -46.6899489 -23.5271938, -46.6902693 -23.5272368)",2,40,,,,,,,,
437564800,452091627,0,251831618,True,Rua Araguaia,secondary,240.691,"LINESTRING (-46.6201188 -23.5264085, -46.6202127 -23.5264508, -46.6210267 -23.5268253, -46.6211782 -23.526895, -46.6212686 -23.5269368, -46.6213362 -23.526968, -46.622188 -23.5273603, -46.622228 -23.5273808)",2,40,,,,,,,,
445166452,3880322141,0,312303704,True,Rua Antônio Alves Barril,secondary,46.968,"LINESTRING (-46.559962 -23.5580907, -46.5602142 -23.5582903, -46.5603285 -23.5583423)",2,50,,,,,,,,
445166452,135560281,0,"[312303705, 37923653]",False,"['Rua Nagib Izar', 'Rua Nelo Bini']",residential,295.53299999999996,"LINESTRING (-46.559962 -23.5580907, -46.5611613 -23.5570541, -46.5607478 -23.5566476, -46.5604209 -23.556324, -46.5603042 -23.5562189)",,,,,,,,,,
