u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
7333070550,7333070587,0,784900673,False,Estrada Engenheiro Marsilac,primary,1689.1150000000007,"LINESTRING (-46.7392608 -23.8406774, -46.7391696 -23.8405335, -46.738857 -23.8400246, -46.7385659 -23.8395352, -46.7384546 -23.8394162, -46.7383656 -23.8393325, -46.7381808 -23.8392013, -46.7381205 -23.8391685, -46.73797 -23.8391086, -46.7377135 -23.8390395, -46.7375517 -23.8390173, -46.7370885 -23.8390197, -46.7355887 -23.8390699, -46.7351126 -23.839092, -46.734743 -23.839097, -46.734633 -23.8390804, -46.7344702 -23.8390233, -46.7341675 -23.838867, -46.733802 -23.8386878, -46.7335487 -23.8385835, -46.733112 -23.838455, -46.7330326 -23.8384009, -46.7329805 -23.8383505, -46.7329076 -23.8382748, -46.7328522 -23.8382131, -46.7325869 -23.8379453, -46.7323258 -23.8377431, -46.7319586 -23.8374082, -46.7318158 -23.8372927, -46.7317475 -23.8372299, -46.7309977 -23.8366005, -46.7307626 -23.8360526, -46.7306053 -23.835485, -46.7305651 -23.8353178, -46.7305188 -23.8349484, -46.7305209 -23.8347274, -46.7305366 -23.8344982, -46.7305649 -23.8340855, -46.7308617 -23.8326982, -46.7310096 -23.8317276, -46.731037 -23.8314598, -46.7310545 -23.8311183, -46.7310581 -23.8308027)",,,,,,,,,,
7333070587,7333070550,0,784900673,False,Estrada Engenheiro Marsilac,primary,1689.1149999999996,"LINESTRING (-46.7310581 -23.8308027, -46.7310545 -23.8311183, -46.731037 -23.8314598, -46.7310096 -23.8317276, -46.7308617 -23.8326982, -46.7305649 -23.8340855, -46.7305366 -23.8344982, -46.7305209 -23.8347274, -46.7305188 -23.8349484, -46.7305651 -23.8353178, -46.7306053 -23.835485, -46.7307626 -23.8360526, -46.7309977 -23.8366005, -46.7317475 -23.8372299, -46.7318158 -23.8372927, -46.7319586 -23.8374082, -46.7323258 -23.8377431, -46.7325869 -23.8379453, -46.7328522 -23.8382131, -46.7329076 -23.8382748, -46.7329805 -23.8383505, -46.7330326 -23.8384009, -46.733112 -23.838455, -46.7335487 -23.8385835, -46.733802 -23.8386878, -46.7341675 -23.838867, -46.7344702 -23.8390233, -46.734633 -23.8390804, -46.734743 -23.839097, -46.7351126 -23.839092, -46.7355887 -23.8390699, -46.7370885 -23.8390197, -46.7375517 -23.8390173, -46.7377135 -23.8390395, -46.73797 -23.8391086, -46.7381205 -23.8391685, -46.7381808 -23.8392013, -46.7383656 -23.8393325, -46.7384546 -23.8394162, -46.7385659 -23.8395352, -46.738857 -23.8400246, -46.7391696 -23.8405335, -46.7392608 -23.8406774)",,,,,,,,,,
7333070592,5052297961,0,784900688,True,Estrada Engenheiro Marsilac,primary,17.808,"LINESTRING (-46.7310179 -23.8292379, -46.7310717 -23.8290855)",,,,,,,,,,
60641571,4685687578,0,"[8579217, 8579555]",True,Praça Ramos de Azevedo,tertiary,115.321,"LINESTRING (-46.6386448 -23.5446995, -46.6387199 -23.5448024, -46.6387906 -23.5448939, -46.6392042 -23.545401, -46.6392981 -23.5455132, -46.6393021 -23.5455284, -46.639303 -23.5455393)",,,,,,,,,,
60641571,60685617,0,"[49436728, 262460752, 48651836, 419513797]",True,"['Avenida São João', 'Rua Conselheiro Crispiniano']",secondary,252.60500000000002,"LINESTRING (-46.6386448 -23.5446995, -46.6385304 -23.5445339, -46.6380934 -23.5438408, -46.638068 -23.5437708, -46.6380586 -23.5436902, -46.6380619 -23.5436361, -46.6380846 -23.5435551, -46.6380885 -23.5435524, -46.6384846 -23.5433346, -46.6387598 -23.5431786, -46.6388035 -23.5431538, -46.6389998 -23.5430439)",,,,,,,,,,
60685633,627981911,0,8579570,True,Rua do Seminário,residential,138.20499999999998,"LINESTRING (-46.6367783 -23.5417514, -46.6366492 -23.5418871, -46.6365683 -23.5420574, -46.6364502 -23.5426628, -46.6363999 -23.5429208)",,,,,,,,,,
60685633,2021790377,0,"[333520074, 566773931, 333520075, 8579600, 447927889, 447927888]",True,Avenida Cásper Líbero,secondary,676.9120000000001,"LINESTRING (-46.6367783 -23.5417514, -46.6366399 -23.5416663, -46.6366012 -23.5414823, -46.6364762 -23.5408806, -46.6362883 -23.5399718, -46.6362641 -23.539866, -46.6361063 -23.539082, -46.6360793 -23.5389526, -46.6360506 -23.538812, -46.6360409 -23.5387677, -46.6360208 -23.5386739, -46.6358761 -23.537962, -46.6358594 -23.5378797, -46.6358392 -23.5377828, -46.6356257 -23.5367602, -46.6354759 -23.536051, -46.6354806 -23.535995, -46.6354898 -23.53597, -46.6355056 -23.5359538, -46.6355177 -23.5359433, -46.6355392 -23.5359354, -46.63556 -23.5359384, -46.6355787 -23.5359489, -46.635608 -23.5359769)",2,40,,,,,,,,
151268804,7811007359,0,"[252601717, 185797071]",False,Rua dos Americanos,residential,480.948,"LINESTRING (-46.6554634 -23.5231002, -46.6554658 -23.5230202, -46.6554966 -23.5221259, -46.6555165 -23.5220357, -46.6555701 -23.5219642, -46.6555936 -23.5207864, -46.6556201 -23.5197528, -46.6556239 -23.5196709, -46.6556264 -23.519609, -46.6556305 -23.5187931)",,40,,,,,,,,
158837600,7811007359,0,185797071,False,Rua dos Americanos,residential,11.51,"LINESTRING (-46.655629 -23.5186896, -46.6556305 -23.5187931)",,40,,,,,,,,
173361745,1832037299,0,"[345301157, 19796853]",True,"['Rua dos Pinheiros', 'Rua Cunha Gago']","['residential', 'secondary']",190.916,"LINESTRING (-46.6909684 -23.5681223, -46.6906346 -23.5681392, -46.690256 -23.568157, -46.6898665 -23.5681625, -46.6898132 -23.5681633, -46.6897652 -23.5681625, -46.6898013 -23.5681092, -46.6900739 -23.5677059, -46.6901175 -23.5676413)",2,40,,,,,,,,
