u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,width,ref,bridge,junction,tunnel
4919001504,4919001503,0,500981478,False,Condomínio Portal do Morumbi,service,20,12.68,"LINESTRING (-46.7350493 -23.615766, -46.7351183 -23.6158609)",,driveway,private,,,,,
4919001505,4919001506,0,500981478,False,Condomínio Portal do Morumbi,service,20,11.933,"LINESTRING (-46.7350386 -23.6156565, -46.7351024 -23.6155665)",,driveway,private,,,,,
4919001505,4919001504,0,500981478,False,Condomínio Portal do Morumbi,service,20,12.225,"LINESTRING (-46.7350386 -23.6156565, -46.7350493 -23.615766)",,driveway,private,,,,,
4919001506,4919001507,0,500981478,False,Condomínio Portal do Morumbi,service,20,93.045,"LINESTRING (-46.7351024 -23.6155665, -46.7359737 -23.6153158)",,driveway,private,,,,,
4919001506,4919001505,0,500981478,False,Condomínio Portal do Morumbi,service,20,11.933,"LINESTRING (-46.7351024 -23.6155665, -46.7350386 -23.6156565)",,driveway,private,,,,,
4919001507,4919001508,0,500981478,False,Condomínio Portal do Morumbi,service,20,120.039,"LINESTRING (-46.7359737 -23.6153158, -46.7361224 -23.6142449)",,driveway,private,,,,,
4919001507,4919001506,0,500981478,False,Condomínio Portal do Morumbi,service,20,93.045,"LINESTRING (-46.7359737 -23.6153158, -46.7351024 -23.6155665)",,driveway,private,,,,,
4919001508,4919001509,0,500981478,False,Condomínio Portal do Morumbi,service,20,15.455,"LINESTRING (-46.7361224 -23.6142449, -46.7361144 -23.6141061)",,driveway,private,,,,,
4919001508,4919001507,0,500981478,False,Condomínio Portal do Morumbi,service,20,120.039,"LINESTRING (-46.7361224 -23.6142449, -46.7359737 -23.6153158)",,driveway,private,,,,,
4919001509,4919007495,0,500981478,False,Condomínio Portal do Morumbi,service,20,16.176,"LINESTRING (-46.7361144 -23.6141061, -46.7360211 -23.6139884)",,driveway,private,,,,,
4919001509,4919001508,0,500981478,False,Condomínio Portal do Morumbi,service,20,15.455,"LINESTRING (-46.7361144 -23.6141061, -46.7361224 -23.6142449)",,driveway,private,,,,,
4919007494,4919001496,0,500980389,False,Condomínio Portal do Morumbi,service,20,233.037,"LINESTRING (-46.7375933 -23.614269, -46.739853 -23.6145935)",,driveway,private,,,,,
4919007495,4919007496,0,500981478,False,Condomínio Portal do Morumbi,service,20,122.93,"LINESTRING (-46.7360211 -23.6139884, -46.7351461 -23.6132272)",,driveway,private,,,,,
4919007495,4919001509,0,500981478,False,Condomínio Portal do Morumbi,service,20,16.176,"LINESTRING (-46.7360211 -23.6139884, -46.7361144 -23.6141061)",,driveway,private,,,,,
4919007496,7884327008,0,500981478,False,Condomínio Portal do Morumbi,service,20,83.421,"LINESTRING (-46.7351461 -23.6132272, -46.7353678 -23.612505)",,driveway,private,,,,,
4919007496,4919007495,0,500981478,False,Condomínio Portal do Morumbi,service,20,122.93,"LINESTRING (-46.7351461 -23.6132272, -46.7360211 -23.6139884)",,driveway,private,,,,,
4919329717,4919329718,0,501026641,False,Travessa Forte da Feiticeira,service,10,6.702,"LINESTRING (-46.5892515 -23.5146694, -46.5891965 -23.5147024)",,alley,,,,,,
4919329718,4919329717,0,501026641,False,Travessa Forte da Feiticeira,service,10,6.702,"LINESTRING (-46.5891965 -23.5147024, -46.5892515 -23.5146694)",,alley,,,,,,
4919329718,4919329719,0,501026641,False,Travessa Forte da Feiticeira,service,10,32.263,"LINESTRING (-46.5891965 -23.5147024, -46.5893858 -23.5149349)",,alley,,,,,,
4919329719,4919329718,0,501026641,False,Travessa Forte da Feiticeira,service,10,32.263,"LINESTRING (-46.5893858 -23.5149349, -46.5891965 -23.5147024)",,alley,,,,,,
4919329719,6582292539,0,501026641,False,Travessa Forte da Feiticeira,service,10,27.383,"LINESTRING (-46.5893858 -23.5149349, -46.5896035 -23.5147907)",,alley,,,,,,
4919329720,6582292539,0,501026641,False,Travessa Forte da Feiticeira,service,10,11.668,"LINESTRING (-46.5896963 -23.5147293, -46.5896035 -23.5147907)",,alley,,,,,,
4919495272,4919495274,0,488352968,True,Rua Abel Ramos,residential,30,8.09,"LINESTRING (-46.5845837 -23.5078599, -46.5846628 -23.5078655)",1,,,,,,,
4919495273,7279963577,0,488352968,True,Rua Abel Ramos,residential,30,8.784,"LINESTRING (-46.5847372 -23.5078656, -46.5848233 -23.507863)",1,,,,,,,
4919495274,4919495273,0,488352968,True,Rua Abel Ramos,residential,30,7.586,"LINESTRING (-46.5846628 -23.5078655, -46.5847372 -23.5078656)",1,,,,,,,
4919495292,2595844174,0,153638234,True,Praça Carauari,residential,30,3.003,"LINESTRING (-46.5851913 -23.5083197, -46.5851644 -23.5083307)",,,,,,,,
4919495293,1662758862,0,153638234,True,Praça Carauari,residential,30,5.877,"LINESTRING (-46.5849307 -23.5083333, -46.584877 -23.5083141)",,,,,,,,
4919495294,4919495293,0,153638234,True,Praça Carauari,residential,30,6.741,"LINESTRING (-46.584995 -23.5083474, -46.5849307 -23.5083333)",,,,,,,,
4919557994,5282655189,0,678291024,False,Rua Ernani Pinto,residential,30,9.349,"LINESTRING (-46.592288 -23.5029295, -46.5922122 -23.5028822)",2,,,,,,,
4919557994,436765237,0,678291024,False,Rua Ernani Pinto,residential,30,13.61,"LINESTRING (-46.592288 -23.5029295, -46.5924044 -23.5029894)",2,,,,,,,
4919557995,3507280758,0,678291024,False,Rua Ernani Pinto,residential,30,7.097,"LINESTRING (-46.5931867 -23.5032666, -46.5931258 -23.5032357)",2,,,,,,,
4919557995,4919557996,0,678291024,False,Rua Ernani Pinto,residential,30,10.286,"LINESTRING (-46.5931867 -23.5032666, -46.5932632 -23.5033269)",2,,,,,,,
4919557996,436765229,0,37396065,False,Rua Ernani Pinto,residential,30,11.084,"LINESTRING (-46.5932632 -23.5033269, -46.5933353 -23.5034015)",2,,,,,,,
4919557996,4919557995,0,678291024,False,Rua Ernani Pinto,residential,30,10.286,"LINESTRING (-46.5932632 -23.5033269, -46.5931867 -23.5032666)",2,,,,,,,
4919557997,436765229,0,37396064,False,Rua Rubiataba,residential,30,17.98,"LINESTRING (-46.5933504 -23.5035626, -46.5933353 -23.5034015)",,,,,,,,
4919557997,436765228,0,37396064,False,Rua Rubiataba,residential,30,18.165,"LINESTRING (-46.5933504 -23.5035626, -46.5933944 -23.5037209)",,,,,,,,
4919557998,436765228,0,37396064,False,Rua Rubiataba,residential,30,15.829,"LINESTRING (-46.5934483 -23.5038544, -46.5933944 -23.5037209)",,,,,,,,
4919557998,4919557999,0,37396064,False,Rua Rubiataba,residential,30,13.743,"LINESTRING (-46.5934483 -23.5038544, -46.593511 -23.5039638)",,,,,,,,
4919557999,4919557998,0,37396064,False,Rua Rubiataba,residential,30,13.743,"LINESTRING (-46.593511 -23.5039638, -46.5934483 -23.5038544)",,,,,,,,
4919557999,436765227,0,37396064,False,Rua Rubiataba,residential,30,17.838,"LINESTRING (-46.593511 -23.5039638, -46.5936055 -23.5040988)",,,,,,,,
4919558000,436765226,0,37396064,False,Rua Rubiataba,residential,30,14.881,"LINESTRING (-46.5937875 -23.5043078, -46.5936893 -23.5042088)",,,,,,,,
4919558000,436765194,0,37396064,False,Rua Rubiataba,residential,30,9.614,"LINESTRING (-46.5937875 -23.5043078, -46.5938094 -23.5043919)",,,,,,,,
4919558004,436765218,0,336896220,True,Praça Joaquim José da Nova,tertiary,30,13.236,"LINESTRING (-46.5929003 -23.5043145, -46.5929865 -23.5044035)",2,,,,,,,
4919558121,2445143973,0,252841029,False,Rua Sargento Agostinho Ferreira,residential,30,12.061,"LINESTRING (-46.5896606 -23.5023701, -46.5895431 -23.5023825)",,,,,,,,
4919558121,436765302,0,252841029,False,Rua Sargento Agostinho Ferreira,residential,30,7.888,"LINESTRING (-46.5896606 -23.5023701, -46.5897375 -23.5023778)",,,,,,,,
4919888376,436765210,0,153638152,False,Rua Marquês de Pombal,residential,30,18.597,"LINESTRING (-46.5920527 -23.5076682, -46.5921471 -23.5075251)",,,,,,,,
4919888376,4919888377,0,153638152,False,Rua Marquês de Pombal,residential,30,15.883,"LINESTRING (-46.5920527 -23.5076682, -46.5919441 -23.5077706)",,,,,,,,
4919888377,4919888376,0,153638152,False,Rua Marquês de Pombal,residential,30,15.883,"LINESTRING (-46.5919441 -23.5077706, -46.5920527 -23.5076682)",,,,,,,,
4919888377,4919888378,0,153638152,False,Rua Marquês de Pombal,residential,30,13.109,"LINESTRING (-46.5919441 -23.5077706, -46.5918387 -23.5078381)",,,,,,,,
4919888378,4919888377,0,153638152,False,Rua Marquês de Pombal,residential,30,13.109,"LINESTRING (-46.5918387 -23.5078381, -46.5919441 -23.5077706)",,,,,,,,
4919888378,4919888379,0,153638152,False,Rua Marquês de Pombal,residential,30,23.327,"LINESTRING (-46.5918387 -23.5078381, -46.5916439 -23.5079481)",,,,,,,,
4919888379,4919888378,0,153638152,False,Rua Marquês de Pombal,residential,30,23.327,"LINESTRING (-46.5916439 -23.5079481, -46.5918387 -23.5078381)",,,,,,,,
4919888379,4919888380,0,153638152,False,Rua Marquês de Pombal,residential,30,14.065,"LINESTRING (-46.5916439 -23.5079481, -46.5915185 -23.5080008)",,,,,,,,
4919888380,4919888379,0,153638152,False,Rua Marquês de Pombal,residential,30,14.065,"LINESTRING (-46.5915185 -23.5080008, -46.5916439 -23.5079481)",,,,,,,,
4919888380,4919888381,0,153638152,False,Rua Marquês de Pombal,residential,30,15.686,"LINESTRING (-46.5915185 -23.5080008, -46.5913752 -23.5080521)",,,,,,,,
4919888381,4919888380,0,153638152,False,Rua Marquês de Pombal,residential,30,15.686,"LINESTRING (-46.5913752 -23.5080521, -46.5915185 -23.5080008)",,,,,,,,
4919888381,4919888382,0,153638152,False,Rua Marquês de Pombal,residential,30,18.222,"LINESTRING (-46.5913752 -23.5080521, -46.5911992 -23.5080805)",,,,,,,,
4919888382,4919888381,0,153638152,False,Rua Marquês de Pombal,residential,30,18.222,"LINESTRING (-46.5911992 -23.5080805, -46.5913752 -23.5080521)",,,,,,,,
4919888382,4919888383,0,153638152,False,Rua Marquês de Pombal,residential,30,12.867,"LINESTRING (-46.5911992 -23.5080805, -46.5910732 -23.5080868)",,,,,,,,
4919888383,4919888382,0,153638152,False,Rua Marquês de Pombal,residential,30,12.867,"LINESTRING (-46.5910732 -23.5080868, -46.5911992 -23.5080805)",,,,,,,,
4919888383,4919888384,0,153638152,False,Rua Marquês de Pombal,residential,30,12.272,"LINESTRING (-46.5910732 -23.5080868, -46.5909543 -23.5080697)",,,,,,,,
4919888384,4919888383,0,153638152,False,Rua Marquês de Pombal,residential,30,12.272,"LINESTRING (-46.5909543 -23.5080697, -46.5910732 -23.5080868)",,,,,,,,
4919888384,4919888385,0,153638152,False,Rua Marquês de Pombal,residential,30,21.737,"LINESTRING (-46.5909543 -23.5080697, -46.5907485 -23.5080187)",,,,,,,,
4919888385,4919888384,0,153638152,False,Rua Marquês de Pombal,residential,30,21.737,"LINESTRING (-46.5907485 -23.5080187, -46.5909543 -23.5080697)",,,,,,,,
4919888385,4919888412,0,153638152,False,Rua Marquês de Pombal,residential,30,22.465,"LINESTRING (-46.5907485 -23.5080187, -46.590554 -23.5079238)",,,,,,,,
4919888404,1662758898,0,153638152,False,Rua Marquês de Pombal,residential,30,9.103,"LINESTRING (-46.5895535 -23.5085216, -46.5896298 -23.5084791)",,,,,,,,
4919888404,2723887833,0,153638152,False,Rua Marquês de Pombal,residential,30,9.671,"LINESTRING (-46.5895535 -23.5085216, -46.5894663 -23.5085558)",,,,,,,,
4919888405,1662758858,0,153638152,False,Rua Marquês de Pombal,residential,30,7.524,"LINESTRING (-46.5897025 -23.5084289, -46.5897577 -23.508384)",,,,,,,,
4919888405,1662758898,0,153638152,False,Rua Marquês de Pombal,residential,30,9.28,"LINESTRING (-46.5897025 -23.5084289, -46.5896298 -23.5084791)",,,,,,,,
4919888412,4919888385,0,153638152,False,Rua Marquês de Pombal,residential,30,22.465,"LINESTRING (-46.590554 -23.5079238, -46.5907485 -23.5080187)",,,,,,,,
4919888412,1662758828,0,153638152,False,Rua Marquês de Pombal,residential,30,14.879,"LINESTRING (-46.590554 -23.5079238, -46.5904568 -23.507824)",,,,,,,,
4919894978,5629677568,0,358713299,False,Travessa Gudulo Bornacina,residential,20,10.517,"LINESTRING (-46.5944403 -23.515833, -46.5945005 -23.5159098)",,,private,,,,,
4919910888,7279796171,0,37395897,True,Rua Leonor Fernandes Costa Zacharias,residential,30,19.963,"LINESTRING (-46.6087259 -23.5209093, -46.6085496 -23.5209874)",2,,,,,,,
4919910891,4919910888,0,37395897,True,Rua Leonor Fernandes Costa Zacharias,residential,30,49.904,"LINESTRING (-46.6091632 -23.5207077, -46.6087259 -23.5209093)",2,,,,,,,
4919916909,1708662471,0,37395897,True,Rua Leonor Fernandes Costa Zacharias,residential,30,54.987,"LINESTRING (-46.6098665 -23.5203689, -46.6093901 -23.5206007)",2,,,,,,,
4919917052,2595446176,0,253641278,False,Rua Ambauba,residential,20,49.543,"LINESTRING (-46.6100614 -23.5161144, -46.6096266 -23.5163133)",,,,,,,,
4919917052,2595446173,0,253641278,False,Rua Ambauba,residential,20,65.227,"LINESTRING (-46.6100614 -23.5161144, -46.6106295 -23.5158447)",,,,,,,,
4919917060,5556847273,0,501090747,False,Rua Luis Bento Alves,residential,30,7.996,"LINESTRING (-46.6106333 -23.5182211, -46.6107032 -23.5181885)",,,,,,,,
4919917061,5556847273,0,501090747,False,Rua Luis Bento Alves,residential,30,39.024,"LINESTRING (-46.6110443 -23.5180293, -46.6107032 -23.5181885)",,,,,,,,
4919917061,5556847274,0,501090747,False,Rua Luis Bento Alves,residential,30,60.054,"LINESTRING (-46.6110443 -23.5180293, -46.6115713 -23.5177881)",,,,,,,,
4919917062,5556847274,0,501090747,False,Rua Luis Bento Alves,residential,30,8.833,"LINESTRING (-46.6116488 -23.5177526, -46.6115713 -23.5177881)",,,,,,,,
4919918576,1708662323,0,158711090,False,Rua Lina Pizzoti,residential,30,88.059,"LINESTRING (-46.6047604 -23.5198674, -46.6039924 -23.5195051)",,,,,,,,
4919918576,1708662331,0,158711090,False,Rua Lina Pizzoti,residential,30,2.615,"LINESTRING (-46.6047604 -23.5198674, -46.6047791 -23.5198835)",,,,,,,,
