u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,ref,bridge,width,tunnel,service,access,junction
60685758,7289052106,0,8579917,True,Avenida São Luís,secondary,8.92,"LINESTRING (-46.6433097 -23.5451407, -46.6432638 -23.545209)",,,,,,,,,,
155386496,6901407768,0,647866646,True,Rua Arraias do Araguaia,secondary,8.48,"LINESTRING (-46.5018695 -23.5800823, -46.5018336 -23.5800135)",2,,,,,,,,,
155386498,6901484196,0,647866646,True,Rua Arraias do Araguaia,secondary,18.198,"LINESTRING (-46.5017454 -23.5795219, -46.5017675 -23.5793595)",2,,,,,,,,,
155386499,155386500,0,647866646,True,Rua Arraias do Araguaia,secondary,158.197,"LINESTRING (-46.5020418 -23.578126, -46.5023615 -23.5767338)",2,,,,,,,,,
155386500,1984335347,0,647866646,True,Rua Arraias do Araguaia,secondary,11.734,"LINESTRING (-46.5023615 -23.5767338, -46.5023447 -23.5766294)",2,,,,,,,,,
413363252,2466637729,0,236562332,True,Avenida Nazaré,secondary,9.759,"LINESTRING (-46.611065 -23.5837863, -46.6110592 -23.5838739)",2,50,,,,,,,,
413363307,4607896874,0,227330867,True,Avenida Nazaré,secondary,10.526,"LINESTRING (-46.6110077 -23.5846557, -46.6110016 -23.5847502)",2,50,,,,,,,,
465878666,7596645158,0,39046012,True,Rua Natingui,residential,5.283,"LINESTRING (-46.6990916 -23.5599053, -46.6990905 -23.5598578)",,,,,,,,,,
615537872,7333070562,0,784900673,False,Estrada Engenheiro Marsilac,primary,17.414,"LINESTRING (-46.7385659 -23.8395352, -46.7384546 -23.8394162)",,,,,,,,,,
615537872,4231971714,0,784900673,False,Estrada Engenheiro Marsilac,primary,61.952,"LINESTRING (-46.7385659 -23.8395352, -46.738857 -23.8400246)",,,,,,,,,,
615537878,7333070565,0,784900673,False,Estrada Engenheiro Marsilac,primary,10.07,"LINESTRING (-46.733112 -23.838455, -46.7330326 -23.8384009)",,,,,,,,,,
615537878,4231971717,0,784900673,False,Estrada Engenheiro Marsilac,primary,46.658,"LINESTRING (-46.733112 -23.838455, -46.7335487 -23.8385835)",,,,,,,,,,
615537879,5238450119,0,784900673,False,Estrada Engenheiro Marsilac,primary,34.796,"LINESTRING (-46.7325869 -23.8379453, -46.7323258 -23.8377431)",,,,,,,,,,
615537879,7333070566,0,784900673,False,Estrada Engenheiro Marsilac,primary,40.185,"LINESTRING (-46.7325869 -23.8379453, -46.7328522 -23.8382131)",,,,,,,,,,
615537881,2152524964,0,784900673,False,Estrada Engenheiro Marsilac,primary,65.448,"LINESTRING (-46.7309977 -23.8366005, -46.7307626 -23.8360526)",,,,,,,,,,
615537881,5238450109,0,784900673,False,Estrada Engenheiro Marsilac,primary,103.508,"LINESTRING (-46.7309977 -23.8366005, -46.7317475 -23.8372299)",,,,,,,,,,
615537884,7333070579,0,784900673,False,Estrada Engenheiro Marsilac,primary,24.575,"LINESTRING (-46.7305188 -23.8349484, -46.7305209 -23.8347274)",,,,,,,,,,
