u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,tunnel,width
8310702,6542970,0,1929864,True,Kjeld Langes Gade,residential,30,125.053,"LINESTRING (12.5643659 55.6828458, 12.562608 55.6833774)",,,,,
8310703,3396822919,0,1833829,True,Nansensgade,residential,30,36.524,"LINESTRING (12.5637976 55.6823714, 12.5641237 55.6826436)",,,,,
8310703,8310704,0,1929865,True,Schacksgade,residential,30,104.324,"LINESTRING (12.5637976 55.6823714, 12.565201 55.6818672)",,,,,
8463260,562654460,0,4234182,True,Vendersgade,tertiary,30,127.079,"LINESTRING (12.5664766 55.6846627, 12.5650334 55.6854653)",,,,,
8463260,7846717,0,27294502,False,Nansensgade,residential,30,91.833,"LINESTRING (12.5664766 55.6846627, 12.567291 55.6853492)",,,,,
8463260,1727406928,0,27294504,True,Vendersgade,tertiary,30,60.672,"LINESTRING (12.5664766 55.6846627, 12.5671891 55.6842934)",,,,,
8468150,3684636520,0,342891531,False,Stengade,residential,30,8.579,"LINESTRING (12.5544179 55.6865214, 12.5544739 55.6865918)",,,,,
8473326,8099305,0,2061660,True,Sofiegade,residential,30,71.215,"LINESTRING (12.5913667 55.670692, 12.5905403 55.6711313)",,,,,
8473326,8473329,0,10627300,False,Prinsessegade,residential,30,81.951,"LINESTRING (12.5913667 55.670692, 12.5904968 55.670142)",,,,,
8473326,5421127303,0,106675531,False,Sofiegade,residential,30,54.046,"LINESTRING (12.5913667 55.670692, 12.591993 55.6703581)",,,,,
8473329,1435817394,0,10627300,False,Prinsessegade,residential,30,11.923,"LINESTRING (12.5904968 55.670142, 12.5903669 55.6700637)",,,,,
8473329,8473326,0,10627300,False,Prinsessegade,residential,30,81.951,"LINESTRING (12.5904968 55.670142, 12.5913667 55.670692)",,,,,
8473330,1435817394,0,10627300,False,Prinsessegade,residential,30,7.081,"LINESTRING (12.5902879 55.6700182, 12.5903669 55.6700637)",,,,,
8473330,1227107787,0,106675528,False,Christianshavns Voldgade,residential,30,9.731,"LINESTRING (12.5902879 55.6700182, 12.5901477 55.6699807)",,,,,
8473330,1227107816,0,106675528,False,Christianshavns Voldgade,residential,30,20.422,"LINESTRING (12.5902879 55.6700182, 12.5906109 55.6700416)",,,,,
