u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,access,tunnel,width,est_width,junction,service
3815277089,4187901869,0,111696614,False,2,Via San Dionigi,tertiary,,5.076,"LINESTRING (9.2263822 45.4299391, 9.226353899999999 45.4299802)",,,,,,,
3815277094,4187901869,0,111696614,False,2,Via San Dionigi,tertiary,,239.336,"LINESTRING (9.2243128 45.4315588, 9.225979300000001 45.4304465, 9.2260326 45.4304088, 9.2260768 45.4303673, 9.226122200000001 45.4303162, 9.226353899999999 45.4299802)",,,,,,,
4187901869,3815277089,0,111696614,False,2,Via San Dionigi,tertiary,,5.076,"LINESTRING (9.226353899999999 45.4299802, 9.2263822 45.4299391)",,,,,,,
4187901869,3815277094,0,111696614,False,2,Via San Dionigi,tertiary,,239.336,"LINESTRING (9.226353899999999 45.4299802, 9.226122200000001 45.4303162, 9.2260768 45.4303673, 9.2260326 45.4304088, 9.225979300000001 45.4304465, 9.2243128 45.4315588)",,,,,,,
4187901869,2725064188,0,402260617,False,,,cycleway,,254.328,"LINESTRING (9.226353899999999 45.4299802, 9.226405099999999 45.4300002, 9.2261524 45.4303561, 9.226006 45.430475, 9.224363 45.4315677, 9.224270300000001 45.4316473)",,,,,,,
4187901869,4046742283,0,"[402260617, 402260209]",False,,,cycleway,,1353.056,"LINESTRING (9.226353899999999 45.4299802, 9.2262868 45.4299541, 9.2263482 45.4298521, 9.226405099999999 45.4297099, 9.226362399999999 45.4296819, 9.2263176 45.4296177, 9.2263664 45.4295559, 9.226471699999999 45.4294869, 9.226772199999999 45.429325, 9.2269252 45.4292189, 9.227409099999999 45.4287463, 9.228056199999999 45.428077, 9.2285243 45.4274892, 9.2296443 45.4266744, 9.230981099999999 45.4254896, 9.231318 45.425191, 9.2333725 45.4235683, 9.234359599999999 45.4227249, 9.234890699999999 45.4223522, 9.2353305 45.4220886, 9.2362103 45.4215954, 9.237401200000001 45.4209101)",,,,,,,
6324304063,705722212,0,277011151,False,,Via Varesina,tertiary,,4.177,"LINESTRING (9.1393728 45.5028522, 9.1393398 45.5028818)",,,,,,,
6324304063,256031889,0,"[276233841, 277011151]",False,,Via Varesina,tertiary,,84.227,"LINESTRING (9.1393728 45.5028522, 9.139807599999999 45.5024628, 9.140042299999999 45.5022576)",,,,,,,
6324304063,3646646634,0,675314994,False,,,cycleway,,1281.8289999999995,"LINESTRING (9.1393728 45.5028522, 9.1393562 45.5028185, 9.139778 45.5024475, 9.1411587 45.5012403, 9.1412125 45.5012035, 9.1412245 45.5011915, 9.141238 45.5011792, 9.1413732 45.5010533, 9.1417407 45.500728, 9.1424837 45.5000926, 9.142970800000001 45.4996699, 9.143766400000001 45.4989677, 9.144342200000001 45.4984492, 9.144404099999999 45.4983874, 9.1460054 45.4969774, 9.1464721 45.4965638, 9.146920100000001 45.4961182, 9.146977100000001 45.496061, 9.1471775 45.4958493, 9.147738199999999 45.4951785, 9.148073399999999 45.4948058, 9.148483799999999 45.4943358, 9.148912899999999 45.4938281, 9.1490068 45.4937003, 9.1491185 45.49361)",,,,,,,
21226136,2517370906,0,"[270668139, 362231885, 270668141, 8311379, 273266772]",True,,Bastioni di Porta Venezia,secondary,,311.149,"LINESTRING (9.2043555 45.4745374, 9.2042658 45.4745842, 9.204098200000001 45.4746581, 9.2034582 45.4749498, 9.2029839 45.4751574, 9.202788699999999 45.4752476, 9.2017554 45.4757221, 9.2010086 45.4760608)",,,,,,,
153558266,2915911492,0,"[32278154, 288045507]",False,,Via Principe Eugenio,residential,,67.715,"LINESTRING (9.1676824 45.4919445, 9.1682647 45.4923038, 9.1682945 45.4923323, 9.168309600000001 45.4923602)",,,,,,,
153558269,2915911492,0,"[267292075, 288045507]",False,,Via Principe Eugenio,residential,,243.64000000000001,"LINESTRING (9.166199799999999 45.4939436, 9.166736500000001 45.4936272, 9.1670991 45.4933573, 9.167367 45.493156, 9.167648700000001 45.4929434, 9.1682907 45.4924591, 9.1683112 45.492424, 9.1683159 45.4923925, 9.168309600000001 45.4923602)",,,,,,,
295560572,2799099888,0,"[26971424, 25765153]",False,,Via Domokos,residential,,323.27000000000004,"LINESTRING (9.1219184 45.4678455, 9.1218409 45.4677742, 9.1218001 45.4677225, 9.1217793 45.4676825, 9.121762 45.4676309, 9.1217595 45.4675865, 9.1217665 45.4675416, 9.1217893 45.4675049, 9.121827 45.4674747, 9.1218691 45.4674485, 9.1219178 45.4674243, 9.121991599999999 45.4674089, 9.122064099999999 45.4674062, 9.122143700000001 45.4674135, 9.122228399999999 45.467426, 9.122302899999999 45.4674413, 9.1223837 45.467463, 9.122478600000001 45.4674959, 9.122560999999999 45.4675319, 9.123273899999999 45.4679024, 9.123335900000001 45.4679297, 9.1234024 45.4679479, 9.123506000000001 45.4679666, 9.1235389 45.4679729, 9.124040900000001 45.4680698, 9.125064699999999 45.4682673)",,,,,,,
310062493,2711555983,0,"[28230273, 265503741, 265503734]",True,,"['Via Vincenzo Amidani', 'Via Antegnati']",unclassified,,324.371,"LINESTRING (9.199972900000001 45.4248599, 9.1999742 45.4247527, 9.1999599 45.4246507, 9.2003673 45.4237071, 9.200388999999999 45.4235742, 9.2003868 45.4234921, 9.200358100000001 45.4233933, 9.2002983 45.4232915, 9.200212000000001 45.4231952, 9.1996135 45.4227044, 9.199560200000001 45.422671, 9.199480700000001 45.4226381, 9.199423599999999 45.4226365, 9.1993723 45.422651, 9.199219599999999 45.4227225, 9.1989921 45.4228622)",,,,,,,
1408209811,2725186516,0,233508508,True,,Cavalcavia Eugenio Bussa,unclassified,50,34.587,"LINESTRING (9.1851748 45.4841328, 9.1854738 45.4843626)",yes,yes,,,,,
1408209811,7859210713,0,402263138,False,,Cavalcavia Eugenio Bussa,cycleway,,2.14,"LINESTRING (9.1851748 45.4841328, 9.1851714 45.4841519)",yes,,,,,,
2517370896,2517370906,0,244418971,False,,,cycleway,,12.576,"LINESTRING (9.2009189 45.4759668, 9.2010086 45.4760608)",,,,,,,
2517370896,2517370912,0,244418971,False,,,cycleway,,7.36,"LINESTRING (9.2009189 45.4759668, 9.2008668 45.4759116)",,,,,,,
2517370896,21306385,0,"[270668137, 129032132, 270668143]",True,,Bastioni di Porta Venezia,secondary,,316.71500000000003,"LINESTRING (9.2009189 45.4759668, 9.201030100000001 45.4759135, 9.2016644 45.4756243, 9.2029116 45.475068, 9.2041986 45.4744999, 9.204329299999999 45.4744218)",,,,,,,
2517370906,2517372266,0,244418971,False,,,cycleway,,5.579,"LINESTRING (9.2010086 45.4760608, 9.201048399999999 45.4761025)",,,,,,,
2517370906,2517370896,0,244418971,False,,,cycleway,,12.576,"LINESTRING (9.2010086 45.4760608, 9.2009189 45.4759668)",,,,,,,
2517370906,2517370907,0,"[129032121, 270668141]",True,,"['Bastioni di Porta Venezia', 'Viale Città di Fiume']",secondary,,10.671,"LINESTRING (9.2010086 45.4760608, 9.2009542 45.4760856, 9.2008946 45.4761139)",,,,,,,
2517370907,2517372263,0,244418974,False,,,cycleway,,5.6,"LINESTRING (9.2008946 45.4761139, 9.2009338 45.4761561)",,,,,,,
