u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,bridge,access,tunnel,width
31027344,31027309,0,"[4826610, 170299626]",False,,cycleway,436.1680000000002,"LINESTRING (9.159445699999999 45.4620429, 9.1594228 45.4620727, 9.1593956 45.4621309, 9.1589434 45.4630498, 9.1589262 45.4631438, 9.1588551 45.464124, 9.1588511 45.4641448, 9.158837699999999 45.4641698, 9.158810900000001 45.4641988, 9.158765499999999 45.4642221, 9.158658900000001 45.4642559, 9.1584919 45.4643089, 9.1583539 45.4643605, 9.158334699999999 45.4643748, 9.1583191 45.4643955, 9.158314900000001 45.4644085, 9.1583161 45.464422, 9.158452199999999 45.4648459, 9.1584611 45.464859, 9.1584749 45.4648708, 9.1584947 45.4648826, 9.158605400000001 45.4649242, 9.1586249 45.4649355, 9.158634599999999 45.4649514, 9.1586386 45.4649647, 9.158665600000001 45.4650423, 9.158674299999999 45.4650787, 9.1586683 45.4651029, 9.158650099999999 45.465126, 9.158575000000001 45.4651961, 9.158566199999999 45.465219, 9.158559 45.4652668, 9.158584299999999 45.4653463, 9.158682499999999 45.4655755)",,,,,,
101538310,5143844884,0,"[31743714, 112413059, 529556299, 305394795, 37039789, 561116050, 305394773, 561116054]",False,"['Viale Enrico Martini', 'Corso Lodi']",cycleway,1538.102,"LINESTRING (9.2240225 45.437999, 9.2240199 45.4381665, 9.223982299999999 45.4382117, 9.223949899999999 45.4394432, 9.2240126 45.4395159, 9.224001700000001 45.4397772, 9.2239991 45.4397919, 9.2239942 45.4398091, 9.223983199999999 45.439827, 9.2239694 45.4398431, 9.223951100000001 45.4398575, 9.2238735 45.4399069, 9.2238162 45.4399413, 9.223797100000001 45.4399596, 9.2237867 45.4399758, 9.223782399999999 45.439991, 9.2237843 45.4400041, 9.223792700000001 45.440019, 9.2238328 45.440065, 9.223879699999999 45.4401178, 9.2238828 45.4401255, 9.2238823 45.4401328, 9.2238796 45.4401415, 9.223872800000001 45.440149, 9.223863100000001 45.4401549, 9.2238454 45.4401635, 9.2237542 45.4402076, 9.222726400000001 45.4407183, 9.221226700000001 45.4414534, 9.2203508 45.4418827, 9.219385900000001 45.4423906, 9.219359000000001 45.4424112, 9.2193091 45.4424204, 9.2192253 45.4424643, 9.219124799999999 45.4425301, 9.2190595 45.4425753, 9.2189938 45.4426116, 9.217949600000001 45.4430991, 9.217896 45.4431213, 9.217873900000001 45.4431184, 9.217851700000001 45.4431161, 9.2177168 45.4431744, 9.215949800000001 45.4439755, 9.2155866 45.4441509, 9.2155062 45.4442061, 9.215393199999999 45.4442671, 9.2147054 45.4445984, 9.2146115 45.4446539, 9.214191700000001 45.444891, 9.2136844 45.4452039, 9.213138000000001 45.4455407, 9.2130946 45.4455685, 9.212793 45.4457619, 9.212484 45.4459495, 9.2112474 45.4467181, 9.2107232 45.4470374, 9.2106844 45.4470617)",,,yes,,,
127664642,1272557429,0,"[13759187, 111768014]",False,Viale Omero,cycleway,640.6499999999999,"LINESTRING (9.2242458 45.4369693, 9.224262400000001 45.4356242, 9.224262299999999 45.434849, 9.2242695 45.4345294, 9.224309099999999 45.4322971, 9.224107699999999 45.4322474, 9.2240628 45.432233, 9.2240216 45.4321815, 9.2240026 45.4321598, 9.2239644 45.4321413, 9.2238293 45.4320908, 9.223813099999999 45.4320784, 9.2237872 45.4320471, 9.223744200000001 45.4319602, 9.2237458 45.4319294, 9.2237431 45.4318983, 9.2237445 45.4318635, 9.223751200000001 45.4318324, 9.223771299999999 45.4317854, 9.2237901 45.431743, 9.2238129 45.431727, 9.2238477 45.4317092, 9.223896 45.4316884, 9.223940300000001 45.4316715, 9.2239872 45.4316593, 9.224051599999999 45.4316442, 9.224093099999999 45.4316357, 9.224138699999999 45.4316348, 9.2241924 45.4316489)",,,,,,
245484610,245484616,0,22818012,False,,cycleway,67.55,"LINESTRING (9.100832499999999 45.4790186, 9.1009648 45.4790386, 9.101066599999999 45.4790037, 9.101156400000001 45.4789116, 9.1012217 45.4788294, 9.101307800000001 45.4787892, 9.101403100000001 45.478793, 9.101506799999999 45.4788426)",,,,,,
245484616,245484628,0,22818012,False,,cycleway,152.39600000000002,"LINESTRING (9.101506799999999 45.4788426, 9.101517299999999 45.4788807, 9.1014877 45.4789558, 9.101324699999999 45.479028, 9.1011101 45.4791002, 9.101004 45.4791356, 9.1009314 45.479213, 9.1009771 45.47931, 9.1010791 45.4793383, 9.101210500000001 45.4793088, 9.1012903 45.4792567, 9.1014277 45.4791544, 9.1016165 45.4790368, 9.1017563 45.4789943)",,,,,,
245484616,245484610,0,22818012,False,,cycleway,67.55,"LINESTRING (9.101506799999999 45.4788426, 9.101403100000001 45.478793, 9.101307800000001 45.4787892, 9.1012217 45.4788294, 9.101156400000001 45.4789116, 9.101066599999999 45.4790037, 9.1009648 45.4790386, 9.100832499999999 45.4790186)",,,,,,
245484616,1821364175,0,59995414,False,,cycleway,69.55699999999999,"LINESTRING (9.101506799999999 45.4788426, 9.1015754 45.4787083, 9.1016508 45.4785886, 9.1018311 45.4784141, 9.101941500000001 45.4783233, 9.1019594 45.4783115)",,,,,,
245484628,245484616,0,22818012,False,,cycleway,152.396,"LINESTRING (9.1017563 45.4789943, 9.1016165 45.4790368, 9.1014277 45.4791544, 9.1012903 45.4792567, 9.101210500000001 45.4793088, 9.1010791 45.4793383, 9.1009771 45.47931, 9.1009314 45.479213, 9.101004 45.4791356, 9.1011101 45.4791002, 9.101324699999999 45.479028, 9.1014877 45.4789558, 9.101517299999999 45.4788807, 9.101506799999999 45.4788426)",,,,,,
245484629,245484647,0,22818073,False,,cycleway,183.71,"LINESTRING (9.1026419 45.4804478, 9.1027738 45.4804127, 9.1030043 45.480415, 9.103118500000001 45.4803941, 9.1031598 45.4803573, 9.103185 45.4803168, 9.1031712 45.4802458, 9.103127799999999 45.4802102, 9.1030575 45.4801856, 9.102904000000001 45.4801835, 9.1027472 45.4801914, 9.1026667 45.4801677, 9.102619300000001 45.4801141, 9.1026208 45.4800602, 9.1026647 45.4800042, 9.102721799999999 45.4799819, 9.1028302 45.4799863, 9.1031867 45.4800997, 9.103266100000001 45.4800927, 9.1033306 45.4800533, 9.1033703 45.4799872)",,,,,,
245484647,245484629,0,22818073,False,,cycleway,183.71,"LINESTRING (9.1033703 45.4799872, 9.1033306 45.4800533, 9.103266100000001 45.4800927, 9.1031867 45.4800997, 9.1028302 45.4799863, 9.102721799999999 45.4799819, 9.1026647 45.4800042, 9.1026208 45.4800602, 9.102619300000001 45.4801141, 9.1026667 45.4801677, 9.1027472 45.4801914, 9.102904000000001 45.4801835, 9.1030575 45.4801856, 9.103127799999999 45.4802102, 9.1031712 45.4802458, 9.103185 45.4803168, 9.1031598 45.4803573, 9.103118500000001 45.4803941, 9.1030043 45.480415, 9.1027738 45.4804127, 9.1026419 45.4804478)",,,,,,
