y,x,osmid,ref,highway,geometry
45.4719209,9.1119265,2807381927,,,POINT (9.111926499999999 45.4719209)
45.4719323,9.1120471,2807381928,,,POINT (9.1120471 45.4719323)
45.501558,9.1076691,2807570329,,,POINT (9.107669100000001 45.501558)
45.501526,9.1074462,2807570336,,crossing,POINT (9.1074462 45.501526)
45.50155,9.1075356,2807570338,,,POINT (9.1075356 45.50155)
45.501558,9.1075991,2807570339,,,POINT (9.1075991 45.501558)
45.4919559,9.1179473,2807580457,,,POINT (9.117947300000001 45.4919559)
45.4923767,9.1182866,2807580460,,,POINT (9.118286599999999 45.4923767)
45.4158421,9.1813103,2812441248,,,POINT (9.1813103 45.4158421)
45.4160375,9.1811044,2812441249,,crossing,POINT (9.181104400000001 45.4160375)
45.5099252,9.1833946,2812836523,,,POINT (9.1833946 45.5099252)
45.4996008,9.1343524,2815624586,,,POINT (9.134352399999999 45.4996008)
45.4548662,9.1661504,2818510865,,,POINT (9.166150399999999 45.4548662)
45.4488367,9.1668284,2818540868,,,POINT (9.1668284 45.4488367)
45.4493881,9.1640899,2818540869,,,POINT (9.1640899 45.4493881)
45.4496228,9.165181,2818540870,,,POINT (9.165181 45.4496228)
45.449932,9.1677856,2818540872,,,POINT (9.1677856 45.449932)
45.4500599,9.1683213,2818540873,,,POINT (9.168321300000001 45.4500599)
45.4504017,9.1689858,2818540874,,,POINT (9.1689858 45.4504017)
45.4489018,9.173433,2820206918,,,POINT (9.173432999999999 45.4489018)
45.4493632,9.1733342,2820206925,,,POINT (9.173334199999999 45.4493632)
45.4496346,9.1738805,2820206927,,,POINT (9.173880499999999 45.4496346)
45.4497043,9.1741722,2820206929,,,POINT (9.174172199999999 45.4497043)
45.4497779,9.1746355,2820206946,,,POINT (9.174635500000001 45.4497779)
45.4522769,9.1700478,2820206988,,,POINT (9.170047800000001 45.4522769)
45.4502045,9.1755041,2820218926,,,POINT (9.175504099999999 45.4502045)
45.4503432,9.1757358,2820218928,,,POINT (9.1757358 45.4503432)
45.4505546,9.1761044,2820218929,,,POINT (9.1761044 45.4505546)
45.4511196,9.1768748,2820218930,,,POINT (9.1768748 45.4511196)
45.4512079,9.1770619,2820218931,,,POINT (9.1770619 45.4512079)
45.4513753,9.1775654,2820218933,,,POINT (9.177565400000001 45.4513753)
45.4521767,9.1772381,2820218936,,,POINT (9.1772381 45.4521767)
45.4553008,9.2594039,2820767597,,,POINT (9.259403900000001 45.4553008)
45.5060837,9.2604068,2820940652,,,POINT (9.2604068 45.5060837)
45.4615501,9.1857765,2821047311,,,POINT (9.185776499999999 45.4615501)
45.4497791,9.1773693,2830210399,,,POINT (9.177369300000001 45.4497791)
