u,v,key,osmid,bridge,lanes,name,highway,maxspeed,oneway,length,geometry,access,tunnel,width
256034422,1538079533,0,274289393,,,Via Varesina,tertiary,,False,9.379,"LINESTRING (9.144373699999999 45.4984768, 9.144448799999999 45.4984109)",,,
256034422,256034420,0,276233236,,,Via Varesina,tertiary,,False,72.019,"LINESTRING (9.144373699999999 45.4984768, 9.1437969 45.4989828)",,,
256038169,1944651134,0,276231929,,,Via Varesina,tertiary,,False,1.623,"LINESTRING (9.1412697 45.5011993, 9.1412567 45.5012107)",,,
256038169,6721542688,0,276231929,,,Via Varesina,tertiary,,False,5.049,"LINESTRING (9.1412697 45.5011993, 9.1413101 45.5011638)",,,
256039109,256031889,0,276233841,,,Via Varesina,tertiary,,False,29.244,"LINESTRING (9.139807599999999 45.5024628, 9.140042299999999 45.5022576)",,,
256039109,6324304063,0,277011151,,,Via Varesina,tertiary,,False,54.983,"LINESTRING (9.139807599999999 45.5024628, 9.1393728 45.5028522)",,,
256039873,6721542689,0,276231930,,,Via Varesina,tertiary,,False,63.582,"LINESTRING (9.1406619 45.5017324, 9.1411712 45.5012857)",,,
256039873,1561046868,0,276233237,,,Via Varesina,tertiary,,False,13.961,"LINESTRING (9.1406619 45.5017324, 9.1405501 45.5018305)",,,
273129377,251289217,0,273287558,,,Via Giuseppe Verdi,residential,,True,20.507,"LINESTRING (9.188514100000001 45.4686617, 9.188612600000001 45.4684907)",,,
280073724,3774409801,0,374036851,,2,Via Ernesto Breda,unclassified,50,False,38.266,"LINESTRING (9.2135734 45.5090039, 9.2135151 45.5086622)",,,
705722212,6324304063,0,277011151,,,Via Varesina,tertiary,,False,4.177,"LINESTRING (9.1393398 45.5028818, 9.1393728 45.5028522)",,,
1278935742,136778865,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,7.837,"LINESTRING (9.2113193 45.5068646, 9.211397399999999 45.506909)",,,
1278935742,1579436493,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,11.789,"LINESTRING (9.2113193 45.5068646, 9.2112181 45.5067858)",,,
1279206549,136778874,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,23.231,"LINESTRING (9.213243500000001 45.5079583, 9.213359000000001 45.5081509)",,,
1279206549,136778873,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,19.095,"LINESTRING (9.213243500000001 45.5079583, 9.213115200000001 45.507812)",,,
1279206613,136778875,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,23.791,"LINESTRING (9.2134365 45.5083513, 9.213497800000001 45.5085609)",,,
1279206613,136778874,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,23.087,"LINESTRING (9.2134365 45.5083513, 9.213359000000001 45.5081509)",,,
1279206641,3774409800,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,12.72,"LINESTRING (9.2129467 45.5076551, 9.2130458 45.507746)",,,
1279206641,136778871,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,21.419,"LINESTRING (9.2129467 45.5076551, 9.2127643 45.507511)",,,
1345740833,254602515,0,264900317,,,Viale Affori,residential,30,True,6.774,"LINESTRING (9.168514999999999 45.5169296, 9.1684286 45.5169228)",,,
1449050684,251289219,0,273287559,,2,Via Giuseppe Verdi,residential,,True,72.813,"LINESTRING (9.188852199999999 45.4682612, 9.189509899999999 45.4677964)",,,
1449050692,251289216,0,23227334,,,Via Giuseppe Verdi,residential,,True,35.905,"LINESTRING (9.188260400000001 45.4691138, 9.1884152 45.4688097)",,,
1481358375,6721542689,0,276231930,,,Via Varesina,tertiary,,False,9.084,"LINESTRING (9.141244 45.5012219, 9.1411712 45.5012857)",,,
1481358375,1944651134,0,276231930,,,Via Varesina,tertiary,,False,1.591,"LINESTRING (9.141244 45.5012219, 9.1412567 45.5012107)",,,
1500362316,2659364699,0,274289407,,,Via Varesina,tertiary,,False,15.515,"LINESTRING (9.1477296 45.4952568, 9.1476278 45.4953767)",,,
1500362316,255507980,0,274289407,,,Via Varesina,tertiary,,False,8.437,"LINESTRING (9.1477296 45.4952568, 9.1477866 45.4951923)",,,
1500373148,255507765,0,274289407,,,Via Varesina,tertiary,,False,5.765,"LINESTRING (9.147066300000001 45.4960289, 9.1470281 45.4960733)",,,
1500373148,2659364699,0,274289407,,,Via Varesina,tertiary,,False,84.704,"LINESTRING (9.147066300000001 45.4960289, 9.1476278 45.4953767)",,,
1538079285,255506956,0,274289400,,,Via Varesina,tertiary,,False,6.781,"LINESTRING (9.1465794 45.496535, 9.146530200000001 45.4965853)",,,
1538079285,255507765,0,274289400,,,Via Varesina,tertiary,,False,62.119,"LINESTRING (9.1465794 45.496535, 9.1470281 45.4960733)",,,
1538079295,256033469,0,260431552,,,Via Varesina,tertiary,,False,224.049,"LINESTRING (9.146490399999999 45.4966245, 9.144692900000001 45.4981969)",,,
1538079295,255506956,0,260431552,,,Via Varesina,tertiary,,False,5.35,"LINESTRING (9.146490399999999 45.4966245, 9.146530200000001 45.4965853)",,,
1538079533,256034422,0,274289393,,,Via Varesina,tertiary,,False,9.379,"LINESTRING (9.144448799999999 45.4984109, 9.144373699999999 45.4984768)",,,
1538079533,256033469,0,274289393,,,Via Varesina,tertiary,,False,30.466,"LINESTRING (9.144448799999999 45.4984109, 9.144692900000001 45.4981969)",,,
1538093944,256032840,0,276231928,,,Via Varesina,tertiary,,False,9.284,"LINESTRING (9.1430688 45.4996214, 9.142994399999999 45.4996866)",,,
1538093944,1559843496,0,276231928,,,Via Varesina,tertiary,,False,82.327,"LINESTRING (9.1430688 45.4996214, 9.1437282 45.499043)",,,
1538093962,3596113514,0,276231929,,,Via Varesina,tertiary,,False,8.499,"LINESTRING (9.142905300000001 45.4997648, 9.142837200000001 45.4998245)",,,
1538093962,256032840,0,276231929,,,Via Varesina,tertiary,,False,11.128,"LINESTRING (9.142905300000001 45.4997648, 9.142994399999999 45.4996866)",,,
1559843496,1538093944,0,276231928,,,Via Varesina,tertiary,,False,82.327,"LINESTRING (9.1437282 45.499043, 9.1430688 45.4996214)",,,
1559843496,256034420,0,276231928,,,Via Varesina,tertiary,,False,8.572,"LINESTRING (9.1437282 45.499043, 9.1437969 45.4989828)",,,
1561046868,256031889,0,276233237,,,Via Varesina,tertiary,,False,61.819,"LINESTRING (9.1405501 45.5018305, 9.140042299999999 45.5022576)",,,
1561046868,256039873,0,276233237,,,Via Varesina,tertiary,,False,13.961,"LINESTRING (9.1405501 45.5018305, 9.1406619 45.5017324)",,,
1579436493,1278935742,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,11.789,"LINESTRING (9.2112181 45.5067858, 9.2113193 45.5068646)",,,
1584818312,1584826214,0,293717175,,2,Via Giuseppe Verdi,residential,,True,1.095,"LINESTRING (9.1899906 45.4674558, 9.189997699999999 45.4674473)",,,
