u,v,key,osmid,highway,oneway,length,geometry,bridge,name,maxspeed,service,lanes,access,width
896423004,896422884,0,75923998,pedestrian,False,10.885,"LINESTRING (-6.8298113 34.0260652, -6.8299199 34.0260267)",,Rue du Mellah زنقة الملاح,20,,,,
896423248,6958844650,0,75923998,pedestrian,False,26.206,"LINESTRING (-6.8295604 34.0261524, -6.8292999 34.0262469)",,Rue du Mellah زنقة الملاح,20,,,,
896423248,6958844684,0,75923998,pedestrian,False,4.585,"LINESTRING (-6.8295604 34.0261524, -6.8296063 34.0261365)",,Rue du Mellah زنقة الملاح,20,,,,
896423384,6958844642,0,75923998,pedestrian,False,24.741,"LINESTRING (-6.8292749 34.026256, -6.8290271 34.0263416)",,Rue du Mellah زنقة الملاح,20,,,,
896423384,6958844650,0,75923998,pedestrian,False,2.516,"LINESTRING (-6.8292749 34.026256, -6.8292999 34.0262469)",,Rue du Mellah زنقة الملاح,20,,,,
896423529,6958844662,0,75923998,pedestrian,False,21.123,"LINESTRING (-6.8289843 34.0263564, -6.8287718 34.0264276)",,Rue du Mellah زنقة الملاح,20,,,,
896423529,6958844642,0,75923998,pedestrian,False,4.274,"LINESTRING (-6.8289843 34.0263564, -6.8290271 34.0263416)",,Rue du Mellah زنقة الملاح,20,,,,
896423611,896423891,0,75923998,pedestrian,False,18.711,"LINESTRING (-6.8287145 34.0264468, -6.828525 34.0265072)",,Rue du Mellah زنقة الملاح,20,,,,
896423611,6958844662,0,75923998,pedestrian,False,5.696,"LINESTRING (-6.8287145 34.0264468, -6.8287718 34.0264276)",,Rue du Mellah زنقة الملاح,20,,,,
896423822,896423992,0,75923998,pedestrian,False,18.585,"LINESTRING (-6.8284327 34.0265375, -6.8282468 34.0266023)",,Rue du Mellah زنقة الملاح,20,,,,
896423822,896423891,0,75923998,pedestrian,False,9.149,"LINESTRING (-6.8284327 34.0265375, -6.828525 34.0265072)",,Rue du Mellah زنقة الملاح,20,,,,
896423891,896423822,0,75923998,pedestrian,False,9.149,"LINESTRING (-6.828525 34.0265072, -6.8284327 34.0265375)",,Rue du Mellah زنقة الملاح,20,,,,
896423891,896423611,0,75923998,pedestrian,False,18.711,"LINESTRING (-6.828525 34.0265072, -6.8287145 34.0264468)",,Rue du Mellah زنقة الملاح,20,,,,
896423992,896424072,0,75923998,pedestrian,False,5.845,"LINESTRING (-6.8282468 34.0266023, -6.8281879 34.0266218)",,Rue du Mellah زنقة الملاح,20,,,,
896423992,896423822,0,75923998,pedestrian,False,18.585,"LINESTRING (-6.8282468 34.0266023, -6.8284327 34.0265375)",,Rue du Mellah زنقة الملاح,20,,,,
896424072,896417752,0,75923998,pedestrian,False,45.317,"LINESTRING (-6.8281879 34.0266218, -6.8277314 34.0267733)",,Rue du Mellah زنقة الملاح,20,,,,
896424072,896423992,0,75923998,pedestrian,False,5.845,"LINESTRING (-6.8281879 34.0266218, -6.8282468 34.0266023)",,Rue du Mellah زنقة الملاح,20,,,,
1686040423,6726933040,0,264036339,primary,True,2.98,"LINESTRING (-6.8384458 34.0148565, -6.8384609 34.0148802)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
1686040425,4501133372,0,264036339,primary,True,16.409,"LINESTRING (-6.8385447 34.0138369, -6.8384998 34.0139797)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
1686040451,6726933037,0,264036339,primary,True,9.834,"LINESTRING (-6.8385903 34.0136301, -6.8385775 34.0137179)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
1772520942,2610928464,0,255400674,living_street,False,8.307,"LINESTRING (-6.8352227 34.029337, -6.8352342 34.0292629)",,Rue des Consuls شارع القناصل,20,,,,
2008210258,6840277725,0,101917979,service,True,27.755,"LINESTRING (-6.8549764 34.0023577, -6.8551905 34.0021822)",,,30,driveway,,,
2189092203,6769303596,0,208636990,unclassified,False,5.503,"LINESTRING (-6.8640284 33.9811232, -6.8639915 33.9811621)",,Accès principal,20,,1,,
2189092203,6925637362,0,208636990,unclassified,False,16.988,"LINESTRING (-6.8640284 33.9811232, -6.8641438 33.9810041)",,Accès principal,20,,1,,
2189092296,6769303590,0,208636990,unclassified,False,16.499,"LINESTRING (-6.8642221 33.9814835, -6.864082 33.9813912)",,Accès principal,20,,1,,
2189092297,6769303588,0,208636990,unclassified,False,11.785,"LINESTRING (-6.8644562 33.9806339, -6.8643958 33.9807273)",,Accès principal,20,,1,,
2189092297,6769320229,0,208636990,unclassified,False,12.975,"LINESTRING (-6.8644562 33.9806339, -6.8645239 33.9805316)",,Accès principal,20,,1,,
2189092321,6769320229,0,208636990,unclassified,False,10.704,"LINESTRING (-6.8645795 33.9804471, -6.8645239 33.9805316)",,Accès principal,20,,1,,
2423964909,6969816730,0,609299334,tertiary,False,14.315,"LINESTRING (-6.8514026 33.9933788, -6.851399 33.9935075)",,Avenue Ibn Sina شارع ابن سينا,20,,4,,
2423964909,5771399828,0,609299334,tertiary,False,44.912,"LINESTRING (-6.8514026 33.9933788, -6.8514008 33.9929749)",,Avenue Ibn Sina شارع ابن سينا,20,,4,,
2477699045,6775179269,0,240002999,residential,True,17.814,"LINESTRING (-6.885597 33.9571282, -6.8857187 33.9570038)",,,30,,1,destination,
2477699048,6800135686,0,240002999,residential,True,10.197,"LINESTRING (-6.8867215 33.9559418, -6.886771 33.9558598)",,,30,,1,destination,
2610928464,6850964658,0,255400674,living_street,False,3.782,"LINESTRING (-6.8352342 34.0292629, -6.8352296 34.0292291)",,Rue des Consuls شارع القناصل,20,,,,
2610928464,1772520942,0,255400674,living_street,False,8.307,"LINESTRING (-6.8352342 34.0292629, -6.8352227 34.029337)",,Rue des Consuls شارع القناصل,20,,,,
2610928465,6958844608,0,255400674,living_street,False,11.709,"LINESTRING (-6.8344625 34.0282625, -6.8343743 34.0281867)",,Rue des Consuls شارع القناصل,20,,,,
2610928465,896416651,0,255400674,living_street,False,16.933,"LINESTRING (-6.8344625 34.0282625, -6.8345776 34.0283812)",,Rue des Consuls شارع القناصل,20,,,,
2610947145,3315216439,0,279226506,living_street,False,12.985,"LINESTRING (-6.8338677 34.0278502, -6.8339731 34.0279277)",,Rue des Consuls شارع القناصل,20,,,,
2610947145,6774211914,0,279226507,living_street,False,30.256,"LINESTRING (-6.8338677 34.0278502, -6.8336503 34.0276463)",,Rue des Consuls شارع القناصل,20,,,,
2610947146,6774211913,0,279226507,living_street,False,28.31,"LINESTRING (-6.8334587 34.0274589, -6.8332609 34.0272641)",,Rue des Consuls شارع القناصل,20,,,,
2610947146,6774211914,0,279226507,living_street,False,27.313,"LINESTRING (-6.8334587 34.0274589, -6.8336503 34.0276463)",,Rue des Consuls شارع القناصل,20,,,,
2610975346,2610951213,0,255405180,living_street,False,23.078,"LINESTRING (-6.8351523 34.0272078, -6.8350302 34.0270266)",,Rue Porte Maoun,20,,,,
2610975346,6850964674,0,255405180,living_street,False,5.421,"LINESTRING (-6.8351523 34.0272078, -6.8351003 34.0272306)",,Rue Porte Maoun,20,,,,
