u,v,key,osmid,highway,oneway,length,geometry,bridge,name
2285348887,2285348880,0,219374749,cycleway,False,17.927,"LINESTRING (-6.8210038 34.0250434, -6.8208093 34.025041)",yes,
2285348887,2285348879,0,219374749,cycleway,False,20.509,"LINESTRING (-6.8210038 34.0250434, -6.8212251 34.0250629)",yes,
4501113087,4501113088,0,453370652,cycleway,False,12.054,"LINESTRING (-6.8386392 34.012703, -6.8387657 34.0126755)",,
4501113088,4501113289,0,453370652,cycleway,False,12.926,"LINESTRING (-6.8387657 34.0126755, -6.8388946 34.0126297)",,
4501113088,4501113087,0,453370652,cycleway,False,12.054,"LINESTRING (-6.8387657 34.0126755, -6.8386392 34.012703)",,
4501113289,4501113290,0,453370652,cycleway,False,163.488,"LINESTRING (-6.8388946 34.0126297, -6.8405853 34.0121851)",,
4501113289,4501113088,0,453370652,cycleway,False,12.926,"LINESTRING (-6.8388946 34.0126297, -6.8387657 34.0126755)",,
4501113290,6034751504,0,453370652,cycleway,False,10.621,"LINESTRING (-6.8405853 34.0121851, -6.8406901 34.0121454)",,
4501113290,4501113289,0,453370652,cycleway,False,163.488,"LINESTRING (-6.8405853 34.0121851, -6.8388946 34.0126297)",,
4501113291,4501113292,0,453370652,cycleway,False,83.05,"LINESTRING (-6.8408289 34.0121173, -6.8416865 34.0118882)",,
4501113291,6034751504,0,453370652,cycleway,False,13.169,"LINESTRING (-6.8408289 34.0121173, -6.8406901 34.0121454)",,
4501113292,6034751516,0,453370652,cycleway,False,14.42,"LINESTRING (-6.8416865 34.0118882, -6.8418311 34.0118387)",,
4501113292,4501113291,0,453370652,cycleway,False,83.05,"LINESTRING (-6.8416865 34.0118882, -6.8408289 34.0121173)",,
4501113293,4501113294,0,453370652,cycleway,False,44.944,"LINESTRING (-6.8419629 34.0118254, -6.8424337 34.0117202)",,
4501113293,6034751516,0,453370652,cycleway,False,12.238,"LINESTRING (-6.8419629 34.0118254, -6.8418311 34.0118387)",,
4501113294,6034751515,0,453370652,cycleway,False,16.989,"LINESTRING (-6.8424337 34.0117202, -6.8426101 34.0116759)",,
4501113294,4501113293,0,453370652,cycleway,False,44.944,"LINESTRING (-6.8424337 34.0117202, -6.8419629 34.0118254)",,
4501113295,4501113296,0,453370652,cycleway,False,63.96,"LINESTRING (-6.8428922 34.0116049, -6.8435533 34.0114301)",,
4501113295,6034751515,0,453370652,cycleway,False,27.174,"LINESTRING (-6.8428922 34.0116049, -6.8426101 34.0116759)",,
4501113296,4501113297,0,453370652,cycleway,False,36.646,"LINESTRING (-6.8435533 34.0114301, -6.843934 34.0113351)",,
4501113296,4501113295,0,453370652,cycleway,False,63.96,"LINESTRING (-6.8435533 34.0114301, -6.8428922 34.0116049)",,
4501113297,6034751808,0,453370652,cycleway,False,28.653,"LINESTRING (-6.843934 34.0113351, -6.844226 34.0112467)",,
4501113297,4501113296,0,453370652,cycleway,False,36.646,"LINESTRING (-6.843934 34.0113351, -6.8435533 34.0114301)",,
4501113298,4501113299,0,453370652,cycleway,False,102.201,"LINESTRING (-6.8444314 34.0111943, -6.8454855 34.0109092)",,
4501113298,6034751808,0,453370652,cycleway,False,19.809,"LINESTRING (-6.8444314 34.0111943, -6.844226 34.0112467)",,
4501113299,6034751768,0,453370652,cycleway,False,8.366,"LINESTRING (-6.8454855 34.0109092, -6.8455731 34.0108895)",,
4501113299,4501113298,0,453370652,cycleway,False,102.201,"LINESTRING (-6.8454855 34.0109092, -6.8444314 34.0111943)",,
4501113300,6034751802,0,453370652,cycleway,False,57.344,"LINESTRING (-6.8460464 34.0107565, -6.8466376 34.0105959)",,
4501113300,6034751768,0,453370652,cycleway,False,46.064,"LINESTRING (-6.8460464 34.0107565, -6.8455731 34.0108895)",,
4501113301,6034751803,0,453370652,cycleway,False,99.062,"LINESTRING (-6.8467239 34.0105733, -6.8477465 34.0102992)",,
4501113301,6034751802,0,453370652,cycleway,False,8.342,"LINESTRING (-6.8467239 34.0105733, -6.8466376 34.0105959)",,
4501113302,4501113303,0,453370652,cycleway,False,165.726,"LINESTRING (-6.8479582 34.0102424, -6.8496792 34.009811)",,
4501113302,6034751803,0,453370652,cycleway,False,20.51,"LINESTRING (-6.8479582 34.0102424, -6.8477465 34.0102992)",,
4501113303,4501113304,0,453370652,cycleway,False,65.005,"LINESTRING (-6.8496792 34.009811, -6.850353 34.0096384)",,
4501113303,4501113302,0,453370652,cycleway,False,165.726,"LINESTRING (-6.8496792 34.009811, -6.8479582 34.0102424)",,
4501113304,4501113305,0,453370652,cycleway,False,73.578,"LINESTRING (-6.850353 34.0096384, -6.8511206 34.0094568)",,
4501113304,4501113303,0,453370652,cycleway,False,65.005,"LINESTRING (-6.850353 34.0096384, -6.8496792 34.009811)",,
4501113305,4501113304,0,453370652,cycleway,False,73.578,"LINESTRING (-6.8511206 34.0094568, -6.850353 34.0096384)",,
4501113308,4501113309,0,453370653,cycleway,False,137.672,"LINESTRING (-6.8510138 34.0092918, -6.849584 34.0096498)",,
