u,v,key,osmid,oneway,lanes,name,highway,length,geometry,bridge,maxspeed
329181926,329427083,0,"[29893562, 348055461, 120104806, 72928506, 72928503, 29893498, 29893439]",False,,,cycleway,2412.3770000000004,"LINESTRING (-74.04807839999999 4.7100762, -74.04809 4.7099736, -74.04820719999999 4.7089385, -74.04826850000001 4.7085101, -74.0483186 4.7080666, -74.048361 4.7080726, -74.0484056 4.708077, -74.0485003 4.7071452, -74.0485659 4.7065018, -74.0486416 4.7057141, -74.04864670000001 4.7056965, -74.04865770000001 4.7056778, -74.0486647 4.7056716, -74.048682 4.7056555, -74.0487019 4.7056394, -74.0487176 4.7056226, -74.04872760000001 4.7056058, -74.0488148 4.7053506, -74.0488252 4.7052944, -74.0489422 4.7045526, -74.0489802 4.7043242, -74.04930179999999 4.7024068, -74.04939520000001 4.7018244, -74.0494101 4.7017325, -74.0494781 4.7013089, -74.0495791 4.7007298, -74.0496868 4.7001119, -74.04976739999999 4.6996417, -74.04984779999999 4.6991531, -74.0499081 4.6987871, -74.0499171 4.6987326, -74.04993020000001 4.698653, -74.04994309999999 4.6985747, -74.04995150000001 4.6985234, -74.0499854 4.6983181, -74.05012979999999 4.6973562, -74.0502709 4.6966771, -74.0503094 4.6964903, -74.0503332 4.6963499, -74.05040030000001 4.6960035, -74.0505374 4.69517, -74.0505574 4.694973, -74.05070619999999 4.6940726, -74.05079000000001 4.6935411, -74.0509088 4.6927654, -74.05094 4.6925887, -74.05107270000001 4.6918526, -74.0511454 4.691428, -74.05129549999999 4.6905679, -74.05131299999999 4.6904279, -74.0513261 4.690331, -74.05141329999999 4.6897766, -74.0515814 4.6887817)",yes,
329427083,329181926,0,"[29893562, 348055461, 120104806, 72928503, 72928506, 29893498, 29893439]",False,,,cycleway,2412.3770000000013,"LINESTRING (-74.0515814 4.6887817, -74.05141329999999 4.6897766, -74.0513261 4.690331, -74.05131299999999 4.6904279, -74.05129549999999 4.6905679, -74.0511454 4.691428, -74.05107270000001 4.6918526, -74.05094 4.6925887, -74.0509088 4.6927654, -74.05079000000001 4.6935411, -74.05070619999999 4.6940726, -74.0505574 4.694973, -74.0505374 4.69517, -74.05040030000001 4.6960035, -74.0503332 4.6963499, -74.0503094 4.6964903, -74.0502709 4.6966771, -74.05012979999999 4.6973562, -74.0499854 4.6983181, -74.04995150000001 4.6985234, -74.04994309999999 4.6985747, -74.04993020000001 4.698653, -74.0499171 4.6987326, -74.0499081 4.6987871, -74.04984779999999 4.6991531, -74.04976739999999 4.6996417, -74.0496868 4.7001119, -74.0495791 4.7007298, -74.0494781 4.7013089, -74.0494101 4.7017325, -74.04939520000001 4.7018244, -74.04930179999999 4.7024068, -74.0489802 4.7043242, -74.0489422 4.7045526, -74.0488252 4.7052944, -74.0488148 4.7053506, -74.04872760000001 4.7056058, -74.0487176 4.7056226, -74.0487019 4.7056394, -74.048682 4.7056555, -74.0486647 4.7056716, -74.04865770000001 4.7056778, -74.04864670000001 4.7056965, -74.0486416 4.7057141, -74.0485659 4.7065018, -74.0485003 4.7071452, -74.0484056 4.708077, -74.048361 4.7080726, -74.0483186 4.7080666, -74.04826850000001 4.7085101, -74.04820719999999 4.7089385, -74.04809 4.7099736, -74.04807839999999 4.7100762)",yes,
493768858,493768864,0,"[69813410, 69813411]",False,,,cycleway,93.31899999999999,"LINESTRING (-74.0372062 4.7396078, -74.0374853 4.7396696, -74.03794670000001 4.7397141, -74.0379533 4.7396744, -74.0379743 4.7396267)",yes,
493768864,493768858,0,"[69813410, 69813411]",False,,,cycleway,93.31899999999999,"LINESTRING (-74.0379743 4.7396267, -74.0379533 4.7396744, -74.03794670000001 4.7397141, -74.0374853 4.7396696, -74.0372062 4.7396078)",yes,
495689416,495689433,0,"[737158104, 737158101, 712337544]",False,,,"['footway', 'cycleway']",798.2669999999998,"LINESTRING (-74.10506839999999 4.5751716, -74.1057108 4.5749328, -74.1069021 4.5745047, -74.10716600000001 4.5744099, -74.10722389999999 4.5743972, -74.1072696 4.5743968, -74.1073164 4.5744082, -74.10736129999999 4.5744404, -74.1074764 4.5745231, -74.10754679999999 4.5745734, -74.1089357 4.5756355, -74.10904650000001 4.5757202, -74.1094721 4.5760575, -74.1097304 4.5762618, -74.1098119 4.5763344, -74.1098578 4.5763891, -74.10993259999999 4.5764952, -74.1100033 4.5766408, -74.11029739999999 4.5772875, -74.11032350000001 4.577345, -74.11051550000001 4.5777672, -74.11053819999999 4.5778171)",,
495689433,495689416,0,"[712337544, 737158101, 737158104]",False,,,"['footway', 'cycleway']",798.2669999999999,"LINESTRING (-74.11053819999999 4.5778171, -74.11051550000001 4.5777672, -74.11032350000001 4.577345, -74.11029739999999 4.5772875, -74.1100033 4.5766408, -74.10993259999999 4.5764952, -74.1098578 4.5763891, -74.1098119 4.5763344, -74.1097304 4.5762618, -74.1094721 4.5760575, -74.10904650000001 4.5757202, -74.1089357 4.5756355, -74.10754679999999 4.5745734, -74.1074764 4.5745231, -74.10736129999999 4.5744404, -74.1073164 4.5744082, -74.1072696 4.5743968, -74.10722389999999 4.5743972, -74.10716600000001 4.5744099, -74.1069021 4.5745047, -74.1057108 4.5749328, -74.10506839999999 4.5751716)",,
612580476,5233512909,0,541116574,True,2,Avenida Carrera 72,primary,2234.1449999999995,"LINESTRING (-74.1069579 4.671397, -74.1069906 4.6713646, -74.1071615 4.6711956, -74.1072152 4.6711404, -74.10734619999999 4.6710076, -74.10779239999999 4.6705512, -74.1080147 4.6703183, -74.1087825 4.6695475, -74.1090986 4.6692224, -74.10965400000001 4.6686768, -74.1103287 4.6680064, -74.1108861 4.6674354, -74.1111281 4.6671872, -74.11130540000001 4.6670266, -74.1114479 4.6669069, -74.11151700000001 4.6668436, -74.1116012 4.6667612, -74.1119746 4.6663525, -74.112043 4.6662808, -74.112143 4.6661759, -74.11228269999999 4.6660294, -74.112371 4.665924, -74.11249479999999 4.6657741, -74.1127369 4.6654725, -74.11289189999999 4.6652886, -74.1130491 4.6651002, -74.1135714 4.664465, -74.1138752 4.6641148, -74.11428739999999 4.663648, -74.1147137 4.6631681, -74.1149855 4.662863, -74.11521740000001 4.6625978, -74.11542710000001 4.6623645, -74.11582319999999 4.6618684, -74.11586699999999 4.6618208, -74.1160734 4.6615836, -74.11613939999999 4.6615085, -74.11633310000001 4.6613053, -74.1165036 4.6611092, -74.1167569 4.6608068, -74.1174218 4.6600148, -74.1175676 4.6598504, -74.1177218 4.6596764, -74.1181509 4.6591859, -74.11870500000001 4.6585799, -74.1189052 4.6583544, -74.1191568 4.658071, -74.1197581 4.6573658, -74.1204802 4.6565171)",,30
634172928,1192631861,0,"[527125385, 813921140]",False,2,"['Avenida de la Constitucion', 'Transversal 68A']",cycleway,461.671,"LINESTRING (-74.1265835 4.6263013, -74.126724 4.6247467, -74.1267285 4.6246685, -74.1265844 4.6236185, -74.1263869 4.622179)",,
715601350,715731560,0,"[29894204, 29894183, 57727391]",False,,,cycleway,1428.04,"LINESTRING (-74.0227273 4.7470797, -74.02283749999999 4.7470557, -74.0234002 4.7469143, -74.0235149 4.7469148, -74.0239747 4.7469873, -74.0244988 4.7470588, -74.0266915 4.7474329, -74.0267123 4.7474362, -74.0286248 4.7477419, -74.028797 4.7477694, -74.03013970000001 4.7479934, -74.0314711 4.7481894, -74.0314601 4.7483001, -74.0314527 4.748358, -74.03145050000001 4.7483751, -74.03157849999999 4.7483918, -74.03167860000001 4.748408, -74.0317843 4.7484251, -74.0329952 4.7486124, -74.0330178 4.7486159, -74.0351417 4.748948, -74.0352376 4.748963)",,
715731560,715601350,0,"[57727391, 29894204, 29894183]",False,,,cycleway,1428.04,"LINESTRING (-74.0352376 4.748963, -74.0351417 4.748948, -74.0330178 4.7486159, -74.0329952 4.7486124, -74.0317843 4.7484251, -74.03167860000001 4.748408, -74.03157849999999 4.7483918, -74.03145050000001 4.7483751, -74.0314527 4.748358, -74.0314601 4.7483001, -74.0314711 4.7481894, -74.03013970000001 4.7479934, -74.028797 4.7477694, -74.0286248 4.7477419, -74.0267123 4.7474362, -74.0266915 4.7474329, -74.0244988 4.7470588, -74.0239747 4.7469873, -74.0235149 4.7469148, -74.0234002 4.7469143, -74.02283749999999 4.7470557, -74.0227273 4.7470797)",,
