u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge,access,width,tunnel,area,junction,service
261028764,601244761,0,"[24062728, 640071793, 375278988, 24234815]",True,2,Avenida Carrera 72,primary,3401.6910000000003,"LINESTRING (-74.1452577 4.5961761, -74.14524780000001 4.5964341, -74.14522580000001 4.5967549, -74.1452041 4.596987, -74.14518820000001 4.5971192, -74.1451763 4.5971988, -74.1451363 4.5974164, -74.145096 4.5975957, -74.1449982 4.5979999, -74.14488009999999 4.5984364, -74.14475520000001 4.5988718, -74.1447099 4.5990029, -74.1446567 4.5991404, -74.14455169999999 4.5994109, -74.1444077 4.5997898, -74.14417 4.6004272, -74.14391139999999 4.6011523, -74.14387929999999 4.6012388, -74.143773 4.6015239, -74.143647 4.601855, -74.1435037 4.6022245, -74.1434845 4.602274, -74.14329050000001 4.6028171, -74.143055 4.6034897, -74.1430158 4.6036013, -74.1429467 4.6038029, -74.1428599 4.6040461, -74.1428057 4.6041955, -74.1427494 4.6043325, -74.14266670000001 4.6045297, -74.14260090000001 4.6046893, -74.1425512 4.6048124, -74.1423592 4.6053307, -74.14214269999999 4.6059089, -74.1419671 4.606357, -74.1419353 4.606437, -74.14187 4.6066017, -74.14179350000001 4.6068161, -74.1416497 4.6072167, -74.141513 4.6076562, -74.1414347 4.6079141, -74.1414008 4.6080509, -74.14137150000001 4.6082124, -74.1413544 4.6083106, -74.14134660000001 4.6084041, -74.14133099999999 4.6086074, -74.1413077 4.6087821, -74.1412773 4.6089801, -74.1412546 4.6091201, -74.1412152 4.6093398, -74.1411866 4.6095914, -74.1411533 4.6098685, -74.1411169 4.6102693, -74.1410727 4.6106902, -74.1410552 4.6108416, -74.14103420000001 4.6109813, -74.14102680000001 4.6110369, -74.1410041 4.6111669, -74.14094729999999 4.6115176, -74.14087000000001 4.6119646, -74.14072059999999 4.6128126, -74.1406099 4.6134081, -74.1405938 4.6134908, -74.1404608 4.614151, -74.1404307 4.6143247, -74.14035749999999 4.6147355, -74.14027179999999 4.6152011, -74.1402159 4.6154866, -74.1401615 4.6157152, -74.14011910000001 4.615887, -74.14003719999999 4.6162186, -74.1399636 4.6164981, -74.1399088 4.6166993, -74.13969880000001 4.6174785, -74.1395028 4.6181948, -74.13918200000001 4.6194514, -74.13909169999999 4.6198056, -74.1389303 4.620449, -74.13885860000001 4.6207353, -74.1387922 4.6210189, -74.1387055 4.6214474, -74.1386177 4.6218935, -74.138572 4.6221573, -74.1385322 4.622433, -74.1385167 4.6225497, -74.13833169999999 4.6241316, -74.1382945 4.6244773, -74.1381591 4.6257036, -74.1381497 4.625796)",30,,,,,,,
261028776,310593973,0,90065571,False,2,Carrera 68L,tertiary,138.532,"LINESTRING (-74.1418512 4.6064056, -74.1417967 4.6063911, -74.1417647 4.6063826, -74.1417051 4.6063707, -74.1416408 4.6063634, -74.1411542 4.6063547, -74.1406061 4.6063454)",30,,,,,,,
261028995,292549624,0,585212194,True,2,Avenida Carrera 72,primary,735.4010000000001,"LINESTRING (-74.1130775 4.6645109, -74.11261399999999 4.6650776, -74.11247520000001 4.6652331, -74.11219 4.6655734, -74.1120549 4.6657266, -74.1119356 4.6658557, -74.11177669999999 4.6660142, -74.11126830000001 4.6665462, -74.1110249 4.666805, -74.11071579999999 4.6671704, -74.1104795 4.6674414, -74.1099883 4.6679465, -74.1096075 4.6683259, -74.1091433 4.6687852, -74.10889779999999 4.6690289, -74.108569 4.6693569)",30,,,,,,,
261029240,261029952,0,90647456,True,3,Avenida Carrera 70,secondary,441.46299999999997,"LINESTRING (-74.1104502 4.662241, -74.11078449999999 4.6618992, -74.1108454 4.6618434, -74.110901 4.6617957, -74.11109310000001 4.6616653, -74.11131020000001 4.6615262, -74.1117265 4.6612728, -74.112269 4.6609019, -74.11264370000001 4.6606535, -74.1128131 4.6605412, -74.1133019 4.6602172, -74.11360860000001 4.6600138, -74.1136946 4.6599568)",30,,,,,,,
261029249,267288385,0,532646547,True,1,,primary_link,252.38099999999994,"LINESTRING (-74.1076745 4.6649808, -74.1079072 4.6647844, -74.1080372 4.6646709, -74.1087725 4.6639948, -74.1090451 4.6637367, -74.1091261 4.6636663, -74.1091893 4.6636276, -74.10924230000001 4.6636198, -74.109315 4.6636307, -74.109324 4.663634, -74.1094222 4.6636704)",30,,,,,,,
261029249,292540714,0,745407761,True,2,Avenida Carrera 70,secondary,135.10199999999998,"LINESTRING (-74.1076745 4.6649808, -74.1079302 4.6646741, -74.1080656 4.664528, -74.10852370000001 4.6641125)",30,,,,,,,
261029371,1904310949,0,"[626742837, 91040437]",False,2,Carrera 73A,tertiary,722.39,"LINESTRING (-74.1129818 4.6692216, -74.1129304 4.669275, -74.1124744 4.6697486, -74.1115937 4.6706201, -74.1107157 4.6714853, -74.1103117 4.6718977, -74.10950130000001 4.67272, -74.10896169999999 4.6732643, -74.1084724 4.673758, -74.1083945 4.6738367)",30,,,,,,,
261029401,2549929191,0,24061670,True,1,,primary_link,349.12600000000003,"LINESTRING (-74.1134753 4.6687335, -74.11324689999999 4.6683156, -74.1130216 4.6679501, -74.11297620000001 4.6678658, -74.1129447 4.6677784, -74.11292299999999 4.6676378, -74.1129246 4.6675803, -74.11292640000001 4.6675149, -74.1129519 4.6673407, -74.1129742 4.6671942, -74.1129852 4.6670735, -74.11297690000001 4.6669656, -74.11296230000001 4.6668791, -74.11292690000001 4.666754, -74.1128685 4.6665629, -74.1127991 4.6663356, -74.1127528 4.6661647, -74.1127297 4.6660154, -74.1127235 4.6658903, -74.11272719999999 4.6658193, -74.1127297 4.6657713)",30,,,,,,,
261029401,261029497,0,827168974,True,2,Avenida Calle 26,primary,228.165,"LINESTRING (-74.1134753 4.6687335, -74.1133566 4.6685676, -74.11330340000001 4.668505, -74.1132379 4.668435, -74.1130625 4.6682415, -74.1130038 4.6681749, -74.1129437 4.6681004, -74.11290820000001 4.668048, -74.1127326 4.6677946, -74.1123817 4.6672551, -74.1123237 4.6671584, -74.1122706 4.6670752)",30,,,,,,,
261029489,310388401,0,28262562,False,2,Carrera 74,residential,138.67100000000002,"LINESTRING (-74.1139081 4.6693846, -74.11395659999999 4.6693522, -74.1148314 4.6687683, -74.11488989999999 4.668729, -74.11494190000001 4.6686831)",30,,,,,,,
