u,v,key,osmid,highway,oneway,length,geometry,name,bridge,lanes,width,maxspeed,tunnel,area,access
312489824,267288355,0,90735987,primary,True,1359.6190000000001,"LINESTRING (-74.09951719999999 4.6811721, -74.0995534 4.6811282, -74.09958899999999 4.6810849, -74.09999190000001 4.6806181, -74.1001512 4.680422, -74.10031669999999 4.6802179, -74.10042540000001 4.6800682, -74.1005342 4.6799104, -74.10083469999999 4.6794568, -74.1009258 4.6793283, -74.1012949 4.6788591, -74.1017485 4.678246, -74.1019728 4.6779205, -74.1023144 4.677428, -74.1027004 4.6768807, -74.1028537 4.6766679, -74.1032577 4.6761057, -74.1034679 4.6758301, -74.1035621 4.6756992, -74.1036374 4.675581, -74.1037149 4.675447, -74.1038047 4.6752829, -74.1038544 4.6751687, -74.1039433 4.674957, -74.1039703 4.6748825, -74.1040122 4.6747775, -74.1041099 4.6745236, -74.1041323 4.674466, -74.1041848 4.6743681, -74.1042446 4.6742719, -74.1043801 4.6740761, -74.10445470000001 4.6739925, -74.104687 4.6737322, -74.10494749999999 4.6734486, -74.1054517 4.6729042, -74.1057283 4.6726295, -74.106844 4.6715094, -74.1068786 4.6714748)",Avenida Carrera 72,,2,,,,,
326221535,1905553292,0,606442337,cycleway,False,499.0490000000001,"LINESTRING (-74.0902703 4.6963151, -74.0903146 4.6963361, -74.0907017 4.6965196, -74.0909401 4.6966325, -74.0912467 4.6967932, -74.0915238 4.6969412, -74.0917956 4.6970822, -74.0921365 4.6972653, -74.0923684 4.6973929, -74.092496 4.6974604, -74.0926207 4.6975357, -74.0927471 4.6976308, -74.0928863 4.6977494, -74.09301189999999 4.6978136, -74.0930721 4.6978412, -74.0931291 4.6978443, -74.09314500000001 4.6978474, -74.0932 4.6978581, -74.0932785 4.6978811, -74.09342340000001 4.697941, -74.0937931 4.6981406, -74.0939631 4.698231, -74.0939795 4.6982542, -74.093981 4.6982788, -74.0939625 4.6983233, -74.0939302 4.6983955, -74.09392250000001 4.6984384, -74.093924 4.6984834, -74.09394380000001 4.6985314)",,,,,,,,
326228306,326228357,0,"[91151837, 648017861]",cycleway,False,1659.7539999999997,"LINESTRING (-74.0933773 4.7108251, -74.09292000000001 4.7104124, -74.09253820000001 4.7100735, -74.0923574 4.7099606, -74.09216549999999 4.7098996, -74.0920071 4.7098507, -74.0918568 4.7097329, -74.0916836 4.7096605, -74.0913753 4.709557, -74.0912343 4.7094241, -74.09112399999999 4.7092674, -74.0910276 4.7090013, -74.0909205 4.7087722, -74.0907921 4.7085838, -74.0906373 4.7084359, -74.0902585 4.708128, -74.0900942 4.7079469, -74.0899795 4.7077405, -74.0898371 4.7070547, -74.0897657 4.7067844, -74.08966789999999 4.7066479, -74.0896065 4.7066001, -74.0895045 4.7065523, -74.0892805 4.7065065, -74.0891337 4.7064607, -74.0886074 4.7061424, -74.0883 4.705934, -74.08820350000001 4.7058403, -74.0881648 4.7058028, -74.08807349999999 4.7055826, -74.0880708 4.7051799, -74.088099 4.7046351, -74.0881146 4.7045402, -74.0881466 4.7043533, -74.0882107 4.7041565, -74.0883705 4.7038927, -74.0884535 4.7036165, -74.0885127 4.7030528, -74.08850200000001 4.7026667, -74.088448 4.7020464, -74.0884396 4.7018926, -74.0884167 4.7014726, -74.08845839999999 4.701254, -74.088489 4.7010938, -74.0885213 4.7006549, -74.0884538 4.7002614, -74.0882864 4.6992853, -74.0883025 4.6990261, -74.08839930000001 4.6988472, -74.0884073 4.698797, -74.0883791 4.6987367, -74.0883086 4.6986985)",Avenida Del Congreso Eucaristico,,,,,,,
326228357,5728428237,0,91151837,cycleway,False,385.0000000000001,"LINESTRING (-74.0883086 4.6986985, -74.0881735 4.6986222, -74.0880404 4.698576, -74.0878005 4.698586, -74.0876212 4.6985406, -74.08721180000001 4.6982094, -74.0866418 4.6976645, -74.0862779 4.697302, -74.0861495 4.6971626, -74.0860572 4.6970258, -74.08594239999999 4.6967972, -74.0858856 4.6966745, -74.0858344 4.6965651, -74.0858121 4.6965176)",,,,,,,,
326228357,326228306,0,"[648017861, 91151837]",cycleway,False,1659.7540000000004,"LINESTRING (-74.0883086 4.6986985, -74.0883791 4.6987367, -74.0884073 4.698797, -74.08839930000001 4.6988472, -74.0883025 4.6990261, -74.0882864 4.6992853, -74.0884538 4.7002614, -74.0885213 4.7006549, -74.088489 4.7010938, -74.08845839999999 4.701254, -74.0884167 4.7014726, -74.0884396 4.7018926, -74.088448 4.7020464, -74.08850200000001 4.7026667, -74.0885127 4.7030528, -74.0884535 4.7036165, -74.0883705 4.7038927, -74.0882107 4.7041565, -74.0881466 4.7043533, -74.0881146 4.7045402, -74.088099 4.7046351, -74.0880708 4.7051799, -74.08807349999999 4.7055826, -74.0881648 4.7058028, -74.08820350000001 4.7058403, -74.0883 4.705934, -74.0886074 4.7061424, -74.0891337 4.7064607, -74.0892805 4.7065065, -74.0895045 4.7065523, -74.0896065 4.7066001, -74.08966789999999 4.7066479, -74.0897657 4.7067844, -74.0898371 4.7070547, -74.0899795 4.7077405, -74.0900942 4.7079469, -74.0902585 4.708128, -74.0906373 4.7084359, -74.0907921 4.7085838, -74.0909205 4.7087722, -74.0910276 4.7090013, -74.09112399999999 4.7092674, -74.0912343 4.7094241, -74.0913753 4.709557, -74.0916836 4.7096605, -74.0918568 4.7097329, -74.0920071 4.7098507, -74.09216549999999 4.7098996, -74.0923574 4.7099606, -74.09253820000001 4.7100735, -74.09292000000001 4.7104124, -74.0933773 4.7108251)",Avenida Del Congreso Eucaristico,,,,,,,
326228357,261785571,0,184365415,cycleway,False,258.867,"LINESTRING (-74.0883086 4.6986985, -74.0886854 4.6980305, -74.0887786 4.6978654, -74.0889093 4.6976348, -74.0892523 4.6970256, -74.0894132 4.6967404, -74.08943170000001 4.6967077, -74.0894534 4.6966692)",,,,,,,,
326228370,326228405,0,"[29979976, 29979978]","['path', 'cycleway']",False,915.0510000000002,"LINESTRING (-74.0859798 4.6967824, -74.0856754 4.6961846, -74.085633 4.6961073, -74.0854616 4.6957947, -74.0853575 4.6956287, -74.08533300000001 4.6954774, -74.0852903 4.6952648, -74.08512760000001 4.6949992, -74.0849652 4.6948446, -74.0847127 4.6946043, -74.0841638 4.694101, -74.0839915 4.6939508, -74.0838005 4.6938356, -74.0836372 4.6937666, -74.0829992 4.693497, -74.08215300000001 4.6931451, -74.0819269 4.6930341, -74.08179819999999 4.6929723, -74.0815826 4.6927416, -74.0814937 4.6925597, -74.08141670000001 4.6923613, -74.08134819999999 4.6918632, -74.08132019999999 4.691647, -74.0812973 4.6914771, -74.081211 4.6908478, -74.0812057 4.6908089)",,yes,,,,,,
326228405,326228370,0,"[29979976, 29979978]","['path', 'cycleway']",False,915.0510000000004,"LINESTRING (-74.0812057 4.6908089, -74.081211 4.6908478, -74.0812973 4.6914771, -74.08132019999999 4.691647, -74.08134819999999 4.6918632, -74.08141670000001 4.6923613, -74.0814937 4.6925597, -74.0815826 4.6927416, -74.08179819999999 4.6929723, -74.0819269 4.6930341, -74.08215300000001 4.6931451, -74.0829992 4.693497, -74.0836372 4.6937666, -74.0838005 4.6938356, -74.0839915 4.6939508, -74.0841638 4.694101, -74.0847127 4.6946043, -74.0849652 4.6948446, -74.08512760000001 4.6949992, -74.0852903 4.6952648, -74.08533300000001 4.6954774, -74.0853575 4.6956287, -74.0854616 4.6957947, -74.085633 4.6961073, -74.0856754 4.6961846, -74.0859798 4.6967824)",,yes,,,,,,
340065036,2390564762,0,"[745433961, 30748874]",footway,False,285.70000000000005,"LINESTRING (-74.1191314 4.6772064, -74.1189818 4.6769707, -74.1189653 4.6769614, -74.11894940000001 4.6769678, -74.1189394 4.6769795, -74.1189406 4.6769977, -74.1191161 4.6772637, -74.119153 4.6773123, -74.11915980000001 4.6773497, -74.1191436 4.6773935, -74.1189037 4.6777374, -74.1187384 4.6779829, -74.118461 4.6784309, -74.11838040000001 4.6785221, -74.1183417 4.6785641, -74.1183089 4.678561, -74.1182963 4.6785491, -74.118291 4.6785287, -74.1184286 4.6783784, -74.1184535 4.6783539, -74.1184731 4.6783737)",,yes,,,,,,
382802768,737196739,0,59452268,footway,False,458.62499999999994,"LINESTRING (-74.07563879999999 4.676809, -74.0757519 4.677196, -74.0757948 4.6775488, -74.0758484 4.6778937, -74.0759637 4.6783508, -74.0760496 4.6786422, -74.0761488 4.6788881, -74.0763285 4.6792597, -74.0765538 4.6796928, -74.07652969999999 4.6797783, -74.0768613 4.6803343, -74.0765832 4.6805329)",,,,,,,,
