u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,access,bridge,junction,area,service,width,tunnel
332384777,5141986361,0,30162847,True,2,Calle 37A Sur,residential,30,96.19,"LINESTRING (-74.125204 4.5976705, -74.12511859999999 4.5975839, -74.1248193 4.5972886, -74.1247432 4.5972059, -74.12468079999999 4.5971208, -74.124622 4.5970322)",,,,,,,
332384853,5141986361,0,90058574,False,2,Carrera 41,residential,30,52.466,"LINESTRING (-74.1242702 4.5973479, -74.124622 4.5970322)",,,,,,,
332384853,261995459,0,30162860,False,2,Calle 37 Sur,residential,30,103.824,"LINESTRING (-74.1242702 4.5973479, -74.1245878 4.5976791, -74.1249174 4.5980229)",,,,,,,
332384853,332155123,0,90058574,False,2,Carrera 41,residential,30,134.534,"LINESTRING (-74.1242702 4.5973479, -74.1240117 4.5975799, -74.12336809999999 4.5981574)",,,,,,,
332385296,332155131,0,"[661337144, 636190505]",False,2,Calle 29 Sur,"['footway', 'residential']",30,85.923,"LINESTRING (-74.1218186 4.6017913, -74.1217841 4.6017549, -74.1216192 4.6015805, -74.12130070000001 4.6012165)",,,,,,,
332385643,261629888,0,90033068,True,3,Avenida Calle 26 Sur,primary,30,104.502,"LINESTRING (-74.1255671 4.6059397, -74.1261859 4.6065654, -74.126229 4.606609)",,,,,,,
332385643,333099301,0,524473015,False,2,Carrera 52,tertiary,30,160.416,"LINESTRING (-74.1255671 4.6059397, -74.1255285 4.6059777, -74.1251942 4.6063067, -74.12513629999999 4.6063638, -74.1249483 4.6065488, -74.124864 4.6066318, -74.1246261 4.606866, -74.1245373 4.6069534)",,,,,,,
332385645,333100142,0,30162947,False,2,Calle 19 Sur,tertiary,30,262.129,"LINESTRING (-74.1231427 4.6082384, -74.1233513 4.6086863, -74.1239326 4.6099339, -74.124139 4.6103764)",,,,,,,
332385645,333100083,0,30223678,False,2,Calle 19 Sur,residential,30,301.07099999999997,"LINESTRING (-74.1231427 4.6082384, -74.1230415 4.6080211, -74.1230195 4.6079373, -74.1230036 4.6078157, -74.1229898 4.607684, -74.1229585 4.6075754, -74.1226941 4.6070008, -74.1222009 4.6059368, -74.12211240000001 4.6057472)",,,,,,,
332385645,333099301,0,524473015,False,2,Carrera 52,tertiary,30,211.03500000000003,"LINESTRING (-74.1231427 4.6082384, -74.1232105 4.6082021, -74.1232741 4.6081617, -74.1233567 4.608099, -74.123482 4.6079877, -74.1235494 4.6079226, -74.12363569999999 4.607838, -74.1237723 4.6077042, -74.1238894 4.6075894, -74.1239222 4.6075573, -74.1242146 4.6072707, -74.1244495 4.6070398, -74.1245373 4.6069534)",,,,,,,
