u,v,key,osmid,highway,oneway,length,geometry,bridge,name,width,lanes,access,tunnel,area
262419819,6981555690,0,745997682,cycleway,False,53.522999999999996,"LINESTRING (-74.09336140000001 4.6571159, -74.0931329 4.6571087, -74.09288069999999 4.657076)",,,,,,,
262419822,6981555690,0,745997683,cycleway,False,37.598,"LINESTRING (-74.0927903 4.6574019, -74.09288069999999 4.657076)",,,,,,,
265596948,5071897096,0,"[24437178, 315233810, 315234172]",cycleway,False,1139.806,"LINESTRING (-74.04952 4.6708436, -74.04956989999999 4.6708592, -74.05167 4.6718874, -74.05206250000001 4.6720316, -74.0532228 4.6726137, -74.0537362 4.6728712, -74.0539079 4.6729139, -74.0539586 4.6729228, -74.0540302 4.6729241, -74.0541424 4.6729309, -74.05446360000001 4.6728737, -74.054644 4.6728875, -74.0552081 4.6731412, -74.05635409999999 4.6737052, -74.0565471 4.6737985, -74.05757749999999 4.6742967, -74.0578455 4.6744206, -74.0585107 4.6747321, -74.0588028 4.6748709, -74.0588661 4.674901)",,,2,,,,
265688528,329428650,0,691112492,cycleway,False,384.88999999999993,"LINESTRING (-74.0553455 4.6868372, -74.05529749999999 4.6868579, -74.05526740000001 4.6867947, -74.0552253 4.6867493, -74.0551875 4.6867159, -74.0551258 4.6866855, -74.05500549999999 4.6866515, -74.054782 4.6866116, -74.0544672 4.686563, -74.0539509 4.6864561, -74.0534761 4.6863679, -74.0530838 4.6863175, -74.0530313 4.6863178, -74.0529207 4.6863038, -74.052842 4.6862824, -74.0522844 4.6861878, -74.0522465 4.6861821, -74.052088 4.6861584, -74.0520061 4.686146)",,,,,,,
266549864,5792709708,0,24510362,cycleway,False,134.39999999999998,"LINESTRING (-74.1071955 4.6516956, -74.1069928 4.6519379, -74.10682009999999 4.652171, -74.1066905 4.6523683, -74.1066208 4.6525427, -74.10656760000001 4.6527146)",,,,,,,
266549864,281847924,0,25840544,cycleway,False,163.477,"LINESTRING (-74.1071955 4.6516956, -74.1075555 4.6512817, -74.10761220000001 4.6511853, -74.10763059999999 4.6510913, -74.1076245 4.6509936, -74.1075754 4.650913, -74.10724519999999 4.6505069)",yes,,,,,,
266549864,6514091786,0,693813004,cycleway,False,51.53099999999999,"LINESTRING (-74.1071955 4.6516956, -74.1071716 4.65168, -74.1073478 4.6514581, -74.10730650000001 4.6514212, -74.10723369999999 4.6513573)",,,,,,,
267021502,4360798278,0,438348192,cycleway,False,265.35400000000004,"LINESTRING (-74.0795904 4.665247, -74.07956299999999 4.6652262, -74.0801668 4.6644676, -74.08100140000001 4.6633618)",,,,,,,
267194952,3992274791,0,"[347401629, 58407686]",cycleway,False,613.427,"LINESTRING (-74.03837300000001 4.6802222, -74.0384055 4.680307, -74.0387052 4.680436, -74.0388904 4.6805257, -74.0394616 4.6808281, -74.0398916 4.681064, -74.04031449999999 4.6812967, -74.0413686 4.6818635, -74.0413897 4.6818748, -74.0424656 4.6824489, -74.043083 4.6827871, -74.0431852 4.6828394, -74.0432115 4.6828528)",,,,,,,
273239238,6456752029,0,"[58611146, 189234803, 189234804]",cycleway,False,917.0540000000002,"LINESTRING (-74.0698684 4.7001472, -74.0698852 4.700196, -74.0699132 4.7002771, -74.0701055 4.7008539, -74.0701389 4.7009385, -74.070153 4.7009741, -74.0702021 4.7011014, -74.07022259999999 4.701148, -74.07025729999999 4.7012267, -74.0703412 4.7014984, -74.07039 4.7016767, -74.0704161 4.7018775, -74.0704303 4.7021581, -74.0704594 4.7024417, -74.0704776 4.7026416, -74.0704947 4.7028696, -74.0705036 4.7029263, -74.07051850000001 4.7030215, -74.0705403 4.703161, -74.0706005 4.7036125, -74.070633 4.7045348, -74.070654 4.705015, -74.07066089999999 4.7051431, -74.0706709 4.7052651, -74.0706813 4.7053666, -74.0707001 4.7054708, -74.0707506 4.7057833, -74.0707891 4.7059511, -74.070819 4.7060811, -74.0708439 4.7061701, -74.0709066 4.7063921, -74.07093380000001 4.7064945, -74.0709708 4.7066786, -74.07098879999999 4.7067538, -74.07101849999999 4.7068879, -74.07106210000001 4.7070845, -74.0710852 4.7072025, -74.07114559999999 4.7074137, -74.0713018 4.7078902, -74.07132679999999 4.7080033, -74.0713557 4.7081343, -74.0713702 4.7082073)",yes,,,,,,
