u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service,maxspeed,lanes,ref
5735502296,5735502295,0,604456555,False,,cycleway,18.023,"LINESTRING (101.5132414 3.0801415, 101.513342 3.0800143)",,,,,,
5735502296,5735502297,0,604456555,False,,cycleway,11.103,"LINESTRING (101.5132414 3.0801415, 101.5131649 3.0802058)",,,,,,
5735502297,5735502296,0,604456555,False,,cycleway,11.103,"LINESTRING (101.5131649 3.0802058, 101.5132414 3.0801415)",,,,,,
5735502297,5735502299,0,604456555,False,,cycleway,23.503,"LINESTRING (101.5131649 3.0802058, 101.5129772 3.0803035)",,,,,,
5735502299,5735502297,0,604456555,False,,cycleway,23.503,"LINESTRING (101.5129772 3.0803035, 101.5131649 3.0802058)",,,,,,
5735502299,5735502305,0,604456555,False,,cycleway,129.091,"LINESTRING (101.5129772 3.0803035, 101.5121578 3.0811271)",,,,,,
5735502305,5735502299,0,604456555,False,,cycleway,129.091,"LINESTRING (101.5121578 3.0811271, 101.5129772 3.0803035)",,,,,,
5735502305,5735502306,0,604456555,False,,cycleway,18.491,"LINESTRING (101.5121578 3.0811271, 101.5120304 3.0812342)",,,,,,
5735502306,5735502305,0,604456555,False,,cycleway,18.491,"LINESTRING (101.5120304 3.0812342, 101.5121578 3.0811271)",,,,,,
5735502306,5735502307,0,604456555,False,,cycleway,12.092,"LINESTRING (101.5120304 3.0812342, 101.5119217 3.0812409)",,,,,,
5735502307,5735502306,0,604456555,False,,cycleway,12.092,"LINESTRING (101.5119217 3.0812409, 101.5120304 3.0812342)",,,,,,
5735502307,5735502308,0,604456555,False,,cycleway,5.003,"LINESTRING (101.5119217 3.0812409, 101.5118828 3.0812182)",,,,,,
5735502308,5735502307,0,604456555,False,,cycleway,5.003,"LINESTRING (101.5118828 3.0812182, 101.5119217 3.0812409)",,,,,,
5735502308,5735502311,0,604456555,False,,cycleway,68.915,"LINESTRING (101.5118828 3.0812182, 101.5114366 3.0807874)",,,,,,
5735502311,5735502308,0,604456555,False,,cycleway,68.915,"LINESTRING (101.5114366 3.0807874, 101.5118828 3.0812182)",,,,,,
5735502311,5898369768,0,604456555,False,,cycleway,93.778,"LINESTRING (101.5114366 3.0807874, 101.5108294 3.0802012)",,,,,,
5780689406,4025322503,0,482083997,True,,cycleway,39.147,"LINESTRING (101.5259906 3.0023956, 101.5262228 3.0026605)",,,,,,
5780689407,4025322474,0,399859265,True,,cycleway,92.172,"LINESTRING (101.5262398 3.0020287, 101.5257071 3.001393)",,,,,,
5898369768,5735502311,0,604456555,False,,cycleway,93.778,"LINESTRING (101.5108294 3.0802012, 101.5114366 3.0807874)",,,,,,
6027464991,5735502290,0,604456555,False,,cycleway,8.789,"LINESTRING (101.5141858 3.0794433, 101.5142526 3.0794009)",,,,,,
6027464991,5735502292,0,604456555,False,,cycleway,73.092,"LINESTRING (101.5141858 3.0794433, 101.5136303 3.079796)",,,,,,
6027464991,5735502279,0,604456555,False,,cycleway,21.578,"LINESTRING (101.5141858 3.0794433, 101.5141976 3.0792496)",,,,,,
7027502935,4897863669,0,498339319,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,40.209,"LINESTRING (101.4865386 3.0626933, 101.4868966 3.0627477)",,,,,,
