u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,service,tunnel
5738425690,5738425685,0,449553011,False,,residential,30,35.662,"LINESTRING (101.5545332 3.1928326, 101.5542127 3.192854)",,Jalan Tempayan Emas 1,,,
5738425697,5738325687,0,449553011,False,,residential,30,24.729,"LINESTRING (101.5523495 3.193019, 101.5525705 3.1929913)",,Jalan Tempayan Emas 1,,,
5738425697,5738325685,0,449553011,False,,residential,30,14.732,"LINESTRING (101.5523495 3.193019, 101.5522176 3.1930335)",,Jalan Tempayan Emas 1,,,
5738425718,5738425628,0,449553011,False,,residential,30,38.117,"LINESTRING (101.553466 3.1929034, 101.5538087 3.1928827)",,Jalan Tempayan Emas 1,,,
5738425718,2159291038,0,449553011,False,,residential,30,19.811,"LINESTRING (101.553466 3.1929034, 101.553288 3.1929159)",,Jalan Tempayan Emas 1,,,
5738425720,5738325685,0,449553011,False,,residential,30,43.571,"LINESTRING (101.5518275 3.1930763, 101.5522176 3.1930335)",,Jalan Tempayan Emas 1,,,
5738425720,5738326825,0,449553011,False,,residential,30,34.368,"LINESTRING (101.5518275 3.1930763, 101.5515198 3.1931101)",,Jalan Tempayan Emas 1,,,
5738425824,6643659213,0,449553011,False,,residential,30,11.745,"LINESTRING (101.5529651 3.1929514, 101.5530703 3.1929403)",,Jalan Tempayan Emas 1,,,
5738425824,7854909541,0,449553011,False,,residential,30,40.757,"LINESTRING (101.5529651 3.1929514, 101.5526002 3.1929915)",,Jalan Tempayan Emas 1,,,
5750859472,5750859474,0,606586159,False,1,residential,20,16.816,"LINESTRING (101.481667 3.0657628, 101.4816639 3.065914)",,Persiaran Multimedia 7/Ah,,,
5750859472,5750859482,0,606586159,False,1,residential,20,94.134,"LINESTRING (101.481667 3.0657628, 101.4816838 3.0649164)",,Persiaran Multimedia 7/Ah,,,
5750859474,5750859475,0,606586159,False,1,residential,20,19.229,"LINESTRING (101.4816639 3.065914, 101.4816605 3.0660869)",,Persiaran Multimedia 7/Ah,,,
5750859474,5750859472,0,606586159,False,1,residential,20,16.816,"LINESTRING (101.4816639 3.065914, 101.481667 3.0657628)",,Persiaran Multimedia 7/Ah,,,
5750859475,5750859483,0,606586159,False,1,residential,20,19.296,"LINESTRING (101.4816605 3.0660869, 101.481657 3.0662604)",,Persiaran Multimedia 7/Ah,,,
5750859475,5750859474,0,606586159,False,1,residential,20,19.229,"LINESTRING (101.4816605 3.0660869, 101.4816639 3.065914)",,Persiaran Multimedia 7/Ah,,,
5750859478,5750859479,0,606586159,False,1,residential,20,15.704,"LINESTRING (101.4820608 3.0642156, 101.4820527 3.0643566)",,Persiaran Multimedia 7/Ah,,,
5750859479,5750859480,0,606586159,False,1,residential,20,19.17,"LINESTRING (101.4820527 3.0643566, 101.4819548 3.0644986)",,Persiaran Multimedia 7/Ah,,,
5750859479,5750859478,0,606586159,False,1,residential,20,15.704,"LINESTRING (101.4820527 3.0643566, 101.4820608 3.0642156)",,Persiaran Multimedia 7/Ah,,,
5750859480,5750859481,0,606586159,False,1,residential,20,36.014,"LINESTRING (101.4819548 3.0644986, 101.4817214 3.0647235)",,Persiaran Multimedia 7/Ah,,,
5750859480,5750859479,0,606586159,False,1,residential,20,19.17,"LINESTRING (101.4819548 3.0644986, 101.4820527 3.0643566)",,Persiaran Multimedia 7/Ah,,,
5750859481,5750859482,0,606586159,False,1,residential,20,21.852,"LINESTRING (101.4817214 3.0647235, 101.4816838 3.0649164)",,Persiaran Multimedia 7/Ah,,,
5750859481,5750859480,0,606586159,False,1,residential,20,36.014,"LINESTRING (101.4817214 3.0647235, 101.4819548 3.0644986)",,Persiaran Multimedia 7/Ah,,,
5750859482,5750859472,0,606586159,False,1,residential,20,94.134,"LINESTRING (101.4816838 3.0649164, 101.481667 3.0657628)",,Persiaran Multimedia 7/Ah,,,
5750859482,5750859481,0,606586159,False,1,residential,20,21.852,"LINESTRING (101.4816838 3.0649164, 101.4817214 3.0647235)",,Persiaran Multimedia 7/Ah,,,
5750859483,5750859475,0,606586159,False,1,residential,20,19.296,"LINESTRING (101.481657 3.0662604, 101.4816605 3.0660869)",,Persiaran Multimedia 7/Ah,,,
5752855736,297595927,0,380527525,False,,tertiary,30,48.988,"LINESTRING (101.4959289 3.0752245, 101.4958098 3.0748003)",,Jalan Baiduri Bulan 7/28,,,
5752855736,305357953,0,380527525,False,,tertiary,30,30.205,"LINESTRING (101.4959289 3.0752245, 101.4960018 3.0754862)",,Jalan Baiduri Bulan 7/28,,,
5752855737,305357956,0,380527525,False,,tertiary,30,8.209,"LINESTRING (101.4962238 3.0755469, 101.49615 3.0755513)",,Jalan Baiduri Bulan 7/28,,,
5752855737,305357959,0,380527525,False,,tertiary,30,62.179,"LINESTRING (101.4962238 3.0755469, 101.4967548 3.0753693)",,Jalan Baiduri Bulan 7/28,,,
5753017475,5753017478,0,311525703,False,,tertiary,30,2.213,"LINESTRING (101.4953875 3.0644162, 101.495379 3.0644342)",,Jalan Sarjana 1/2,,,
5753017475,1923251376,0,311525703,False,,tertiary,30,13.764,"LINESTRING (101.4953875 3.0644162, 101.4954407 3.0643044)",,Jalan Sarjana 1/2,,,
5753017478,1712667805,0,311525703,False,,tertiary,30,24.721,"LINESTRING (101.495379 3.0644342, 101.4952717 3.064629)",,Jalan Sarjana 1/2,,,
5753017478,5753017475,0,311525703,False,,tertiary,30,2.213,"LINESTRING (101.495379 3.0644342, 101.4953875 3.0644162)",,Jalan Sarjana 1/2,,,
5753017479,2099477289,0,159184236,False,,residential,30,14.552,"LINESTRING (101.4968849 3.0662939, 101.496783 3.0662116)",,,,,
5753017479,1712796894,0,159184236,False,,residential,30,3.246,"LINESTRING (101.4968849 3.0662939, 101.4969076 3.0663123)",,,,,
5753017483,5753017485,0,159184236,False,,residential,30,12.956,"LINESTRING (101.4967044 3.0661482, 101.4966137 3.0660749)",,,,,
5753017483,2099477289,0,159184236,False,,residential,30,11.219,"LINESTRING (101.4967044 3.0661482, 101.496783 3.0662116)",,,,,
5753017485,5753017487,0,159184236,False,,residential,30,18.463,"LINESTRING (101.4966137 3.0660749, 101.4964844 3.0659705)",,,,,
5753017485,5753017483,0,159184236,False,,residential,30,12.956,"LINESTRING (101.4966137 3.0660749, 101.4967044 3.0661482)",,,,,
5753017487,2099477291,0,159184236,False,,residential,30,12.253,"LINESTRING (101.4964844 3.0659705, 101.4963986 3.0659012)",,,,,
5753017487,5753017485,0,159184236,False,,residential,30,18.463,"LINESTRING (101.4964844 3.0659705, 101.4966137 3.0660749)",,,,,
5753017489,5753017491,0,159184236,False,,residential,30,12.228,"LINESTRING (101.4963173 3.0658346, 101.4962322 3.0657648)",,,,,
5753017489,2099477291,0,159184236,False,,residential,30,11.676,"LINESTRING (101.4963173 3.0658346, 101.4963986 3.0659012)",,,,,
5753017491,5753017493,0,159184236,False,,residential,30,12.853,"LINESTRING (101.4962322 3.0657648, 101.4961427 3.0656915)",,,,,
5753017491,5753017489,0,159184236,False,,residential,30,12.228,"LINESTRING (101.4962322 3.0657648, 101.4963173 3.0658346)",,,,,
5753017493,5753017495,0,159184236,False,,residential,30,12.339,"LINESTRING (101.4961427 3.0656915, 101.4960568 3.0656211)",,,,,
5753017493,5753017491,0,159184236,False,,residential,30,12.853,"LINESTRING (101.4961427 3.0656915, 101.4962322 3.0657648)",,,,,
5753017495,5753017497,0,159184236,False,,residential,30,14.163,"LINESTRING (101.4960568 3.0656211, 101.4959582 3.0655403)",,,,,
5753017495,5753017493,0,159184236,False,,residential,30,12.339,"LINESTRING (101.4960568 3.0656211, 101.4961427 3.0656915)",,,,,
5753017497,2099477290,0,159184236,False,,residential,30,8.044,"LINESTRING (101.4959582 3.0655403, 101.4959022 3.0654944)",,,,,
5753017497,5753017495,0,159184236,False,,residential,30,14.163,"LINESTRING (101.4959582 3.0655403, 101.4960568 3.0656211)",,,,,
5753017498,2099477287,0,159184236,False,,residential,30,16.893,"LINESTRING (101.4954489 3.0646418, 101.4955268 3.0647723)",,,,,
5753017498,1712667805,0,606900050,True,,residential,30,19.727,"LINESTRING (101.4954489 3.0646418, 101.4952717 3.064629)",,,,,
5753062520,3171967852,0,311525772,False,,tertiary,30,5.953,"LINESTRING (101.4974248 3.0724373, 101.4974286 3.0724907)",,Jalan Ilmu 1/1,,,
5753062520,1712782514,0,311525772,False,,tertiary,30,85.356,"LINESTRING (101.4974248 3.0724373, 101.4973677 3.0716718)",,Jalan Ilmu 1/1,,,
5753063070,1723581103,0,311525772,False,,tertiary,30,20.887,"LINESTRING (101.500091 3.0721206, 101.5002076 3.0719732)",,Jalan Ilmu 1/1,,,
5753063070,1923176998,0,311525772,False,,tertiary,30,23.799,"LINESTRING (101.500091 3.0721206, 101.4999582 3.0722886)",,Jalan Ilmu 1/1,,,
5753370797,1982369118,0,606954398,False,,residential,30,6.318,"LINESTRING (101.4984571 3.0686225, 101.4984732 3.068568)",,,,,
5753370797,5753370798,0,606954399,False,,residential,30,17.945,"LINESTRING (101.4984571 3.0686225, 101.4984114 3.0687773)",,,yes,,
5753370798,3775019876,0,187592889,False,,residential,30,25.689,"LINESTRING (101.4984114 3.0687773, 101.498346 3.0689989)",,,,,
5753370798,5753370797,0,606954399,False,,residential,30,17.945,"LINESTRING (101.4984114 3.0687773, 101.4984571 3.0686225)",,,yes,,
5753373732,2099477292,0,199964306,False,,service,30,28.06,"LINESTRING (101.4968111 3.0657844, 101.4970066 3.0659443)",,,,,
5753373732,2099477285,0,199964306,False,,service,30,28.115,"LINESTRING (101.4968111 3.0657844, 101.4966152 3.0656242)",,,,,
5753373735,5755225598,0,312035492,False,,service,30,7.685,"LINESTRING (101.5002326 3.0690707, 101.500234 3.0690016)",,,,,
