u,v,key,osmid,oneway,name,highway,length,geometry,tunnel,bridge,service,maxspeed,lanes,ref
4896261363,5359376997,0,"[498140285, 498140283, 498140284, 160219261]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,2346.7990000000004,"LINESTRING (101.5574243 3.0759345, 101.5576895 3.0759647, 101.5581857 3.0760584, 101.5586873 3.076179, 101.5595 3.0764468, 101.5599643 3.0766199, 101.5609757 3.0770501, 101.5612271 3.0771408, 101.561745 3.0772931, 101.5620518 3.0774031, 101.5624472 3.0775316, 101.5626505 3.0776007, 101.5627334 3.077638, 101.5627841 3.0776752, 101.5629065 3.0777974, 101.5629833 3.077874, 101.5630673 3.0779257, 101.5633073 3.0780283, 101.5637285 3.0781822, 101.5641871 3.0783524, 101.5649612 3.0786316, 101.5655626 3.0788478, 101.5656801 3.0789065, 101.5657742 3.0789606, 101.5662882 3.0792801, 101.5667067 3.0795138, 101.5669267 3.079659, 101.5671751 3.0798636, 101.5673086 3.0799496, 101.5676299 3.0800766, 101.567706 3.0801335, 101.5677899 3.0802472, 101.5678685 3.080369, 101.5679218 3.0804346, 101.5679672 3.0804721, 101.5680476 3.0805165, 101.5685486 3.080766, 101.5686079 3.0808045, 101.5686376 3.0808443, 101.5686609 3.0808904, 101.5687086 3.0809878, 101.5687619 3.0810853, 101.5688257 3.0811624, 101.5688989 3.0812436, 101.5689825 3.0813085, 101.5690899 3.0813532, 101.5691997 3.0813735, 101.5693501 3.0813735, 101.569529 3.0813735, 101.5697241 3.0813897, 101.569964 3.0814344, 101.5702276 3.0815003, 101.5705275 3.0816275, 101.5707974 3.0817429, 101.571147 3.0818972, 101.5714316 3.0819987, 101.5716634 3.0820596, 101.5720252 3.0821367, 101.5723626 3.0821854, 101.5726716 3.0822016, 101.5729887 3.0822098, 101.5735091 3.0822382, 101.5740457 3.0822747, 101.5750499 3.0823559, 101.5757492 3.0824046, 101.5763549 3.0824371, 101.5769687 3.0824734)",,,,,,
4897545153,4897545151,0,498304356,True,,cycleway,76.791,"LINESTRING (101.5586703 3.0757851, 101.5579847 3.0756944)",,,,,,
4897545153,299422035,0,"[769751584, 769751585, 27277796, 162530603, 162530577]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,611.8599999999999,"LINESTRING (101.5586703 3.0757851, 101.558438 3.075681, 101.5582138 3.0755971, 101.5576203 3.0753953, 101.5571915 3.0751807, 101.5566437 3.0748805, 101.5565611 3.0748184, 101.5564804 3.074737, 101.5563222 3.0745629, 101.5562101 3.0744454, 101.5561144 3.0743879, 101.5560133 3.0743466, 101.5557392 3.0743008, 101.5554184 3.0742472, 101.5552737 3.074223, 101.5549955 3.074169, 101.5541836 3.0740375, 101.5540197 3.0740449, 101.5538852 3.0740887, 101.5538025 3.074138, 101.5536972 3.0741629, 101.5536159 3.0741747)",yes,yes,,,,
4897545159,4897545160,0,498304357,True,,cycleway,23.076,"LINESTRING (101.5412939 3.0698819, 101.5410866 3.0698671)",,,,,,
4897545159,4562907211,0,"[460662720, 460662722, 460662723, 460662724, 460662727]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,490.9440000000001,"LINESTRING (101.5412939 3.0698819, 101.5411925 3.0698287, 101.5411281 3.0697778, 101.5410449 3.0697028, 101.5403905 3.0689743, 101.5403127 3.0689234, 101.5402242 3.0688752, 101.5401142 3.0688377, 101.5397655 3.0687412, 101.5394732 3.0686716, 101.539382 3.0686448, 101.5392103 3.0685859, 101.5390091 3.0685082, 101.5388509 3.0684305, 101.5386631 3.0683234, 101.5384244 3.0681815, 101.5383359 3.0681413, 101.5382072 3.0681145, 101.5380489 3.0681038, 101.5375393 3.0680422, 101.537443 3.0680314)",yes,,,,,
4897863476,4897863477,0,498339306,True,,cycleway,16.17,"LINESTRING (101.5228873 3.0652918, 101.522742 3.0653016)",,,,,,
4897863476,4897863480,0,"[460662726, 460662727, 460662728, 460662729, 460662730]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,541.8620000000001,"LINESTRING (101.5228873 3.0652918, 101.5219208 3.0647157, 101.5217572 3.0646005, 101.5215292 3.0644291, 101.5213897 3.064255, 101.5212797 3.0641318, 101.5212556 3.064105, 101.5211939 3.0640755, 101.5203812 3.0638934, 101.5203061 3.0638934, 101.5200218 3.0640728, 101.5199011 3.0641237, 101.5195497 3.0641612, 101.5192413 3.064196, 101.5188309 3.0642389, 101.5185122 3.0642977)",yes,yes,,,,
4897863478,4897863502,0,460662730,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,1700.9440000000002,"LINESTRING (101.5183847 3.0643199, 101.5178143 3.0644184, 101.5173517 3.0644883, 101.5171004 3.0645095, 101.5164669 3.0645448, 101.5159997 3.0645908, 101.5157307 3.0645908, 101.5151821 3.0645024, 101.513788 3.0641495, 101.5128992 3.0639565, 101.5122182 3.0637494, 101.5113987 3.0635211, 101.510906 3.063368, 101.5095942 3.0629953, 101.5088424 3.0627953, 101.5086976 3.062743, 101.5084573 3.0626938, 101.5081985 3.0626907, 101.5080044 3.0626815, 101.5073635 3.0625953, 101.5058784 3.0623892, 101.5049511 3.0622753, 101.504532 3.0622107, 101.5039682 3.0621338, 101.5037001 3.0620784, 101.5034783 3.0620046, 101.5033998 3.0619617)",,,,,,
4897863480,4897863478,0,460662730,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,14.371,"LINESTRING (101.5185122 3.0642977, 101.5184965 3.0643006, 101.5183847 3.0643199)",,,,,,
4897863480,249398997,0,498339308,False,,cycleway,9.315999999999999,"LINESTRING (101.5185122 3.0642977, 101.5185057 3.0642617, 101.5184749 3.0642259)",,,,,,
