u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,geometry,lanes,tunnel,bridge,width,access,area,service
249847513,312280750,0,23140076,,Lehmanngasse,residential,50,True,218.06099999999998,"LINESTRING (16.2771756 48.1368643, 16.2779896 48.1365901, 16.2783327 48.1364872, 16.2787774 48.1363345, 16.2798229 48.1360141)",,,,,,,
277119462,280216770,0,"[552417856, 552417857, 25427955]",,Oskar-Kokoschka-Platz,tertiary,30,False,91.55,"LINESTRING (16.3834576 48.2084738, 16.3828588 48.2086796, 16.3825563 48.2087835, 16.3824664 48.2088151, 16.3823603 48.2088521)",3,,,,,,
277119462,319728986,0,"[10126619, 25427955, 417857919]",,"['Oskar-Kokoschka-Platz', 'Marxergasse', 'Kleine Marxerbrücke']",tertiary,30,False,35.949999999999996,"LINESTRING (16.3834576 48.2084738, 16.3835307 48.2084499, 16.3838701 48.208339, 16.3838781 48.2083364, 16.3838932 48.2083315)",,,yes,,,,
277119462,2138796459,0,203868712,,,cycleway,,False,210.50900000000001,"LINESTRING (16.3834576 48.2084738, 16.3834692 48.2083988, 16.3834609 48.2083873, 16.3828897 48.207597, 16.38286 48.2075895, 16.3828241 48.2075799, 16.3828109 48.2075571, 16.3828225 48.2075337, 16.3828308 48.2075154, 16.3823529 48.2068542, 16.3823244 48.2068157, 16.3823006 48.2067836)",,,,,,,
280216770,2011350194,0,190494847,,,cycleway,,False,9.806,"LINESTRING (16.3823603 48.2088521, 16.3823018 48.208773)",,,,,,,
280216770,50753893,0,552417857,,Oskar-Kokoschka-Platz,tertiary,30,False,10.521,"LINESTRING (16.3823603 48.2088521, 16.3822873 48.2088764, 16.3822333 48.2088944)",3,,,,,,
280216770,277119462,0,"[552417856, 552417857, 25427955]",,Oskar-Kokoschka-Platz,tertiary,30,False,91.55,"LINESTRING (16.3823603 48.2088521, 16.3824664 48.2088151, 16.3825563 48.2087835, 16.3828588 48.2086796, 16.3834576 48.2084738)",3,,,,,,
280216770,280216769,0,190494847,,,cycleway,,False,10.292,"LINESTRING (16.3823603 48.2088521, 16.382408 48.2089201, 16.3824158 48.2089368)",,,,,,,
306664777,306665251,0,27940146,,Franz-Grill-Straße,residential,,False,333.468,"LINESTRING (16.3941147 48.1786289, 16.3942864 48.1786978, 16.3945816 48.1788481, 16.3946741 48.1788986, 16.3950641 48.1791134, 16.3954514 48.1793267, 16.3962875 48.1798012, 16.3963609 48.1798417, 16.3963895 48.1798576, 16.3964971 48.179915, 16.3969249 48.1801557, 16.3971528 48.1802793, 16.3976184 48.1805057)",,,,,,,
306665251,306664777,0,27940146,,Franz-Grill-Straße,residential,,False,333.468,"LINESTRING (16.3976184 48.1805057, 16.3971528 48.1802793, 16.3969249 48.1801557, 16.3964971 48.179915, 16.3963895 48.1798576, 16.3963609 48.1798417, 16.3962875 48.1798012, 16.3954514 48.1793267, 16.3950641 48.1791134, 16.3946741 48.1788986, 16.3945816 48.1788481, 16.3942864 48.1786978, 16.3941147 48.1786289)",,,,,,,
306665251,306665251,0,"[842554704, 738111574, 738111575]",,Franz-Grill-Straße,residential,,True,556.472,"LINESTRING (16.3976184 48.1805057, 16.397775 48.1805638, 16.3978974 48.1806303, 16.3979764 48.1806907, 16.398068 48.1807568, 16.3981551 48.1808499, 16.3982381 48.1809467, 16.3983286 48.1810596, 16.3983671 48.1811516, 16.3984108 48.1812884, 16.3984374 48.1814207, 16.398442 48.1814771, 16.3984385 48.1815723, 16.398418 48.1816713, 16.3983748 48.1818064, 16.3983245 48.1819148, 16.3982101 48.1820522, 16.3980338 48.1822278, 16.397852 48.1823593, 16.3975261 48.1826396, 16.3974591 48.1826103, 16.3977614 48.1823584, 16.3978031 48.1823201, 16.3978972 48.1822355, 16.3979865 48.1821609, 16.3981635 48.1819964, 16.3982359 48.1818855, 16.3982842 48.1817871, 16.3983164 48.1816798, 16.3983352 48.1815779, 16.3983512 48.1814563, 16.3983477 48.1814254, 16.3983378 48.18134, 16.3983276 48.1812736, 16.3983001 48.1811774, 16.3982413 48.1810753, 16.3981286 48.1809287, 16.3979623 48.1807677, 16.3977907 48.1806586, 16.3977018 48.1805929, 16.3976184 48.1805057)",,,,,,,
312280750,1541486068,0,"[374816152, 28423843, 323310133, 33174615]",B13a,Lehmanngasse,"['primary', 'residential']","['50', '30']",True,217.3,"LINESTRING (16.2798229 48.1360141, 16.2801443 48.1359089, 16.2805701 48.1357782, 16.2807635 48.1357318, 16.2809188 48.1356774, 16.2815626 48.1354512, 16.2816158 48.135434, 16.2816591 48.13542, 16.2816877 48.13541, 16.2820559 48.1352577, 16.2822475 48.1351654, 16.2823428 48.1351103, 16.2823785 48.1350798)","['3', '2']",,,,,,
312280750,1554704928,0,"[136746968, 28423842, 342593635, 342593632]",,,cycleway,,False,34.412,"LINESTRING (16.2798229 48.1360141, 16.2798504 48.136045, 16.2800132 48.1362113, 16.2800468 48.1362392, 16.2800866 48.1362679)",,,yes,,,,
319728986,277119462,0,"[10126619, 25427955, 417857919]",,"['Kleine Marxerbrücke', 'Oskar-Kokoschka-Platz', 'Marxergasse']",tertiary,30,False,35.95,"LINESTRING (16.3838932 48.2083315, 16.3838781 48.2083364, 16.3838701 48.208339, 16.3835307 48.2084499, 16.3834576 48.2084738)",,,yes,,,,
319728986,319741252,0,81309248,,,cycleway,,False,172.452,"LINESTRING (16.3838932 48.2083315, 16.3839441 48.2084008, 16.3839598 48.2084208, 16.384113 48.2086254, 16.3842629 48.2088254, 16.3843164 48.2088985, 16.3843767 48.2089912, 16.3844599 48.209146, 16.384491 48.2092149, 16.3845759 48.2094105, 16.3846457 48.2097842)",,,,,,,
319728986,546942264,0,81309248,,,cycleway,,False,205.103,"LINESTRING (16.3838932 48.2083315, 16.3838396 48.2082586, 16.3838296 48.208245, 16.3835748 48.2078924, 16.383393 48.2076448, 16.3832187 48.2074057, 16.3830024 48.207106, 16.3827644 48.206782, 16.3827363 48.2067147, 16.3827022 48.2066677)",,,,,,,
1950933825,3127334592,0,"[828019683, 828019684, 832115471, 832115472, 35070932, 344169108]",,Modecenterstraße,tertiary,50,False,392.545,"LINESTRING (16.4181294 48.1885481, 16.4181051 48.1885226, 16.418074 48.18849, 16.4179228 48.1883314, 16.4174182 48.1878023, 16.417126 48.1874944, 16.4168513 48.1872055, 16.4168116 48.1871634, 16.4164796 48.1868111, 16.4162291 48.1865492, 16.4162022 48.1865211, 16.4161668 48.186484, 16.4160634 48.1863804, 16.4159914 48.1863083, 16.4159264 48.1862432, 16.4158921 48.1862119, 16.4158435 48.1861604, 16.4156754 48.1859928, 16.4155585 48.1858761, 16.4153906 48.1857086, 16.4152622 48.1855805)","['5', '3']",,,,,,
1950933825,685868945,0,"[38998484, 54442135]",,,cycleway,,False,1123.5720000000001,"LINESTRING (16.4181294 48.1885481, 16.4182272 48.1885086, 16.4189282 48.1880892, 16.4190116 48.1880611, 16.4191771 48.1879652, 16.4204253 48.1872056, 16.4208495 48.1869484, 16.4211578 48.1867764, 16.4215395 48.1865978, 16.4218522 48.186474, 16.4221796 48.1863564, 16.4223534 48.1863014, 16.422494 48.1862385, 16.4231947 48.1860806, 16.4233088 48.186083, 16.4249321 48.185729, 16.4260714 48.1854787, 16.4261993 48.1854492, 16.4269352 48.1852916, 16.4270263 48.1852514, 16.4271324 48.1852286, 16.4272776 48.185222, 16.4280485 48.1851046, 16.4283981 48.1850723, 16.4286761 48.185111, 16.4287197 48.1851171, 16.4288883 48.1851827, 16.4290506 48.185319, 16.429195 48.1854329, 16.429305 48.185549, 16.4294159 48.1856416, 16.4295463 48.185757, 16.4297296 48.1858622, 16.4298738 48.1859128, 16.430048 48.1859413, 16.4301948 48.185934, 16.4303518 48.1859194, 16.4306396 48.1858695, 16.4308076 48.1858184, 16.4309487 48.1857478, 16.4310096 48.1856957, 16.4310611 48.185652, 16.4310776 48.1856287)",,,,,,,
1950933825,3133079287,0,"[54858217, 38998484]",,,cycleway,,False,10.582,"LINESTRING (16.4181294 48.1885481, 16.4180579 48.1885792, 16.4180341 48.188614)",,,,,,,
1975838866,61767717,0,8658046,,Arndtstraße,tertiary,30,True,172.70800000000003,"LINESTRING (16.338743 48.1844488, 16.3386305 48.1844058, 16.3384299 48.184326, 16.3383938 48.1843099, 16.3383824 48.1843053, 16.3381779 48.1842162, 16.3378304 48.1840647, 16.3375576 48.1839458, 16.3374724 48.1839067, 16.3370894 48.1837268, 16.3368952 48.1836325, 16.336817 48.1835791)",,,,,,,
1975838866,685268,0,23515797,,Kobingergasse,path,,False,159.065,"LINESTRING (16.338743 48.1844488, 16.3385739 48.184593, 16.3381001 48.1850626, 16.3376304 48.1855354, 16.3375176 48.1856216)",,,,,,,
3127334592,1950933825,0,"[828019683, 828019684, 832115471, 832115472, 35070932, 344169108]",,Modecenterstraße,tertiary,50,False,392.545,"LINESTRING (16.4152622 48.1855805, 16.4153906 48.1857086, 16.4155585 48.1858761, 16.4156754 48.1859928, 16.4158435 48.1861604, 16.4158921 48.1862119, 16.4159264 48.1862432, 16.4159914 48.1863083, 16.4160634 48.1863804, 16.4161668 48.186484, 16.4162022 48.1865211, 16.4162291 48.1865492, 16.4164796 48.1868111, 16.4168116 48.1871634, 16.4168513 48.1872055, 16.417126 48.1874944, 16.4174182 48.1878023, 16.4179228 48.1883314, 16.418074 48.18849, 16.4181051 48.1885226, 16.4181294 48.1885481)","['5', '3']",,,,,,
3706476337,33912515,0,14125854,,Richard-Tauber-Gasse,residential,,False,12.254,"LINESTRING (16.3561803 48.1342535, 16.3563405 48.1342268)",,,,,,,
5665639122,60738730,0,"[8106673, 8106674]",,Mooslackengasse,tertiary,50,False,218.05599999999998,"LINESTRING (16.3684843 48.2489992, 16.3683205 48.2490438, 16.3681613 48.2490871, 16.367708 48.2492104, 16.3657404 48.2497111)",,yes,,,,,
199758,477228293,0,405289063,,,cycleway,,False,9.833,"LINESTRING (16.3554663 48.2102275, 16.3553365 48.2102459)",,,,,,,
