u,v,key,osmid,highway,oneway,length,geometry,name,maxspeed,access,service,lanes,tunnel
2916981018,2916981021,0,288148082,cycleway,False,97.512,"LINESTRING (106.9510826 47.8957525, 106.9523327 47.8960104)",Дугуйн зам,,,,,
2916981019,2916981030,0,288148082,cycleway,False,55.53,"LINESTRING (106.9434516 47.8957646, 106.9431204 47.8962119)",Дугуйн зам,,,,,
2916981019,2916981017,0,288148082,cycleway,False,54.233,"LINESTRING (106.9434516 47.8957646, 106.9439414 47.895404)",Дугуйн зам,,,,,
2916981021,2916981018,0,288148082,cycleway,False,97.512,"LINESTRING (106.9523327 47.8960104, 106.9510826 47.8957525)",Дугуйн зам,,,,,
2916981021,2916981028,0,288148082,cycleway,False,96.209,"LINESTRING (106.9523327 47.8960104, 106.9536076 47.8961444)",Дугуйн зам,,,,,
2916981022,2916981023,0,288148082,cycleway,False,29.021,"LINESTRING (106.9573634 47.8960265, 106.9569746 47.8960393)",Дугуйн зам,,,,,
2916981022,2916981025,0,288148082,cycleway,False,22.843,"LINESTRING (106.9573634 47.8960265, 106.9576545 47.8960906)",Дугуйн зам,,,,,
2916981023,2916981026,0,288148082,cycleway,False,32.29,"LINESTRING (106.9569746 47.8960393, 106.9565517 47.896102)",Дугуйн зам,,,,,
2916981023,2916981022,0,288148082,cycleway,False,29.021,"LINESTRING (106.9569746 47.8960393, 106.9573634 47.8960265)",Дугуйн зам,,,,,
2916981025,2916981022,0,288148082,cycleway,False,22.843,"LINESTRING (106.9576545 47.8960906, 106.9573634 47.8960265)",Дугуйн зам,,,,,
2916981025,2916981031,0,288148082,cycleway,False,23.524,"LINESTRING (106.9576545 47.8960906, 106.95789 47.8962314)",Дугуйн зам,,,,,
2916981026,2916981027,0,288148082,cycleway,False,31.544,"LINESTRING (106.9565517 47.896102, 106.9561331 47.8961433)",Дугуйн зам,,,,,
2916981026,2916981023,0,288148082,cycleway,False,32.29,"LINESTRING (106.9565517 47.896102, 106.9569746 47.8960393)",Дугуйн зам,,,,,
2916981027,2916981029,0,288148082,cycleway,False,94.211,"LINESTRING (106.9561331 47.8961433, 106.9548697 47.8961605)",Дугуйн зам,,,,,
2916981027,2916981026,0,288148082,cycleway,False,31.544,"LINESTRING (106.9561331 47.8961433, 106.9565517 47.896102)",Дугуйн зам,,,,,
2916981028,2916981021,0,288148082,cycleway,False,96.209,"LINESTRING (106.9536076 47.8961444, 106.9523327 47.8960104)",Дугуйн зам,,,,,
2916981028,2916981029,0,288148082,cycleway,False,94.111,"LINESTRING (106.9536076 47.8961444, 106.9548697 47.8961605)",Дугуйн зам,,,,,
2916981029,2916981028,0,288148082,cycleway,False,94.111,"LINESTRING (106.9548697 47.8961605, 106.9536076 47.8961444)",Дугуйн зам,,,,,
2916981029,2916981027,0,288148082,cycleway,False,94.211,"LINESTRING (106.9548697 47.8961605, 106.9561331 47.8961433)",Дугуйн зам,,,,,
2916981030,3575634889,0,288148082,cycleway,False,32.93,"LINESTRING (106.9431204 47.8962119, 106.9429702 47.8964904)",Дугуйн зам,,,,,
2916981030,2916981019,0,288148082,cycleway,False,55.53,"LINESTRING (106.9431204 47.8962119, 106.9434516 47.8957646)",Дугуйн зам,,,,,
2916981031,2916981025,0,288148082,cycleway,False,23.524,"LINESTRING (106.95789 47.8962314, 106.9576545 47.8960906)",Дугуйн зам,,,,,
