u,v,key,osmid,highway,oneway,length,geometry,name
2916981029,2916981028,0,288148082,cycleway,False,94.111,"LINESTRING (106.9548697 47.8961605, 106.9536076 47.8961444)",Дугуйн зам
2916981029,2916981027,0,288148082,cycleway,False,94.211,"LINESTRING (106.9548697 47.8961605, 106.9561331 47.8961433)",Дугуйн зам
2916981030,3575634889,0,288148082,cycleway,False,32.93,"LINESTRING (106.9431204 47.8962119, 106.9429702 47.8964904)",Дугуйн зам
2916981030,2916981019,0,288148082,cycleway,False,55.53,"LINESTRING (106.9431204 47.8962119, 106.9434516 47.8957646)",Дугуйн зам
2916981031,2916981025,0,288148082,cycleway,False,23.524,"LINESTRING (106.95789 47.8962314, 106.9576545 47.8960906)",Дугуйн зам
2916981031,2916981032,0,288148082,cycleway,False,45.534,"LINESTRING (106.95789 47.8962314, 106.9582506 47.8965619)",Дугуйн зам
2916981032,2916981031,0,288148082,cycleway,False,45.534,"LINESTRING (106.9582506 47.8965619, 106.95789 47.8962314)",Дугуйн зам
2916981032,2916981036,0,288148082,cycleway,False,58.328,"LINESTRING (106.9582506 47.8965619, 106.9586172 47.8970253)",Дугуйн зам
2916981033,2916981035,0,288148082,cycleway,False,34.563,"LINESTRING (106.9430122 47.8965947, 106.9429852 47.896905)",Дугуйн зам
2916981033,3575634889,0,288148082,cycleway,False,12.013,"LINESTRING (106.9430122 47.8965947, 106.9429702 47.8964904)",Дугуйн зам
2916981035,2916981037,0,288148082,cycleway,False,24.906,"LINESTRING (106.9429852 47.896905, 106.9430181 47.8971279)",Дугуйн зам
2916981035,2916981033,0,288148082,cycleway,False,34.563,"LINESTRING (106.9429852 47.896905, 106.9430122 47.8965947)",Дугуйн зам
2916981036,2916981032,0,288148082,cycleway,False,58.328,"LINESTRING (106.9586172 47.8970253, 106.9582506 47.8965619)",Дугуйн зам
2916981036,2916981040,0,288148082,cycleway,False,59.658,"LINESTRING (106.9586172 47.8970253, 106.9589237 47.8975209)",Дугуйн зам
