u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,service,lanes,tunnel
5025899152,5025899151,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,46.723,"LINESTRING (107.5117564 47.6893504, 107.5121856 47.6890453)",,,,
5025899152,5025899153,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,100.995,"LINESTRING (107.5117564 47.6893504, 107.5108337 47.6900131)",,,,
5025899153,5025899152,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,100.995,"LINESTRING (107.5108337 47.6900131, 107.5117564 47.6893504)",,,,
394532764,1477522627,0,166194521,,residential,20,False,4.38,"LINESTRING (106.9316876 47.9183292, 106.9316696 47.9182917)",,,,
480748240,6852368580,0,166194521,,residential,20,False,63.806,"LINESTRING (106.9304771 47.914094, 106.9304036 47.9146657)",,,,
754491084,5424186715,0,562687722,,service,5,True,39.235,"LINESTRING (106.8757286 47.9035921, 106.8754318 47.9038835)",,,,
937575788,1254026856,0,80335069,,trunk_link,20,False,5.653,"LINESTRING (106.8422194 47.9120493, 106.842225 47.9119986)",,,,
937575916,1254026910,0,80335069,,trunk_link,20,False,5.118,"LINESTRING (106.842242 47.9118448, 106.8422369 47.9118907)",,,,
947443904,4296330936,0,412621105,,service,20,False,12.834,"LINESTRING (106.9091835 47.9143381, 106.9092074 47.9142238)",destination,,,
1241687174,5695726160,0,598440207,,service,20,False,6.081,"LINESTRING (106.9110862 47.9025575, 106.9111568 47.9025301)",,parking_aisle,,
1252356921,5862390152,0,598440207,,service,20,False,15.9,"LINESTRING (106.9131088 47.9026187, 106.912906 47.9025744)",,parking_aisle,,
1254026711,1254026910,0,80335069,,trunk_link,20,False,5.965,"LINESTRING (106.842231 47.9119442, 106.8422369 47.9118907)",,,,
1254026711,1254026856,0,80335069,,trunk_link,20,False,6.066,"LINESTRING (106.842231 47.9119442, 106.842225 47.9119986)",,,,
1254026856,1254026711,0,80335069,,trunk_link,20,False,6.066,"LINESTRING (106.842225 47.9119986, 106.842231 47.9119442)",,,,
1254026856,937575788,0,80335069,,trunk_link,20,False,5.653,"LINESTRING (106.842225 47.9119986, 106.8422194 47.9120493)",,,,
1254026910,937575916,0,80335069,,trunk_link,20,False,5.118,"LINESTRING (106.8422369 47.9118907, 106.842242 47.9118448)",,,,
1254026910,1254026711,0,80335069,,trunk_link,20,False,5.965,"LINESTRING (106.8422369 47.9118907, 106.842231 47.9119442)",,,,
1264935122,2491832816,0,241573298,,residential,20,False,13.853,"LINESTRING (106.9005036 47.9170811, 106.9003186 47.9170689)",,,,
1268520420,3891884525,0,385851998,Сургуулиуд руу ордог зам,residential,20,False,18.35,"LINESTRING (106.8507786 47.9168407, 106.850832 47.9166796)",,,,
1477522550,2921518613,0,241409484,,residential,20,False,18.176,"LINESTRING (106.9311547 47.9141714, 106.9311748 47.9143343)",,,,
1477522627,7305750096,0,166194521,,residential,20,False,15.995,"LINESTRING (106.9316696 47.9182917, 106.9316883 47.9181484)",,,,
1477522627,394532764,0,166194521,,residential,20,False,4.38,"LINESTRING (106.9316696 47.9182917, 106.9316876 47.9183292)",,,,
1710976188,2491840549,0,241409483,,residential,20,False,9.805,"LINESTRING (106.9336535 47.9147082, 106.9335223 47.9147016)",,,,
1710976197,1776774439,0,166194653,,residential,20,False,27.739,"LINESTRING (106.9339336 47.9148913, 106.9340341 47.9151315)",,,,
1710976264,4119194412,0,410055481,,residential,20,False,25.186,"LINESTRING (106.9339041 47.916112, 106.9339141 47.9158856)",,,,
1731667209,3913959303,0,386123798,,residential,20,False,10.512,"LINESTRING (106.8794077 47.9113116, 106.8792668 47.9113158)",,,,
1776770699,6226234814,0,166194521,,residential,20,False,64.927,"LINESTRING (106.9307756 47.9158477, 106.9307593 47.9152639)",,,,
1776770699,1776770741,0,166194521,,residential,20,False,5.739,"LINESTRING (106.9307756 47.9158477, 106.9307422 47.9158942)",,,,
1776770702,1776770739,0,166194521,,residential,20,False,45.112,"LINESTRING (106.9316811 47.9173765, 106.9310769 47.9173516)",,,,
1776770702,3148657423,0,166194521,,residential,20,False,15.811,"LINESTRING (106.9316811 47.9173765, 106.9318184 47.9174849)",,,,
1776770702,1776774455,0,166194653,,residential,20,False,4.469,"LINESTRING (106.9316811 47.9173765, 106.9316375 47.9173489)",,,,
