u,v,key,osmid,highway,oneway,length,geometry,tunnel,bridge,name,maxspeed,lanes,service,access,ref
6652742839,6652742841,0,708002406,living_street,False,37.742,"LINESTRING (69.2981662 41.3803819, 69.2980814 41.3800485)",,,,20,,,,
6652742839,6652742840,0,708002410,service,False,99.445,"LINESTRING (69.2981662 41.3803819, 69.29933870000001 41.3802212)",,,,20,,,,
6652742840,6652742839,0,708002410,service,False,99.445,"LINESTRING (69.29933870000001 41.3802212, 69.2981662 41.3803819)",,,,20,,,,
6652742840,6652742837,0,842987466,living_street,False,32.048,"LINESTRING (69.29933870000001 41.3802212, 69.2994264 41.3805018)",,,,20,,,,
6652742840,6652742842,0,842987466,living_street,False,42.235,"LINESTRING (69.29933870000001 41.3802212, 69.29929799999999 41.3800972, 69.29921760000001 41.3798524)",,,,20,,,,
6652742841,6652742839,0,708002406,living_street,False,37.742,"LINESTRING (69.2980814 41.3800485, 69.2981662 41.3803819)",,,,20,,,,
6652742841,6652753118,0,708002406,living_street,False,42.786,"LINESTRING (69.2980814 41.3800485, 69.2979891 41.37967)",,,,20,,,,
6652742841,6652742842,0,708002411,service,False,97.274,"LINESTRING (69.2980814 41.3800485, 69.29921760000001 41.3798524)",,,,20,,,,
6652742842,6652742841,0,708002411,service,False,97.274,"LINESTRING (69.29921760000001 41.3798524, 69.2980814 41.3800485)",,,,20,,,,
6652742842,6652742835,0,842987466,living_street,False,93.585,"LINESTRING (69.29921760000001 41.3798524, 69.2989493 41.3790352)",,,,20,,,,
6652742842,6652742840,0,842987466,living_street,False,42.235,"LINESTRING (69.29921760000001 41.3798524, 69.29929799999999 41.3800972, 69.29933870000001 41.3802212)",,,,20,,,,
6652742844,6652742845,0,708002412,living_street,False,55.77,"LINESTRING (69.2994891 41.3815335, 69.299673 41.3810513)",,,,20,,,,
6652742845,6652742844,0,708002412,living_street,False,55.77,"LINESTRING (69.299673 41.3810513, 69.2994891 41.3815335)",,,,20,,,,
6652742845,6652742846,0,708002413,service,False,97.7,"LINESTRING (69.299673 41.3810513, 69.300836 41.3809488)",,,,20,,,,
6652742845,6652742847,0,708002412,living_street,False,31.694000000000003,"LINESTRING (69.299673 41.3810513, 69.2997003 41.3809796, 69.2995828 41.3807885)",,,,20,,,,
6652742846,6652742845,0,708002413,service,False,97.7,"LINESTRING (69.300836 41.3809488, 69.299673 41.3810513)",,,,20,,,,
6652742847,6652742837,0,708002412,living_street,False,34.447,"LINESTRING (69.2995828 41.3807885, 69.2994264 41.3805018)",,,,20,,,,
6652742847,6652742848,0,708002414,service,False,103.401,"LINESTRING (69.2995828 41.3807885, 69.30080169999999 41.3806204)",,,,20,,,,
6652742847,6652742845,0,708002412,living_street,False,31.694000000000003,"LINESTRING (69.2995828 41.3807885, 69.2997003 41.3809796, 69.299673 41.3810513)",,,,20,,,,
6652742848,6652742847,0,708002414,service,False,103.401,"LINESTRING (69.30080169999999 41.3806204, 69.2995828 41.3807885)",,,,20,,,,
6652742849,6652742837,0,708002415,living_street,False,114.893,"LINESTRING (69.3007635 41.3802547, 69.2994264 41.3805018)",,,,20,,,,
6652742851,6652742852,0,708002416,service,False,115.051,"LINESTRING (69.3000558 41.37896, 69.3001854 41.3799901)",,,,20,,,,
6652742852,6652742851,0,708002416,service,False,115.051,"LINESTRING (69.3001854 41.3799901, 69.3000558 41.37896)",,,,20,,,,
6652753117,6652753118,0,708002523,service,False,77.795,"LINESTRING (69.2970787 41.3798211, 69.2979891 41.37967)",,,,20,,,,
6652753118,6652742841,0,708002406,living_street,False,42.786,"LINESTRING (69.2979891 41.37967, 69.2980814 41.3800485)",,,,20,,,,
6652753118,6652742827,0,708002406,living_street,False,62.625,"LINESTRING (69.2979891 41.37967, 69.297854 41.379116)",,,,20,,,,
6652753118,6652753117,0,708002523,service,False,77.795,"LINESTRING (69.2979891 41.37967, 69.2970787 41.3798211)",,,,20,,,,
6652767198,6652767199,0,708004565,residential,False,35.499,"LINESTRING (69.3399392 41.288858, 69.3396226 41.2886451)",,,,20,2,,,
6652767199,6652767198,0,708004565,residential,False,35.499,"LINESTRING (69.3396226 41.2886451, 69.3399392 41.288858)",,,,20,2,,,
6652767200,6652767201,0,708004566,residential,False,35.634,"LINESTRING (69.3388003 41.2883043, 69.3392097 41.2882145)",,,,20,2,,,
6652767201,6652767202,0,708004566,residential,False,33.709,"LINESTRING (69.3392097 41.2882145, 69.3394377 41.2884646)",,,,20,2,,,
6652767201,6652767200,0,708004566,residential,False,35.634,"LINESTRING (69.3392097 41.2882145, 69.3388003 41.2883043)",,,,20,2,,,
6652767201,6652767203,0,708004567,residential,False,23.486,"LINESTRING (69.3392097 41.2882145, 69.33930239999999 41.2880151)",,,,20,2,,,
6652767202,6652767201,0,708004566,residential,False,33.709,"LINESTRING (69.3394377 41.2884646, 69.3392097 41.2882145)",,,,20,2,,,
6652767203,4389368613,0,708004567,residential,False,82.418,"LINESTRING (69.33930239999999 41.2880151, 69.34022090000001 41.2882854)",,,,20,2,,,
6652767203,6652767201,0,708004567,residential,False,23.486,"LINESTRING (69.33930239999999 41.2880151, 69.3392097 41.2882145)",,,,20,2,,,
6652767203,6652767205,0,708004569,residential,False,19.78,"LINESTRING (69.33930239999999 41.2880151, 69.33915450000001 41.2878762)",,,,20,2,,,
6652767204,6652767205,0,708004568,residential,False,42.566,"LINESTRING (69.3386855 41.2880257, 69.33915450000001 41.2878762)",,,,20,2,,,
6652767205,6652767206,0,708004568,residential,False,37.761,"LINESTRING (69.33915450000001 41.2878762, 69.339364 41.2875753)",,,,20,2,,,
6652767205,6652767204,0,708004568,residential,False,42.566,"LINESTRING (69.33915450000001 41.2878762, 69.3386855 41.2880257)",,,,20,2,,,
6652767205,6652767203,0,708004569,residential,False,19.78,"LINESTRING (69.33915450000001 41.2878762, 69.33930239999999 41.2880151)",,,,20,2,,,
6652767206,6652767205,0,708004568,residential,False,37.761,"LINESTRING (69.339364 41.2875753, 69.33915450000001 41.2878762)",,,,20,2,,,
6652779885,6652779900,0,708003966,residential,False,56.773,"LINESTRING (69.30274369999999 41.2815082, 69.3029205 41.2813554, 69.3031895 41.2811229)",,,,5,,,,
6652779889,6652779898,0,708003966,residential,False,317.151,"LINESTRING (69.3044534 41.2783608, 69.3039062 41.2787618, 69.3036858 41.2789233, 69.30373 41.2790402, 69.3043922 41.2795024, 69.3043997 41.2795745, 69.304693 41.2798383, 69.3043851 41.2800897, 69.30395900000001 41.280458)",,,,5,,,,
6652779894,6652779898,0,708003968,residential,False,87.351,"LINESTRING (69.3032188 41.2799033, 69.30395900000001 41.280458)",,,,5,,,,
6652779896,6652779898,0,708003966,residential,False,35.118,"LINESTRING (69.30368319999999 41.2806963, 69.30395900000001 41.280458)",,,,5,,,,
6652779896,6652779900,0,708003966,residential,False,62.865,"LINESTRING (69.30368319999999 41.2806963, 69.3031895 41.2811229)",,,,5,,,,
6652779896,6652779897,0,708003969,residential,False,87.2,"LINESTRING (69.30368319999999 41.2806963, 69.3029061 41.2801729)",,,,5,,,,
6652779897,6652779896,0,708003969,residential,False,87.2,"LINESTRING (69.3029061 41.2801729, 69.30368319999999 41.2806963)",,,,5,,,,
6652779898,6652779896,0,708003966,residential,False,35.118,"LINESTRING (69.30395900000001 41.280458, 69.30368319999999 41.2806963)",,,,5,,,,
6652779898,6652779894,0,708003968,residential,False,87.351,"LINESTRING (69.30395900000001 41.280458, 69.3032188 41.2799033)",,,,5,,,,
6652779898,6652779889,0,708003966,residential,False,317.151,"LINESTRING (69.30395900000001 41.280458, 69.3043851 41.2800897, 69.304693 41.2798383, 69.3043997 41.2795745, 69.3043922 41.2795024, 69.30373 41.2790402, 69.3036858 41.2789233, 69.3039062 41.2787618, 69.3044534 41.2783608)",,,,5,,,,
6652779898,6652779899,0,708003970,residential,False,66.26299999999999,"LINESTRING (69.30395900000001 41.280458, 69.30420909999999 41.2806225, 69.3042526 41.2806528, 69.3043548 41.2807242, 69.3045467 41.280858)",,,,20,,,,
6652779899,6652779898,0,708003970,residential,False,66.263,"LINESTRING (69.3045467 41.280858, 69.3043548 41.2807242, 69.3042526 41.2806528, 69.30420909999999 41.2806225, 69.30395900000001 41.280458)",,,,20,,,,
6652779900,6652779896,0,708003966,residential,False,62.865,"LINESTRING (69.3031895 41.2811229, 69.30368319999999 41.2806963)",,,,5,,,,
6652779900,6652779901,0,708003971,residential,False,38.675,"LINESTRING (69.3031895 41.2811229, 69.3028489 41.2808874)",,,,5,,,,
6652779900,6652779885,0,708003966,residential,False,56.773,"LINESTRING (69.3031895 41.2811229, 69.3029205 41.2813554, 69.30274369999999 41.2815082)",,,,5,,,,
6652779901,6652779900,0,708003971,residential,False,38.675,"LINESTRING (69.3028489 41.2808874, 69.3031895 41.2811229)",,,,5,,,,
6652835779,6652835782,0,708020643,service,False,143.753,"LINESTRING (69.34582140000001 41.2966461, 69.346627 41.297252, 69.34710990000001 41.2970095)",,,,20,2,,,
6652835782,6652933094,0,"[708020643, 708020644]",service,False,50.717,"LINESTRING (69.34710990000001 41.2970095, 69.3474726 41.2968641, 69.3476498 41.2968012)",,,,20,2,,,
6652835782,6652835779,0,708020643,service,False,143.753,"LINESTRING (69.34710990000001 41.2970095, 69.346627 41.297252, 69.34582140000001 41.2966461)",,,,20,2,,,
6652835782,6652933090,0,"[708020321, 708020645]",service,False,229.368,"LINESTRING (69.34710990000001 41.2970095, 69.3481312 41.2979423, 69.34848359999999 41.2977741, 69.3487116 41.2976398, 69.34847120000001 41.2973713)",,,,20,2,,,
6652857274,6652913387,0,708018622,service,False,38.998,"LINESTRING (69.36402320000001 41.2964076, 69.3642198 41.2960895)",,,,20,2,,,
6652857275,6652913387,0,708018622,service,False,15.865,"LINESTRING (69.3642998 41.2959601, 69.3642198 41.2960895)",,,,20,2,,,
6652857275,6652913385,0,708018623,service,False,36.134,"LINESTRING (69.3642998 41.2959601, 69.3645131 41.2956774)",,,,20,2,,,
6652857275,6652857277,0,708018622,service,False,99.191,"LINESTRING (69.3642998 41.2959601, 69.3636936 41.2955812, 69.3639216 41.2953354)",,,,20,2,,,
6652857277,6652913391,0,708018622,service,False,22.652,"LINESTRING (69.3639216 41.2953354, 69.3641409 41.2954552)",,,,20,2,,,
6652857277,6652913391,1,708018626,service,False,93.65599999999999,"LINESTRING (69.3639216 41.2953354, 69.3641483 41.2950703, 69.36437220000001 41.2951772, 69.3641409 41.2954552)",,,,20,2,,,
6652857277,6652857275,0,708018622,service,False,99.191,"LINESTRING (69.3639216 41.2953354, 69.3636936 41.2955812, 69.3642998 41.2959601)",,,,20,2,,,
6652857279,6652857280,0,708018622,service,False,16.915,"LINESTRING (69.3653834 41.2961314, 69.3652761 41.2962604)",,,,20,2,,,
6652857279,6652913385,0,708018622,service,False,88.514,"LINESTRING (69.3653834 41.2961314, 69.3645131 41.2956774)",,,,20,2,,,
6652857279,6652913385,1,708018627,service,False,117.25800000000001,"LINESTRING (69.3653834 41.2961314, 69.36546389999999 41.2959339, 69.3647182 41.2955772, 69.3645131 41.2956774)",,,,20,2,,,
6652857280,6652857279,0,708018622,service,False,16.915,"LINESTRING (69.3652761 41.2962604, 69.3653834 41.2961314)",,,,20,2,,,
6652857280,6652913386,0,708018624,service,False,65.041,"LINESTRING (69.3652761 41.2962604, 69.3648776 41.2967629)",,,,20,2,,,
6652857280,6652857284,0,708018622,service,False,207.929,"LINESTRING (69.3652761 41.2962604, 69.36595199999999 41.2965727, 69.36647240000001 41.2959782, 69.36613440000001 41.2958735, 69.3657965 41.2957384)",,,,20,2,,,
