y,x,osmid,geometry
41.305271,69.3079101,6367489396,POINT (69.3079101 41.305271)
41.3054676,69.3083472,6367489397,POINT (69.3083472 41.3054676)
41.3056295,69.307526,6367489399,POINT (69.307526 41.3056295)
41.3057498,69.3077232,6367489404,POINT (69.3077232 41.3057498)
41.3057433,69.3077869,6367489406,POINT (69.3077869 41.3057433)
41.3054123,69.3074602,6367489412,POINT (69.30746019999999 41.3054123)
41.3057113,69.3081051,6367489456,POINT (69.30810510000001 41.3057113)
41.3057047,69.3081723,6367489458,POINT (69.3081723 41.3057047)
41.3056951,69.3082709,6367489460,POINT (69.3082709 41.3056951)
41.305524,69.3083559,6367489464,POINT (69.3083559 41.305524)
41.3052322,69.3080374,6367489469,POINT (69.3080374 41.3052322)
41.3054017,69.3083313,6367489481,POINT (69.30833130000001 41.3054017)
41.3052076,69.3083137,6367489485,POINT (69.3083137 41.3052076)
41.3051683,69.3082309,6367489488,POINT (69.3082309 41.3051683)
41.305165,69.3082872,6367500983,POINT (69.3082872 41.305165)
41.3056748,69.3083572,6367501386,POINT (69.3083572 41.3056748)
41.2726958,69.2593893,6749249394,POINT (69.2593893 41.2726958)
41.2731245,69.2646002,6749249404,POINT (69.2646002 41.2731245)
41.3053517,69.3076472,6801841768,POINT (69.30764720000001 41.3053517)
41.3183826,69.2472031,7394157009,POINT (69.24720309999999 41.3183826)
41.3183645,69.2469778,7394157010,POINT (69.2469778 41.3183645)
41.3182154,69.2464013,7394157011,POINT (69.2464013 41.3182154)
41.3181546,69.2462974,7394157012,POINT (69.2462974 41.3181546)
41.3180159,69.246098,7394157013,POINT (69.246098 41.3180159)
41.3177537,69.2459293,7394157014,POINT (69.2459293 41.3177537)
41.3176088,69.2458925,7394157015,POINT (69.2458925 41.3176088)
41.3174104,69.2458925,7394157016,POINT (69.2458925 41.3174104)
41.3171702,69.2459508,7394157017,POINT (69.2459508 41.3171702)
41.3168176,69.2461405,7394157018,POINT (69.2461405 41.3168176)
41.316329,69.2465918,7394157019,POINT (69.2465918 41.316329)
41.3162108,69.2467355,7394157020,POINT (69.2467355 41.3162108)
41.3161651,69.2468074,7394157021,POINT (69.24680739999999 41.3161651)
41.3160525,69.2470019,7394157022,POINT (69.2470019 41.3160525)
41.3159376,69.2472138,7394157023,POINT (69.2472138 41.3159376)
41.3176311,69.2492579,7394157024,POINT (69.2492579 41.3176311)
41.3172351,69.2459302,7394157025,POINT (69.2459302 41.3172351)
41.3183298,69.2476835,7394157026,POINT (69.24768349999999 41.3183298)
41.3167221,69.2462263,7394167891,POINT (69.2462263 41.3167221)
41.3174568,69.2494592,7394167903,POINT (69.2494592 41.3174568)
41.3174302,69.2494843,7394167912,POINT (69.24948430000001 41.3174302)
41.3174723,69.2494447,7394167913,POINT (69.2494447 41.3174723)
41.3178941,69.2488713,7394167914,POINT (69.2488713 41.3178941)
41.3181535,69.2483495,7394167915,POINT (69.2483495 41.3181535)
41.3183715,69.2474647,7394167916,POINT (69.24746469999999 41.3183715)
41.3182523,69.2480005,7394167917,POINT (69.2480005 41.3182523)
41.317168,69.2497074,7394167918,POINT (69.24970740000001 41.317168)
41.3169426,69.2498533,7394167919,POINT (69.2498533 41.3169426)
41.3167085,69.2499635,7394167920,POINT (69.24996350000001 41.3167085)
41.3164947,69.2500143,7394167921,POINT (69.2500143 41.3164947)
41.3163701,69.2500183,7394167922,POINT (69.25001829999999 41.3163701)
41.3161363,69.249981,7394167923,POINT (69.24998100000001 41.3161363)
41.3159046,69.2498603,7394167924,POINT (69.24986029999999 41.3159046)
41.3157576,69.2496967,7394167925,POINT (69.2496967 41.3157576)
41.3156407,69.2494928,7394167926,POINT (69.2494928 41.3156407)
41.3155621,69.2492085,7394167927,POINT (69.24920849999999 41.3155621)
41.3155198,69.2489188,7394167928,POINT (69.2489188 41.3155198)
41.3155219,69.248538,7394167929,POINT (69.248538 41.3155219)
41.3155742,69.2481946,7394167930,POINT (69.24819460000001 41.3155742)
41.3156709,69.2478057,7394167931,POINT (69.2478057 41.3156709)
41.3158099,69.2474651,7394167932,POINT (69.2474651 41.3158099)
41.3165698,69.2463656,7394168016,POINT (69.2463656 41.3165698)
41.3183131,69.2466788,7394168062,POINT (69.2466788 41.3183131)
41.3183706,69.2470544,7394168064,POINT (69.2470544 41.3183706)
41.318119,69.2484192,7394168086,POINT (69.2484192 41.318119)
41.3177693,69.2490548,7394168117,POINT (69.2490548 41.3177693)
41.3160772,69.249956,7394168169,POINT (69.249956 41.3160772)
41.3167467,69.2499455,7394168201,POINT (69.2499455 41.3167467)
41.3168707,69.2498871,7394168203,POINT (69.2498871 41.3168707)
41.3179257,69.2460399,7394168233,POINT (69.2460399 41.3179257)
41.3164022,69.246523,7394168245,POINT (69.246523 41.3164022)
41.3162736,69.2466591,7394168259,POINT (69.2466591 41.3162736)
41.3179838,69.2460773,7394168272,POINT (69.2460773 41.3179838)
41.3155204,69.2488057,7394168395,POINT (69.24880570000001 41.3155204)
41.3156523,69.249513,7394168738,POINT (69.24951299999999 41.3156523)
41.3005093,69.2297696,391290221,POINT (69.2297696 41.3005093)
41.3006819,69.210886,1249823248,POINT (69.210886 41.3006819)
41.2914838,69.2235188,5167177620,POINT (69.22351879999999 41.2914838)
41.2909431,69.2230675,5171862313,POINT (69.2230675 41.2909431)
41.2997489,69.2305745,5691582499,POINT (69.2305745 41.2997489)
41.3011492,69.2115377,6082334876,POINT (69.21153769999999 41.3011492)
