u,v,key,osmid,highway,oneway,length,geometry,tunnel,bridge,name
5776368538,5776368558,0,149530740,cycleway,False,7.149,"LINESTRING (69.1998978 41.3604851, 69.1998681 41.3605454)",,,
5776368538,5776368557,0,149530740,cycleway,False,6.474,"LINESTRING (69.1998978 41.3604851, 69.1999091 41.3604275)",,,
5776368539,5776368556,0,149530740,cycleway,False,7.906,"LINESTRING (69.1998337 41.3602393, 69.19987709999999 41.3603025)",,,
5776368539,5776368555,0,149530740,cycleway,False,6.892,"LINESTRING (69.1998337 41.3602393, 69.1997772 41.3601941)",,,
5776368540,5776368554,0,149530740,cycleway,False,6.985,"LINESTRING (69.1995606 41.360114, 69.19964210000001 41.3601283)",,,
5776368540,5776368553,0,149530740,cycleway,False,6.618,"LINESTRING (69.1995606 41.360114, 69.1994823 41.3601046)",,,
5776368541,5776368546,0,149530740,cycleway,False,6.408,"LINESTRING (69.19864389999999 41.3608261, 69.1985707 41.3608087)",,,
5776368541,5776368545,0,149530740,cycleway,False,6.163,"LINESTRING (69.19864389999999 41.3608261, 69.1987159 41.3608384)",,,
5776368542,5776368548,0,149530740,cycleway,False,7.421,"LINESTRING (69.1983833 41.3606995, 69.1983441 41.3606396)",,,
5776368542,5776368547,0,149530740,cycleway,False,6.838,"LINESTRING (69.1983833 41.3606995, 69.1984363 41.3607464)",,,
5776368543,5776368550,0,149530740,cycleway,False,6.067,"LINESTRING (69.1983237 41.3604633, 69.1983415 41.3604104)",,,
5776368543,5776368549,0,149530740,cycleway,False,6.288,"LINESTRING (69.1983237 41.3604633, 69.1983142 41.3605194)",,,
5776368544,5776368552,0,149530740,cycleway,False,6.829,"LINESTRING (69.1984879 41.3602704, 69.198559 41.36024)",,,
5776368544,5776368551,0,149530740,cycleway,False,7.057,"LINESTRING (69.1984879 41.3602704, 69.19842509999999 41.3603129)",,,
5776368545,5776368541,0,149530740,cycleway,False,6.163,"LINESTRING (69.1987159 41.3608384, 69.19864389999999 41.3608261)",,,
5776368545,1624992428,0,149530740,cycleway,False,6.713,"LINESTRING (69.1987159 41.3608384, 69.1987963 41.3608403)",,,
5776368546,5776368533,0,149530740,cycleway,False,6.332,"LINESTRING (69.1985707 41.3608087, 69.198503 41.360783)",,,
5776368546,5776368541,0,149530740,cycleway,False,6.408,"LINESTRING (69.1985707 41.3608087, 69.19864389999999 41.3608261)",,,
5776368547,5776368542,0,149530740,cycleway,False,6.838,"LINESTRING (69.1984363 41.3607464, 69.1983833 41.3606995)",,,
5776368547,5776368533,0,149530740,cycleway,False,6.896,"LINESTRING (69.1984363 41.3607464, 69.198503 41.360783)",,,
