length,coverage500m,directness,poirailway_coverage500m,components
23.93720051202117,16.384437921936094,0,83,5
49.93348951297695,30.646405272150965,0,135,8
79.96485778705718,39.19245110613801,0,175,6
106.55204305672005,46.23100232769021,0,199,3
131.00727052943893,48.64034055137469,0,206,3
154.71493050699584,54.40477494401653,0,221,4
179.63993426744568,59.15801001453325,0.8042956804399061,238,1
200.6826845530722,63.7517462389715,0,254,2
229.73672610439786,66.97444238198544,0.8167183483337418,262,1
256.22730127343397,72.49023357956096,0,273,2
284.8118055888115,76.28661592899286,0.8210733212458607,281,1
307.04107069626133,77.96991254789387,0.8270106811910153,284,1
332.6163551446756,81.02073737874524,0.8286634509776759,287,1
364.61517712509846,83.19732382270755,0.8321291465919702,287,1
395.16656534674746,86.8696545727819,0.8309734352341216,288,1
422.4757315119976,87.51809598127167,0.8300656118679774,288,1
448.47264903506954,88.4959572958297,0.8332505070489296,288,1
477.0535136549172,89.53361246986258,0.838617821612448,288,1
499.15022793003055,90.27506505424789,0.8316272673567744,288,1
514.2920358425487,90.32678542088873,0.8395130849134566,288,1
