u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,width,tunnel,bridge,est_width,access
3566837081,245777491,0,"[237278432, 549148827, 549148828, 23163014]","['3', '2']","['Arlbergstraße', 'Augsburger Straße']",secondary,50,False,401.849,"LINESTRING (9.2501198 48.7808445, 9.249982299999999 48.7810531, 9.249886099999999 48.781217, 9.2498015 48.7813912, 9.249717800000001 48.7815861, 9.249704100000001 48.7817244, 9.249716100000001 48.7819074, 9.2497227 48.7819654, 9.2497191 48.7820689, 9.2496986 48.7821609, 9.249676900000001 48.7822468, 9.249605499999999 48.7824829, 9.249374100000001 48.7832547, 9.2493313 48.7834071, 9.2491994 48.7838666, 9.2491147 48.7841158, 9.2490092 48.7843625)",L 1198,,,,,
5728685832,267273584,0,"[603465158, 389820847]",,Bottroper Straße,residential,50,False,74.071,"LINESTRING (9.213353100000001 48.8191012, 9.213540200000001 48.8189674, 9.2136683 48.818891, 9.2139401 48.8187744, 9.2141299 48.8186796)",,6,,,,
54829170,3618341254,0,7418930,3,Leobener Straße,residential,50,False,86.113,"LINESTRING (9.160436499999999 48.8143247, 9.160489399999999 48.8142222, 9.1605188 48.8141691, 9.1605592 48.8141056, 9.1608903 48.8136107)",,,,,,
3618341254,54829170,0,7418930,3,Leobener Straße,residential,50,False,86.113,"LINESTRING (9.1608903 48.8136107, 9.1605592 48.8141056, 9.1605188 48.8141691, 9.160489399999999 48.8142222, 9.160436499999999 48.8143247)",,,,,,
643066,5517266282,0,587885854,,,cycleway,,True,11.792,"LINESTRING (9.135835699999999 48.7717825, 9.135720600000001 48.7717084)",,,,,,
12620668,71711299,0,27257804,2,Friedrichsplatz,cycleway,,False,18.456000000000003,"LINESTRING (9.177412 48.7830686, 9.1775345 48.7830289, 9.177632900000001 48.7829892)",,,,,,
12620828,1595479289,0,226623653,,,cycleway,,True,10.896,"LINESTRING (9.173226100000001 48.8221861, 9.1731599 48.8221495, 9.1731275 48.8221144)",,,,,,
13887933,35627616,0,"[444874452, 373943278]",,,"['cycleway', 'path']",,True,39.706,"LINESTRING (9.2052514 48.8081581, 9.2051394 48.8082436, 9.204966900000001 48.8082714, 9.2047755 48.8082885)",,,,,,
18240910,3210020775,0,361287364,,,path,,False,20.224,"LINESTRING (9.1714766 48.7753341, 9.171500399999999 48.7753922, 9.171557200000001 48.7754317, 9.1715961 48.7753695)",,,,,,
18240910,1621899272,0,361287364,,,path,,False,32.857,"LINESTRING (9.1714766 48.7753341, 9.171421199999999 48.7752165, 9.1713804 48.7751645, 9.1713316 48.7751322, 9.171246099999999 48.7750937)",,,,,,
20276225,3651419885,0,"[546461287, 360209445, 45046703]",,Ferdinand-Leitner-Steg,cycleway,,False,69.64200000000001,"LINESTRING (9.184783100000001 48.782097, 9.184993 48.7822529, 9.1851579 48.7823477, 9.1852973 48.7824097, 9.185414099999999 48.7824548, 9.185470499999999 48.7824751, 9.1855131 48.782489)",,"['5', '2.4', '3']",,yes,,
20956175,455230014,0,3996728,,,path,,False,14.189,"LINESTRING (9.1894212 48.7861831, 9.189607000000001 48.7861471)",,6,,,,
20956175,3729272725,0,368761433,,,path,,False,10.114,"LINESTRING (9.1894212 48.7861831, 9.189444099999999 48.7860934)",,,,,,
20956175,444833637,0,176133835,,,cycleway,,False,256.48800000000006,"LINESTRING (9.1894212 48.7861831, 9.189408 48.7862182, 9.1893361 48.7863606, 9.189251799999999 48.7864755, 9.1890892 48.7866337, 9.1890318 48.786738, 9.189011000000001 48.7868253, 9.189025600000001 48.7870054, 9.1890731 48.787151, 9.189183699999999 48.7873696, 9.1892602 48.787483, 9.1893467 48.7875919, 9.1894341 48.7876667, 9.189542599999999 48.7877306, 9.1896357 48.7877693, 9.1897389 48.7878028, 9.1898631 48.7878511, 9.189958900000001 48.7878956, 9.1900709 48.7879607, 9.1901654 48.788022, 9.1902551 48.7881015)",,3.5,,,,
20956175,20296617,0,"[3996728, 121550544, 121550545, 5144663]",,,path,,False,179.322,"LINESTRING (9.1894212 48.7861831, 9.1889997 48.7860766, 9.1889699 48.7860884, 9.1886969 48.7861916, 9.1886168 48.7862991, 9.1885555 48.7863245, 9.188531599999999 48.7863344, 9.1883406 48.7864213, 9.1883085 48.7864359, 9.1879945 48.7866013, 9.187454300000001 48.7868854)",,"['7', '5', '6']",,,,
20958585,3657815503,0,361287362,,,cycleway,,True,17.211,"LINESTRING (9.170003700000001 48.7760825, 9.170066200000001 48.7759333)",,,,,,
20966637,444833637,0,358213717,,,cycleway,,False,43.8,"LINESTRING (9.190454600000001 48.7884598, 9.1904697 48.788411, 9.1904591 48.7883714, 9.190424200000001 48.7882901, 9.190375700000001 48.7882246, 9.1902551 48.7881015)",,3.5,,,,
20966637,255105690,0,"[23558090, 37902141]",,Grüne Brücke,path,,False,82.55799999999999,"LINESTRING (9.190454600000001 48.7884598, 9.1904339 48.7885059, 9.190350199999999 48.7885842, 9.190284399999999 48.7886526, 9.1902478 48.7886888, 9.190244 48.788715, 9.190519399999999 48.7891244)",,4,,yes,,
20966637,20296593,0,221622849,,,path,,False,28.852,"LINESTRING (9.190454600000001 48.7884598, 9.190379399999999 48.7884154, 9.190168999999999 48.7882812)",,3.5,,,,
