u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,width,tunnel,bridge,est_width,access
2885271330,355755987,0,38108668,,,cycleway,,False,47.25600000000001,"LINESTRING (9.190096199999999 48.7862129, 9.189993899999999 48.7861502, 9.189871 48.786051, 9.189776200000001 48.7859865, 9.189738699999999 48.7859748, 9.1896719 48.785972, 9.189606400000001 48.7859785)",,,,,,
2893680885,3684300184,0,354013574,,,cycleway,,False,31.353,"LINESTRING (9.2121979 48.8065937, 9.212198900000001 48.8066418, 9.2124165 48.8068266)",,2.25,,,,
2946501115,1832046049,0,837030342,,,cycleway,,False,32.292,"LINESTRING (9.2178013 48.7868303, 9.2178463 48.7868552, 9.217902 48.7868861, 9.217941100000001 48.7869077, 9.2180058 48.7869436, 9.2181006 48.7870394)",,,,,,
3033705175,4786626899,0,485900647,,,cycleway,,True,16.427,"LINESTRING (9.225194699999999 48.8181411, 9.225158800000001 48.8181729, 9.225148799999999 48.8181771, 9.225113199999999 48.8181865, 9.224999499999999 48.8181813)",,,,,,
3033705175,1668381621,0,154278258,,,path,,False,10.596,"LINESTRING (9.225194699999999 48.8181411, 9.2252641 48.8181496, 9.225337 48.8181585)",,,,,,
3033705175,1579856175,0,154278258,,,path,,False,38.757000000000005,"LINESTRING (9.225194699999999 48.8181411, 9.2251285 48.8180963, 9.2250288 48.8180288, 9.2249535 48.817978, 9.2249655 48.817931, 9.2249649 48.8179061, 9.224963300000001 48.8178786, 9.224962100000001 48.8178578)",,,,,,
3065910332,3065910330,0,302331608,,,cycleway,,True,8.657,"LINESTRING (9.101753199999999 48.8041366, 9.1017037 48.8040659)",,,,,,
3065910332,266197196,0,395673609,,,path,,False,9.701,"LINESTRING (9.101753199999999 48.8041366, 9.1018702 48.8040957)",,,,,,
3065910332,257078483,0,395673609,,,path,,False,46.621,"LINESTRING (9.101753199999999 48.8041366, 9.1017478 48.8042186, 9.1017612 48.8043112, 9.1018148 48.8043258, 9.1018156 48.8043498, 9.101763800000001 48.8043373, 9.1017653 48.8043648, 9.101767600000001 48.8044072, 9.1017692 48.8044353, 9.101732500000001 48.8044231, 9.101720500000001 48.804442)",,,,,,
3409741474,745843027,0,555795654,,,cycleway,,True,10.614,"LINESTRING (9.189622699999999 48.7917767, 9.1897638 48.7917984)",,,,,,
3426830287,797883085,0,350963305,,,cycleway,,False,2.903,"LINESTRING (9.2494111 48.780391, 9.2493745 48.780381)",,,,,,
3426830287,3426830291,0,350963305,,,cycleway,,False,83.609,"LINESTRING (9.2494111 48.780391, 9.249524299999999 48.7804376, 9.250141299999999 48.7806465, 9.2501783 48.780659, 9.250233700000001 48.7807059, 9.250254399999999 48.7807387, 9.250253600000001 48.7808232)",,,,,,
3426830288,3426830287,0,335586917,,,cycleway,,True,8.646,"LINESTRING (9.2493262 48.780445, 9.2493763 48.7804135, 9.2494111 48.780391)",,,,,,
3426830291,3426830287,0,350963305,,,cycleway,,False,83.609,"LINESTRING (9.250253600000001 48.7808232, 9.250254399999999 48.7807387, 9.250233700000001 48.7807059, 9.2501783 48.780659, 9.250141299999999 48.7806465, 9.249524299999999 48.7804376, 9.2494111 48.780391)",,,,,,
3456645907,3421525086,0,338556889,,,cycleway,,True,11.869,"LINESTRING (9.173333 48.7992687, 9.1733958 48.7993671)",,,,,,
3456645907,3456645905,0,132263527,,,path,,False,19.603,"LINESTRING (9.173333 48.7992687, 9.1730695 48.7992378)",,,,,,
3597384858,3597384860,0,353948517,,,cycleway,,False,7.928999999999999,"LINESTRING (9.227182900000001 48.8162275, 9.227222100000001 48.8162542, 9.227239900000001 48.8162863)",,,,,5,
3597384860,3597384858,0,353948517,,,cycleway,,False,7.928999999999999,"LINESTRING (9.227239900000001 48.8162863, 9.227222100000001 48.8162542, 9.227182900000001 48.8162275)",,,,,5,
3597384863,3597384861,0,353948516,,,cycleway,,True,9.378,"LINESTRING (9.226968100000001 48.81628, 9.226941200000001 48.8162202, 9.2269343 48.8161987)",,,,,5,
3597384871,3597384872,0,353948514,,,cycleway,,True,8.11,"LINESTRING (9.2257002 48.8173442, 9.225748299999999 48.8173386, 9.2258098 48.8173338)",,,,,5,
3597384886,1395938573,0,353948512,,,cycleway,,False,4.671,"LINESTRING (9.2254997 48.8184041, 9.225453399999999 48.818433)",,,,,3,
3597384886,3676448642,0,"[255585635, 367534375, 367534387, 154278870, 298475545]",,,"['cycleway', 'path']",,False,326.12600000000003,"LINESTRING (9.2254997 48.8184041, 9.225727300000001 48.8185662, 9.225933100000001 48.8187068, 9.226056399999999 48.8187936, 9.2261316 48.8188764, 9.2263971 48.8190542, 9.226672000000001 48.8192463, 9.2267397 48.8193077, 9.2268068 48.8193628, 9.226873899999999 48.8194478, 9.2270381 48.8197027, 9.227111799999999 48.8199551, 9.2271275 48.820135, 9.2271064 48.8203075, 9.2270261 48.8206007, 9.2269278 48.8208088, 9.2268919 48.8208844, 9.226860500000001 48.8209447)",,2.5,,,,
3597384886,1668381621,0,298475545,,,cycleway,,False,31.419,"LINESTRING (9.2254997 48.8184041, 9.225435600000001 48.8183627, 9.225392899999999 48.8183219, 9.22536 48.8182914, 9.2253338 48.8182412, 9.225327800000001 48.8181925, 9.225337 48.8181585)",,2.5,,,,
3598111640,13887988,0,354013571,,,cycleway,,True,13.29,"LINESTRING (9.214832599999999 48.8089075, 9.21491 48.8090156)",,,,,,
3598111640,3684300184,0,354013574,,,cycleway,,False,291.498,"LINESTRING (9.214832599999999 48.8089075, 9.2137514 48.8080482, 9.2126629 48.8070283, 9.2124165 48.8068266)",,2.25,,,,
3598111640,1613166827,0,579213235,,,cycleway,,False,11.022,"LINESTRING (9.214832599999999 48.8089075, 9.214896100000001 48.8089312, 9.2149249 48.8089497, 9.214950099999999 48.8089678)",,2.25,,,,
3603201026,249578202,0,353636227,,,cycleway,,True,35.821,"LINESTRING (9.172362400000001 48.7698835, 9.1722512 48.7698491, 9.172158400000001 48.7697361, 9.1721258 48.7696965, 9.172152499999999 48.7696312)",,1.5,,,,
3603201026,249578202,1,"[346762344, 358296767]",,Tübinger Straße,"['path', 'residential']",30,False,34.382000000000005,"LINESTRING (9.172362400000001 48.7698835, 9.17235 48.7698594, 9.172348299999999 48.7698384, 9.172351600000001 48.7698244, 9.1723298 48.7697741, 9.172310299999999 48.7697499, 9.1722693 48.7696991, 9.1722266 48.7696457, 9.172152499999999 48.7696312)",,"['4', '10']",,,,
3603201026,3594569096,0,"[273520536, 353636225, 372720346]",3,Tübinger Straße,residential,30,False,141.277,"LINESTRING (9.172362400000001 48.7698835, 9.172400100000001 48.7699311, 9.1725618 48.7701335, 9.172640700000001 48.7702322, 9.1727583 48.7703795, 9.1727828 48.7704131, 9.1728614 48.7705085, 9.172879999999999 48.7705311, 9.172981999999999 48.7706322, 9.1730926 48.7707456, 9.1731058 48.7707591, 9.1731278 48.7707817, 9.1731985 48.7708542, 9.1732383 48.770895, 9.173293599999999 48.7709517, 9.1733242 48.7709831)",,"['10', '6']",,,,
3648092179,3651419885,0,353781124,,,cycleway,,False,21.977,"LINESTRING (9.185315599999999 48.7826255, 9.185454999999999 48.7825697, 9.1854943 48.7825295, 9.1855131 48.782489)",,5,,,,
3651419885,3648092179,0,353781124,,,cycleway,,False,21.977,"LINESTRING (9.1855131 48.782489, 9.1854943 48.7825295, 9.185454999999999 48.7825697, 9.185315599999999 48.7826255)",,5,,,,
3651419885,536788394,0,"[546461283, 546461285, 374643430, 168590293, 168590295]",,,"['cycleway', 'path']",,False,271.02299999999997,"LINESTRING (9.1855131 48.782489, 9.185581000000001 48.7825032, 9.1857106 48.7825129, 9.1858392 48.7825169, 9.185991899999999 48.7825205, 9.186118 48.7825302, 9.1861903 48.7825453, 9.1862467 48.7825885, 9.1863674 48.7827237, 9.1865082 48.782851, 9.1867754 48.7829858, 9.1870244 48.7831737, 9.187089200000001 48.7832038, 9.1873133 48.7835099, 9.187424099999999 48.783661, 9.1875129 48.7837134, 9.1877745 48.7840407, 9.187789199999999 48.7840892, 9.1877554 48.7841712)",,5.5,,,,
3651419885,20276225,0,"[45046703, 360209445, 546461287]",,Ferdinand-Leitner-Steg,cycleway,,False,69.642,"LINESTRING (9.1855131 48.782489, 9.185470499999999 48.7824751, 9.185414099999999 48.7824548, 9.1852973 48.7824097, 9.1851579 48.7823477, 9.184993 48.7822529, 9.184783100000001 48.782097)",,"['5', '3', '2.4']",,yes,,
3658545380,73801828,0,361370529,,,cycleway,,True,26.771,"LINESTRING (9.1832779 48.7758687, 9.1832642 48.7758729, 9.1832204 48.7758864, 9.1830798 48.7759297, 9.182961000000001 48.7759864)",,1.5,,,,
3663364076,5814563442,0,614762031,,,cycleway,,True,14.013,"LINESTRING (9.183141300000001 48.7754046, 9.1833311 48.7753892)",,,,,,
3663364076,20956737,0,"[361932775, 547932331, 360785741, 23781997, 64834740, 179751126, 358256663]",,"['Marktstraße', 'Eberhardstraße']","['cycleway', 'path', 'residential']",30,False,491.996,"LINESTRING (9.183141300000001 48.7754046, 9.183009699999999 48.7754674, 9.1829936 48.7754785, 9.1829877 48.7754829, 9.182949499999999 48.7755267, 9.1828105 48.7756467, 9.182694100000001 48.7757431, 9.1826255 48.7757683, 9.1825817 48.7757808, 9.182560499999999 48.7757874, 9.1824659 48.7756702, 9.1822924 48.775549, 9.1821929 48.7755282, 9.181997300000001 48.7754258, 9.1817283 48.7752265, 9.181578999999999 48.7751098, 9.181528500000001 48.7750902, 9.1814562 48.7750537, 9.1813482 48.7749496, 9.181192899999999 48.7748091, 9.18085 48.7745567, 9.180598 48.7743732, 9.1804636 48.7742674, 9.180440600000001 48.7742797, 9.180270399999999 48.7743719, 9.1798889 48.7745834, 9.179797300000001 48.7745243, 9.179614000000001 48.7743846, 9.179374899999999 48.7742086, 9.178622799999999 48.773691, 9.178533699999999 48.7736328)",,7,,,,
3663364076,2515509715,0,"[361932781, 244210614]",,,path,,False,10.528,"LINESTRING (9.183141300000001 48.7754046, 9.183174299999999 48.7753673, 9.1831727 48.7753591, 9.1831447 48.77532)",,,building_passage,,,
3663364076,1348510581,0,361932782,,,path,,False,25.544,"LINESTRING (9.183141300000001 48.7754046, 9.183152099999999 48.7754149, 9.183156200000001 48.775419, 9.1831941 48.7754597, 9.183230399999999 48.7755015, 9.1832259 48.7755584, 9.1832253 48.7756178)",,,,,,
3676448641,3676448642,0,363482767,,,cycleway,,False,3.703,"LINESTRING (9.2268132 48.8209329, 9.226860500000001 48.8209447)",,,,,,
3676448642,3676448641,0,363482767,,,cycleway,,False,3.703,"LINESTRING (9.226860500000001 48.8209447, 9.2268132 48.8209329)",,,,,,
3676448642,1668401786,0,154278870,,,cycleway,,False,130.058,"LINESTRING (9.226860500000001 48.8209447, 9.2268206 48.8210212, 9.226709700000001 48.8211997, 9.2264272 48.8215578, 9.2262346 48.8217615, 9.2260051 48.8219637)",,2.5,,,,
3676448642,3597384886,0,"[255585635, 367534375, 367534387, 154278870, 298475545]",,,"['cycleway', 'path']",,False,326.1260000000001,"LINESTRING (9.226860500000001 48.8209447, 9.2268919 48.8208844, 9.2269278 48.8208088, 9.2270261 48.8206007, 9.2271064 48.8203075, 9.2271275 48.820135, 9.227111799999999 48.8199551, 9.2270381 48.8197027, 9.226873899999999 48.8194478, 9.2268068 48.8193628, 9.2267397 48.8193077, 9.226672000000001 48.8192463, 9.2263971 48.8190542, 9.2261316 48.8188764, 9.226056399999999 48.8187936, 9.225933100000001 48.8187068, 9.225727300000001 48.8185662, 9.2254997 48.8184041)",,2.5,,,,
3679335374,1832046049,0,"[175641216, 363814210, 370104930, 363805765, 175641222, 175641224, 175641227, 379591054, 370104919, 175641213, 370104927]",,,path,,False,1495.5349999999996,"LINESTRING (9.220708399999999 48.7963955, 9.2208992 48.7962859, 9.2210242 48.7961874, 9.2212493 48.7960602, 9.2215547 48.7958936, 9.221661299999999 48.7958365, 9.2221888 48.795535, 9.223118400000001 48.7950342, 9.2257739 48.7935937, 9.225842699999999 48.7935493, 9.226002100000001 48.7933982, 9.2260878 48.7933323, 9.226342000000001 48.7931905, 9.2265701 48.7930616, 9.2265987 48.793045, 9.226576100000001 48.7929984, 9.226549500000001 48.7929433, 9.226480499999999 48.7928714, 9.226389599999999 48.7927882, 9.2262141 48.7926572, 9.226038000000001 48.7925233, 9.2255839 48.7921446, 9.2253379 48.791949, 9.2251999 48.7918472, 9.225135399999999 48.7918044, 9.2250529 48.7917409, 9.2249429 48.7916586, 9.2243961 48.7912203, 9.224073799999999 48.7909731, 9.223656200000001 48.790652, 9.223471399999999 48.7905091, 9.2233638 48.7904282, 9.223039200000001 48.7901764, 9.2221555 48.7894872, 9.2220932 48.7894596, 9.222034300000001 48.7894564, 9.2220257 48.7894503, 9.221992999999999 48.7894273, 9.2219572 48.789402, 9.221934900000001 48.7893627, 9.2217395 48.7892082, 9.221670400000001 48.7891732, 9.2216454 48.7891543, 9.221586500000001 48.7891098, 9.221595300000001 48.7890795, 9.2215931 48.7890545, 9.221538799999999 48.7890087, 9.2212619 48.7887926, 9.221163300000001 48.7887189, 9.2209644 48.7885701, 9.220831 48.7884677, 9.2206571 48.788334, 9.2204845 48.7882017, 9.220226800000001 48.7880148, 9.2200247 48.7878794, 9.2198329 48.7877553, 9.219628800000001 48.7876558, 9.2194029 48.7875657, 9.2192753 48.7875157, 9.219125999999999 48.7874634, 9.2189186 48.7873696, 9.2187546 48.7872888, 9.218588499999999 48.7872437, 9.2183051 48.7871192, 9.218173699999999 48.787062, 9.2181006 48.7870394)",,"['2', '3', '3.5']",,yes,,
3679335374,3550358527,0,"[619158053, 363805765, 619158054, 349084808, 349084797]",,,path,,False,364.03700000000003,"LINESTRING (9.220708399999999 48.7963955, 9.220536600000001 48.7964838, 9.2204634 48.7965229, 9.219516 48.7970629, 9.2194711 48.7970867, 9.2184332 48.7976775, 9.2175124 48.7982117, 9.2170399 48.7984816, 9.2171182 48.7985443)",,"['2.4', '3.5']",,,,
3684300184,3598111640,0,354013574,,,cycleway,,False,291.498,"LINESTRING (9.2124165 48.8068266, 9.2126629 48.8070283, 9.2137514 48.8080482, 9.214832599999999 48.8089075)",,2.25,,,,
3684300184,2893680885,0,354013574,,,cycleway,,False,31.353,"LINESTRING (9.2124165 48.8068266, 9.212198900000001 48.8066418, 9.2121979 48.8065937)",,2.25,,,,
3684300185,3684300184,0,364392839,,,cycleway,,True,3.041,"LINESTRING (9.212382399999999 48.8068422, 9.2124165 48.8068266)",,,,,,
3715557523,3715557728,0,367653740,,,cycleway,,False,9.611,"LINESTRING (9.218313 48.8076881, 9.2183648 48.8077273, 9.218397899999999 48.807754)",,,,,5,
3715557728,3715557523,0,367653740,,,cycleway,,False,9.611,"LINESTRING (9.218397899999999 48.807754, 9.2183648 48.8077273, 9.218313 48.8076881)",,,,,5,
3743397028,251061741,0,622961413,,,path,,False,11.471,"LINESTRING (9.1114658 48.813628, 9.1115265 48.8137231)",,,,,,
3743397028,152608946,0,23210198,,,path,,True,363.05899999999997,"LINESTRING (9.1114658 48.813628, 9.1114496 48.8136143, 9.111110699999999 48.8132704, 9.110849399999999 48.8130166, 9.1107218 48.8128944, 9.110611199999999 48.8127867, 9.1105517 48.8127266, 9.110422 48.8125928, 9.110046000000001 48.8122387, 9.109772700000001 48.8119709, 9.109275 48.8114681, 9.108840799999999 48.8110508, 9.1087551 48.8109624, 9.1087112 48.8109137)",,,,,,
3743397028,3743396724,0,370643568,,,path,,False,15.935999999999998,"LINESTRING (9.1114658 48.813628, 9.111572600000001 48.8135862, 9.1116376 48.8135549, 9.111648000000001 48.8135499)",,,,,,
3760440202,5369726577,0,556675392,,,cycleway,,True,6.957,"LINESTRING (9.1201452 48.7219456, 9.120195300000001 48.7219059, 9.120206700000001 48.721898)",,,,,,
3760440250,2898200595,0,556683680,,,cycleway,,True,5.224,"LINESTRING (9.1222744 48.7239925, 9.1223115 48.7239524)",,,,,,
3815809038,3815809048,0,378164874,,,cycleway,,False,16.124,"LINESTRING (9.2050698 48.7273589, 9.205075000000001 48.727448, 9.205075799999999 48.7274614, 9.2050783 48.7275038)",,,,,,
3815809048,3815809038,0,378164874,,,cycleway,,False,16.124,"LINESTRING (9.2050783 48.7275038, 9.205075799999999 48.7274614, 9.205075000000001 48.727448, 9.2050698 48.7273589)",,,,,,
3829848393,130114127,0,379655899,,,path,,False,5.293,"LINESTRING (9.2082389 48.7475368, 9.2081803 48.7475646)",,,,,,
3829848393,3829848398,0,379655900,,,path,,False,12.795,"LINESTRING (9.2082389 48.7475368, 9.208383100000001 48.7476016)",,,,,,
3829848393,3829958075,0,"[379659624, 379659627, 379659636, 379655901]",,,"['cycleway', 'path']",,False,414.47100000000006,"LINESTRING (9.2082389 48.7475368, 9.2084762 48.7474048, 9.208713400000001 48.7472616, 9.208962400000001 48.7470867, 9.209300799999999 48.7468723, 9.2096377 48.7466376, 9.209839000000001 48.7465041, 9.209869599999999 48.7464642, 9.210003 48.7463598, 9.210054599999999 48.7463283, 9.210149899999999 48.7462704, 9.2101972 48.7462602, 9.210279099999999 48.7462074, 9.210516800000001 48.7460505, 9.2110009 48.7457277, 9.2112111 48.7455926, 9.211452 48.7454391, 9.2118915 48.7451526, 9.2121782 48.7449675, 9.212232 48.7449116)",,,,,,
3829958070,3829958059,0,"[379668049, 379668045]",,,"['cycleway', 'path']",,False,136.50000000000003,"LINESTRING (9.212441500000001 48.7447622, 9.212491699999999 48.7447591, 9.212594299999999 48.7446955, 9.213040599999999 48.7444074, 9.213589499999999 48.744079, 9.2136231 48.7440354, 9.2136713 48.7440736, 9.2137128 48.7441073, 9.213716399999999 48.7441098, 9.2137332 48.7441218, 9.213771599999999 48.7441516)",,,,,,
3829958070,3829958074,0,45584857,,,path,,False,17.518,"LINESTRING (9.212441500000001 48.7447622, 9.212484099999999 48.7447944, 9.212533499999999 48.7448317, 9.2125571 48.7448495, 9.2125986 48.7448809)",,,,,,
3829958070,3829958075,0,379668047,,,path,,False,22.796,"LINESTRING (9.212441500000001 48.7447622, 9.212374199999999 48.7447987, 9.2123311 48.7448226, 9.212300300000001 48.7448492, 9.212232 48.7449116)",,,,,,
3829958075,3829848393,0,"[379659624, 379659627, 379659636, 379655901]",,,"['cycleway', 'path']",,False,414.47099999999995,"LINESTRING (9.212232 48.7449116, 9.2121782 48.7449675, 9.2118915 48.7451526, 9.211452 48.7454391, 9.2112111 48.7455926, 9.2110009 48.7457277, 9.210516800000001 48.7460505, 9.210279099999999 48.7462074, 9.2101972 48.7462602, 9.210149899999999 48.7462704, 9.210054599999999 48.7463283, 9.210003 48.7463598, 9.209869599999999 48.7464642, 9.209839000000001 48.7465041, 9.2096377 48.7466376, 9.209300799999999 48.7468723, 9.208962400000001 48.7470867, 9.208713400000001 48.7472616, 9.2084762 48.7474048, 9.2082389 48.7475368)",,,,,,
3829958075,3829958081,0,379668042,,,path,,False,16.131,"LINESTRING (9.212232 48.7449116, 9.212300600000001 48.7449595, 9.212383000000001 48.7450171)",,,,,,
3829958075,3829958070,0,379668047,,,path,,False,22.796,"LINESTRING (9.212232 48.7449116, 9.212300300000001 48.7448492, 9.2123311 48.7448226, 9.212374199999999 48.7447987, 9.212441500000001 48.7447622)",,,,,,
3829958081,1798293306,0,"[379655906, 666135248, 379659634, 379659639, 379655903]",,,"['cycleway', 'path']",,False,417.08700000000005,"LINESTRING (9.212383000000001 48.7450171, 9.2123191 48.7450288, 9.2122124 48.7450938, 9.211912699999999 48.7452915, 9.211554599999999 48.7455256, 9.2112599 48.7457179, 9.2109179 48.7459461, 9.210591300000001 48.7461613, 9.210318300000001 48.7463437, 9.210301599999999 48.7463783, 9.2101921 48.7464521, 9.210126300000001 48.7464948, 9.2100212 48.7465635, 9.209978700000001 48.7465726, 9.2097456 48.7467331, 9.2095954 48.7468342, 9.2094869 48.7469061, 9.209024700000001 48.7472125, 9.208725400000001 48.747414, 9.208574199999999 48.7475267, 9.2085626 48.7475611, 9.208493199999999 48.7476068, 9.2084034 48.7476708)",,,,,,
3829958081,3829958075,0,379668042,,,path,,False,16.131,"LINESTRING (9.212383000000001 48.7450171, 9.212300600000001 48.7449595, 9.212232 48.7449116)",,,,,,
3829958081,3829958074,0,379668044,,,path,,False,21.899,"LINESTRING (9.212383000000001 48.7450171, 9.2124399 48.7449822, 9.212485900000001 48.7449514, 9.2125515 48.7449122, 9.2125986 48.7448809)",,,,,,
3831066217,279730595,0,25660477,,Madenstraße,path,,False,5.885,"LINESTRING (9.217162800000001 48.7422497, 9.2171044 48.7422134)",,,,,,
3831066217,3831066236,0,379774093,,,cycleway,,False,143.21499999999997,"LINESTRING (9.217162800000001 48.7422497, 9.216565599999999 48.7425607, 9.215800099999999 48.7429604, 9.2156261 48.7430445)",,,,,,
3831066217,3831066194,0,"[379774084, 379774093]",,,"['cycleway', 'path']",,False,78.68299999999999,"LINESTRING (9.217162800000001 48.7422497, 9.2177355 48.7419638, 9.2178719 48.7418974, 9.2179477 48.741845, 9.218016499999999 48.7418247)",,,,,,
3831066217,279730593,0,25660477,,Madenstraße,path,,False,36.395,"LINESTRING (9.217162800000001 48.7422497, 9.217196899999999 48.7422842, 9.217234599999999 48.7423192, 9.2173905 48.7425396)",,,,,,
3831066236,3831066217,0,379774093,,,cycleway,,False,143.215,"LINESTRING (9.2156261 48.7430445, 9.215800099999999 48.7429604, 9.216565599999999 48.7425607, 9.217162800000001 48.7422497)",,,,,,
3884191118,3760440206,0,417383097,,,cycleway,,True,16.250999999999998,"LINESTRING (9.120011099999999 48.7220737, 9.119957299999999 48.7220417, 9.1198745 48.7219599)",,1.3,,,,
3885555972,293386160,0,"[179751129, 179751131]",,,path,,False,103.50399999999999,"LINESTRING (9.182574499999999 48.7760038, 9.1825808 48.7760131, 9.1826352 48.776101, 9.182717200000001 48.7762522, 9.1828956 48.7765421, 9.1829293 48.7765966, 9.182933500000001 48.7766039, 9.183036899999999 48.7766424, 9.1830982 48.7766901, 9.1831464 48.7767591, 9.1831669 48.7768267)",,"['4', '6']",,,,
3885555972,1794024655,0,467589363,,,path,,False,10.381,"LINESTRING (9.182574499999999 48.7760038, 9.1825948 48.7759517, 9.1826004 48.7759123)",,6,,,,
4179407532,4178033017,0,417383077,,,cycleway,,True,12.951,"LINESTRING (9.1215878 48.7240924, 9.121650799999999 48.7241174, 9.1217393 48.7241522)",,,,,,
4365987681,36763846,0,438962687,,,cycleway,,True,10.999,"LINESTRING (9.168011 48.8194032, 9.168018200000001 48.819502)",,,,,,
4373288118,1229756407,0,439656073,,,cycleway,,False,8.667,"LINESTRING (9.109916200000001 48.7465958, 9.1099055 48.7466347, 9.1098929 48.7466722)",,,,,,
4377072369,3837471186,0,440005849,,,cycleway,,True,16.426000000000002,"LINESTRING (9.22433 48.8046816, 9.224265900000001 48.8046961, 9.224226399999999 48.804712, 9.2241895 48.8047323, 9.224138 48.8047552)",,2,,,,
4757642557,1520089887,0,483002980,,,cycleway,,True,15.452,"LINESTRING (9.0809801 48.7302325, 9.081178299999999 48.7302796)",,,,,,
5172473876,38626379,0,"[145829436, 533103525]",,,"['cycleway', 'path']",,False,788.386,"LINESTRING (9.1578877 48.8322549, 9.157886100000001 48.8321705, 9.158499900000001 48.8319333, 9.158762400000001 48.831812, 9.159605900000001 48.8314626, 9.160079700000001 48.8312442, 9.160902399999999 48.8309068, 9.1609803 48.8308763, 9.161055299999999 48.8308441, 9.161565100000001 48.8306176, 9.1616274 48.8305903, 9.1617335 48.8305466, 9.161945599999999 48.8304551, 9.1623006 48.8303127, 9.162369399999999 48.8302827, 9.1624374 48.8302518, 9.162917500000001 48.8300502, 9.1634121 48.8298399, 9.163504100000001 48.8298013, 9.163595900000001 48.8297622, 9.164047399999999 48.8295641, 9.1645708 48.8293424, 9.164636399999999 48.8293153, 9.1647385 48.8292687, 9.165534299999999 48.8289341, 9.165632 48.8288917, 9.165709 48.8288507, 9.1657765 48.8288144, 9.1659571 48.8287306, 9.166144900000001 48.8286132, 9.1663581 48.8284684, 9.1666022 48.8282848, 9.1666597 48.8282409)",,,,,,
5178084308,1601154907,0,533786537,,,cycleway,,False,11.542,"LINESTRING (9.159273000000001 48.7234142, 9.1594268 48.7234361)",,,,,,
5181704172,1353161208,0,534253677,,,cycleway,,True,16.884,"LINESTRING (9.1366902 48.77585, 9.1367157 48.7757996, 9.1367659 48.7757066)",,,,,,
5181704172,313867090,0,255524736,,,path,,False,60.918,"LINESTRING (9.1366902 48.77585, 9.136636899999999 48.7756773, 9.136551600000001 48.7754925, 9.136472700000001 48.7753218)",,3,,,,
5181704172,293531853,0,"[255524736, 338986458]",,,path,,False,1258.1350000000002,"LINESTRING (9.1366902 48.77585, 9.136725200000001 48.7759956, 9.136765 48.7761874, 9.136779600000001 48.7762825, 9.136866100000001 48.7768447, 9.136932399999999 48.7772761, 9.136990300000001 48.7776239, 9.137037599999999 48.7777596, 9.1370773 48.7778243, 9.1375122 48.7783458, 9.137692700000001 48.7785636, 9.137821799999999 48.778716, 9.137940800000001 48.7788565, 9.1381394 48.7790904, 9.1385595 48.7796119, 9.138991900000001 48.7801217, 9.139189500000001 48.7803388, 9.139289 48.7804312, 9.1394901 48.7805552, 9.1397855 48.7807215, 9.1402406 48.7809833, 9.140448599999999 48.7810654, 9.140894100000001 48.7811699, 9.141689100000001 48.7813448, 9.142216100000001 48.7814576, 9.1425079 48.7815344, 9.142694199999999 48.781607, 9.1428698 48.7816924, 9.143083300000001 48.7818124, 9.1435756 48.7820917, 9.1440532 48.7823723, 9.144603699999999 48.78272, 9.1452527 48.7831259, 9.1457066 48.7834118, 9.1460221 48.7836184, 9.146193200000001 48.7837278, 9.1463661 48.7838306, 9.1467698 48.7840992, 9.146867200000001 48.7841665)",,"['3', '2']",,,,
5181704176,313867092,0,28573389,,,path,,False,7.356999999999999,"LINESTRING (9.1368043 48.7752826, 9.136856999999999 48.7752796, 9.136904299999999 48.7752825)",,,,,,
5181704176,313867090,0,28573389,,,path,,False,24.912999999999997,"LINESTRING (9.1368043 48.7752826, 9.1366885 48.7752891, 9.136585800000001 48.7752947, 9.1365193 48.7753074, 9.136472700000001 48.7753218)",,,,,,
5181704178,5181704176,0,534253679,,,cycleway,,True,26.076,"LINESTRING (9.136648599999999 48.7751032, 9.136769299999999 48.7751359, 9.1368043 48.7752826)",,1.5,,,,
5181704179,5517334507,0,574876696,,,cycleway,,False,11.831,"LINESTRING (9.136560100000001 48.7747002, 9.136719899999999 48.774685)",,,,,,
5298005220,5298005219,0,548409875,,,cycleway,,True,7.476,"LINESTRING (9.2018521 48.7892156, 9.2017667 48.7892524)",,,,,,
5324202171,5324202172,0,551304014,,Pumptrack Jugenhaus Weilimdorf,cycleway,,True,2.741,"LINESTRING (9.104919199999999 48.8077297, 9.104921600000001 48.8077543)",,,,,,
5324202172,5324202173,0,551304014,,Pumptrack Jugenhaus Weilimdorf,cycleway,,True,4.363,"LINESTRING (9.104921600000001 48.8077543, 9.104895900000001 48.8077897)",,,,,,
5324202173,5324202182,0,551304017,,Pumptrack Jugenhaus Weilimdorf,cycleway,,True,52.26299999999999,"LINESTRING (9.104895900000001 48.8077897, 9.1048235 48.8079111, 9.1047733 48.8079411, 9.104737099999999 48.8079788, 9.1047254 48.8080165, 9.1047476 48.808038, 9.1047943 48.8080411, 9.1048235 48.8080157, 9.104872500000001 48.807968, 9.1049694 48.8079827)",,,,,,
5324202173,5324202182,1,551304020,,Pumptrack Jugenhaus Weilimdorf,cycleway,,True,23.48,"LINESTRING (9.104895900000001 48.8077897, 9.104880700000001 48.8078489, 9.104892400000001 48.807895, 9.104929800000001 48.8079311, 9.1049589 48.8079488, 9.1049694 48.8079827)",,,,,,
