u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel,width,bridge,est_width,access
559421515,264029559,0,360939725,,Elwertstraße,residential,30,True,2.705,"LINESTRING (9.2199353 48.8011283, 9.219920200000001 48.8011061)",,,,,,
559421515,3654850542,0,360946574,,,cycleway,,True,8.637,"LINESTRING (9.2199353 48.8011283, 9.220024499999999 48.8011791)",,,,,,
559421515,1304206263,0,357523824,,,path,,False,14.094,"LINESTRING (9.2199353 48.8011283, 9.2201185 48.8010895)",,,,,,
1048704352,3566837081,0,23163014,2,Arlbergstraße,secondary,50,False,25.289,"LINESTRING (9.249982299999999 48.7810531, 9.2501198 48.7808445)",L 1198,,,,,
1048704352,1335326185,0,23163014,2,Arlbergstraße,secondary,50,False,19.54,"LINESTRING (9.249982299999999 48.7810531, 9.249886099999999 48.781217)",L 1198,,,,,
1048704385,269244170,0,237278432,2,Augsburger Straße,secondary,50,False,87.479,"LINESTRING (9.249605499999999 48.7824829, 9.249374100000001 48.7832547)",L 1198,,,,,
1048704385,5304720758,0,549148827,3,Augsburger Straße,secondary,50,False,26.769,"LINESTRING (9.249605499999999 48.7824829, 9.249676900000001 48.7822468)",L 1198,,,,,
1048704416,1697448402,0,237278432,2,Augsburger Straße,secondary,50,False,28.396,"LINESTRING (9.2491147 48.7841158, 9.2491994 48.7838666)",L 1198,,,,,
1048704416,245777491,0,237278432,2,Augsburger Straße,secondary,50,False,28.5,"LINESTRING (9.2491147 48.7841158, 9.2490092 48.7843625)",L 1198,,,,,
1335326185,1048704352,0,23163014,2,Arlbergstraße,secondary,50,False,19.54,"LINESTRING (9.249886099999999 48.781217, 9.249982299999999 48.7810531)",L 1198,,,,,
1335326185,242600052,0,23163014,2,Arlbergstraße,secondary,50,False,20.338,"LINESTRING (9.249886099999999 48.781217, 9.2498015 48.7813912)",L 1198,,,,,
1335326186,242600050,0,549148828,2,Arlbergstraße,secondary,50,False,15.411,"LINESTRING (9.249704100000001 48.7817244, 9.249717800000001 48.7815861)",L 1198,,,,,
1335326186,2387475716,0,549148828,2,Arlbergstraße,secondary,50,False,20.368,"LINESTRING (9.249704100000001 48.7817244, 9.249716100000001 48.7819074)",L 1198,,,,,
1335536407,245777510,0,549148827,3,Augsburger Straße,secondary,50,False,10.34,"LINESTRING (9.2496986 48.7821609, 9.2497191 48.7820689)",L 1198,,,,,
1335536407,5304720758,0,549148827,3,Augsburger Straße,secondary,50,False,9.683,"LINESTRING (9.2496986 48.7821609, 9.249676900000001 48.7822468)",L 1198,,,,,
1351725874,5327315696,0,343685697,3,Silberburgstraße,residential,30,False,2.669,"LINESTRING (9.1642919 48.777181, 9.164275999999999 48.7772026)",,,,,,
1351725874,1746675011,0,343685697,3,Silberburgstraße,residential,30,False,3.199,"LINESTRING (9.1642919 48.777181, 9.1643106 48.777155)",,,,,,
1528811309,3926878973,0,154049414,3,Schmidener Straße,secondary,50,False,31.162,"LINESTRING (9.245559200000001 48.8212364, 9.245761699999999 48.8214829)",K 9512,,,,,
1528811309,5498172324,0,154049414,3,Schmidener Straße,secondary,50,False,8.773,"LINESTRING (9.245559200000001 48.8212364, 9.245504199999999 48.8211663)",K 9512,,,,,
1537304944,268860263,0,572389007,3,Schmidener Straße,secondary,50,False,16.237,"LINESTRING (9.245291399999999 48.8209073, 9.2454006 48.8210344)",K 9512,,,,,
1697448402,242600036,0,237278432,2,Augsburger Straße,secondary,50,False,52.0,"LINESTRING (9.2491994 48.7838666, 9.2493313 48.7834071)",L 1198,,,,,
1697448402,1048704416,0,237278432,2,Augsburger Straße,secondary,50,False,28.396,"LINESTRING (9.2491994 48.7838666, 9.2491147 48.7841158)",L 1198,,,,,
1746675011,1351725874,0,343685697,3,Silberburgstraße,residential,30,False,3.199,"LINESTRING (9.1643106 48.777155, 9.1642919 48.777181)",,,,,,
